chara452001_02.bytes
index,chara,jp,en
28,ベアトリーチェ,そろそろ時間のようだ。……また会おうぞ、迷い子よ。
31,Nao (Casual),えっ……あっ、ちょっと……？！
40,Nao (Casual),っ……ここは、興宮……？
42,Nao (Casual),"あれ、あたし今まで何をしてたんだっけ……？
というか、そもそもなんのために興宮に……。"
45,Rena (Casual),……あれ、菜央ちゃん？
48,Nao (Casual),あっ、レナちゃん！
50,Rena (Casual),"あははは、こんにちは。
……買い物の途中？"
53,Nao (Casual),えっ？　あ、う、うん！
55,Nao (Casual),（そっか、あたし買い物の途中だったのね）
57,Rena (Casual),"はぅ……１人で運ぶには荷物多そうだね。
よかったら少し持ってあげようか？"
59,Nao (Casual),"ううん、平気。
……そっか、あたしは夕飯の食材の
買い出しに来たんだった。"
61,Rena (Casual),"そういえば、今日は一穂ちゃんたちと
一緒じゃないのかな……かな？"
63,Nao (Casual),"一穂は家でお掃除。
美雪は１人で散歩に出かけてるわ。"
65,Nao (Casual),"（……うん、ようやく思い出してきた。
そう、そのはず……だと、思う）"
67,Rena (Casual),菜央ちゃん……？
69,Nao (Casual),"あ、ごめんなさい。
レナちゃんこそ、興宮にはお買い物で？"
72,Rena (Casual),"うん。ちょうど終わったところだから、
これから帰るところなの。
よかったら菜央ちゃんも、一緒に戻らない？"
74,Nao (Casual),うんっ。ありがとう、レナちゃん。
84,Rena (Casual),"日の暮れるのが早くなってきたね……。
暗い道は危ないから、そろそろお買い物は
誰かと一緒の方がいいと思うよ。"
86,Nao (Casual),えぇ、そうするわ。
88,Rena (Casual),……？　どうしたの、菜央ちゃん。
90,Nao (Casual),えっ……な、何が？
92,Rena (Casual),"なんだか、いつもより口数が少ないから……
何か心配事でもあったりするのかな、かな？"
94,Nao (Casual),ううん。そういうわけじゃないんだけど……。
96,Nao (Casual),……。あの、レナちゃん。
98,Rena (Casual),なに、菜央ちゃん？
100,Nao (Casual),"レナちゃんは、どんなに頑張って、頑張っても
できないって思い知らされて、落ち込んだ時……
なんて言葉をかけられたら元気になってくれる？"
102,Rena (Casual),"はぅ、えっと……
菜央ちゃんの近くに、そういう悩みを
持っている人がいるってことなのかな、かな？"
104,Nao (Casual),……えぇ。
106,Nao (Casual),"（名前と顔は思い出せないけど……そうだ。
あたしにはそういう人がいる……そんな気がする）"
108,Rena (Casual),美雪ちゃんか、一穂ちゃん……じゃなさそうだね。
111,Nao (Casual),"うん。あの２人が相手なら、
どうすればいいかわかってるもの。
だから、こんなに悩まなかったと思うわ。"
113,Rena (Casual),でも、大事な人なんだね。
115,Nao (Casual),大事……そうね。たぶんそうだわ。
123,Nao (Casual),"その人、すごくプライドが高くて、
簡単には本音を見せてくれないんだけど……。"
125,Nao (Casual),"本当はすごく繊細で、
傷つきやすい人じゃないかって感じるの。"
127,Nao (Casual),"だから、詳しい事情も理解してないのに
変に慰めの言葉をかけても傷つけそうで、
なんて言えばいいのかわかんなくて……。"
135,Rena (Casual),…………。
137,Nao (Casual),"ごめんね、レナちゃん。
あたしの変な悩みに巻き込んじゃったりして。"
139,Rena (Casual),"ううん、そんなことないよ。
……そうだね。レナの意見でよければ
聞いてくれる？"
142,Nao (Casual),う、うん、もちろんよ！　聞かせて！
144,Rena (Casual),"あはは、ありがとう。
えっと、そうだね……。"
146,Rena (Casual),"確かに慰めたり、励まされたりするのって
嬉しい時もあるけど……。"
148,Rena (Casual),"自分で立ち上がりたいと頑張っている時に
励まされたら、その時の気持ち次第では
その応援が邪魔に感じちゃうこともあるかもね。"
150,Nao (Casual),"勉強しようとしてる時に
勉強しろって言われると、
逆に反発する……みたいな？"
153,Rena (Casual),そうそう、そんな感じ。
155,Nao (Casual),だとしたら、どうしたらいいのかしら……。
157,Rena (Casual),"……別に、立ち上がらせようと考えなくても
いいと思うよ。"
159,Nao (Casual),……どういうこと？
161,Rena (Casual),"立ち上がるための力じゃなくて、
立ち上がるための力が出るように、
明るく楽しい気分になれるよう協力する……。"
163,Rena (Casual),なんて、どうかな？　かな？
165,Nao (Casual),"ごめんなさい、レナちゃん。
その説明だと、ちょっと想像しにくくて……
よかったら具体例を教えてくれる？"
167,Rena (Casual),"うーん、そうだね……。
勉強のやる気を出そうとした人に、
お菓子を差し入れする、なんてどうかな？　かな？"
169,Nao (Casual),……差し入れ。
171,Rena (Casual),その人が好きなものって、知ってる？
174,Nao (Casual),"えぇ、わかるわ。
そっか、差し入れか……。"
176,Nao (Casual),"ありがとう、レナちゃん。
相手にどう思ってもらえるかわからないけど、
あたし……やってみるわ。"
179,Rena (Casual),"うんっ、頑張って。
菜央ちゃんがうまくいくよう、
レナは応援しているからね……！"
