chara032009_03.bytes,,Llorona; I deeply welcome any and all feedback to my interpretations. Please let me know if there's something I should fix!,Omega - QC,,,,,,,,,,,
index,chara,jp,en,,,,,,,,,,,
28,Nao (Casual),"（そしてあたしは、ベアトリーチェの
ゲーム盤へ降り立った）","(And so, I landed down on Beatrice's game board.)",,,,,,,,,,,
29,Nao (Casual),"（タイトルは、
『Legend of the golden witch』
……黄金の魔女の伝説）","(The title is ""Ougon no Majo no Densetsu"" ...Legend of the Golden Witch.)",,,,,,,,,,,
30,Nao (Casual),"（あたしはそこで、「右代宮戦人」さんの
背後霊のように付きまとい、
彼が見聞きする一部始終を観察させてもらった）","(There, I've lurked in ""Battler Ushiromiya-san's"" shadow, having been allowed to spectate what he sees and hears from start to finish.)",,,,,,,,,,,
31,Nao (Casual),"（１９８６年１０月４日から、５日までの六軒島を
彼の目と、耳を借りて……）","(October 4th, 1986: 5 days until I witness and lend my ears to the aftermath of Rokkenjima...)",,,,,,,,,,,
32,Nao (Casual),"（肖像画の下に掲げられた謎の碑文。
そのメッセージになぞらえた密室殺人事件。
魔女の黄金をめぐる様々な#p思惑#sおもわく#r……そして）",(There is an epitaph mystery written below the portrait. That message imitates the locked-room murder incidents. There are various prophecies in the text regarding the pursuit of the witch's gold. And then...),,,,,,,,,,,*furigana?
33,Nao (Casual),（――島に隠された、黄金郷……）,(--the island's hidden Golden Land...),,,Isn't this a different kanji than usual for ougonkyou? I'm almost positive it was the village kanji?? like in ougon no kyou/sato,,,,,,,,
42,Nao (Casual),……よい、しょっと。,"...Alright, there we go.",,,,,,,,,,,
45,ベアトリーチェ,おぉ、終わったか菜央！,"Ooh, have you finished, Nao!?",,,,,,,,,,,
47,Nao (Casual),"えぇ、といっても物語の幕を閉じたのは
戦人って人だけど……。","Yes, although the one who closed the curtains on this play was Battler.",,,,,,,,,,,
49,Nao (Casual),"ただ、あれは「幕を閉じた」という表現で
正しいのかしら……？","But, I wonder if that expression ""closed the curtains"" is actually correct?",,,,,,,,,,,
51,ベアトリーチェ,"くっくっくっ、言いたいことはわかるぞォ。
あれは要するに「タイムオーバー」……
時間切れを迎えただけの結末だ。","*cackle*cackle*cackle*, I know what you are trying to say. That point when the screen cuts out with ""Game Over"" when the ending has arrived.",,,,,,,,,,,
53,ベアトリーチェ,"物語を「終わらせた」と言うよりも、
むしろ「終わってしまった」というべきであろう。","Instead of saying the story ""was caused to end"", the saying ""has ended incidentally"" should be more appropriate.",,,,,,,,,,,
55,ベアトリーチェ,それで……妾のゲーム盤、どうであったか？,And thus... how was my game board?,,,,,,,,,,,
57,Nao (Casual),そうね。一言で言うなら……。,"That's right, if there is one way to express it...",,,,,,,,,,,
59,ベアトリーチェ,言うなら？,If there is?,,,,,,,,,,,
61,Nao (Casual),……悪趣味ね。,... It's bad taste.,,,,,,,,,,,
70,ベアトリーチェ,"く、く……くっくっひひひゃひゃっひゃっひゃっ！
そうかそうか、悪趣味か！","Hm, Hm... *cackle*cackle*cackle*, hyyyaaahahahahaha! Is that so, is that so? Bad taste!?",,,,,,,,,,,
78,Nao (Casual),"だって、碑文に沿っての
連続殺人が趣味の良いものだなんて、
さすがに言えないと思うわ。","Like really, even if the the epitaph aligning with the locked-room murders {i}was{/i} good taste, I don't think I would even mention it.",,,,,,,,,,,
80,Nao (Casual),"ただ……センスが悪い、とは言わない。
だって、悪趣味ってだけじゃないもの。","Well... I don't think I would say the taste itself is bad. Because, it isn't just bad taste.",,,,,,,,,,,
82,ベアトリーチェ,……ん？,...Hm?,,,,,,,,,,,
84,Nao (Casual),"あのお話ってどこまでが本当か、それとも嘘か
わからないもの。だからあちこちに、読み手を
騙そうという罠がばらまかれてる気がするの。","We don't know how much of that story is real, as well as how much of it is a lie. I feel like this is because there are tricks scattered about here and there to deceive readers.",,,,,,,,,,,
86,ベアトリーチェ,……ふむ、妾の存在が嘘であると申すか？,"...Hm, you mean the lie that I exist?",,,,,,,,,,,
88,Nao (Casual),"そうとは思わないわ。
けどあたしは、戦人さんの目を通して
あのゲーム盤を観劇した……。","I don't think so. But with me having followed Battler's eyes, spectating the game board...",,,,,,,,,,,
90,Nao (Casual),"つまり、自分の目じゃない。
他人の主観やバイアスが入ってることになるわ。","In essence, they aren't my own eyes. Someone else's perspectives and biases also filter in.",,,,,,,,,,,
92,ベアトリーチェ,"自分の目で見なければ、全ての事実を
真実とは認められず……
また魔女の存在も、信じられない……と？","If you were to see with your own eyes, all truth would be uncovered. Again, the witch's existence isn't being believed in, so...?",,,,,,,,,,,
94,Nao (Casual),"完全に否定してるわけじゃないわ。
もしそうなら、今あたしと喋ってるのは
誰って話になるでしょ。ただ……。","It's not like I'm completely denying it. If it was that way, I guess it would be a, ""who would I be chatting with at this moment"", sort of thing. But...",,,,,,,,,,,
96,Nao (Casual),"他人の話を全部鵜呑みにするな。
その情報が正しいかどうかは、
自分でしっかり検証してから確かめる……。",It's that taking in all of someone else's story without questioning it that I mean. I should be able to check whether or not that information is correct by properly verifying it through my own investigation...,,,,,,,,,,,
98,Nao (Casual),"そうすることで情報は知識になり、
教養として自らの糧になる……
そう、お母さんに教えられたわ。","Doing that, information becomes knowledge, your eyes become nourished with intelligence... Something that my mom taught me.",,,,,,,,,,,
100,Nao (Casual),"だから、実際に自分がその場にいて
この目で見て、触ったものじゃないと
判断の材料にはできないと思うのよ。","So, even if I actually go to that spot myself, I believe that not seeing things with my eyes and not feeling things disables me from making a foundation for my conclusions.",,,,,,,,,,,
102,ベアトリーチェ,"……疑りが深いのか思慮が深いのか、
よくわからぬ娘よ。","...Is this with deep doubt or with deep prudence, you ignorant child?",,,,,,,,,,,
104,Nao (Casual),"ごめんなさい、そういう性分なの。
……けど、悪趣味だけでもないってのも
正直な感想よ。","I'm sorry, the nature of it is as you say... but me saying it isn't just bad taste is my straightforward opinion.",,,,,,,,,,,
112,Nao (Casual),"あの話は、島で起こったかもしれない
何かの事実の可能性を伝えるため……。",That story has the purpose of sharing some kind of possibility of a truth of what might have occurred on the island...,,,,,,,,,,,
114,Nao (Casual),"ううん、メッセージを伝える
意図があるような気がするの。","Yeah, I feel like it's intending to give that kind of message.",,,,,,,,,,,
122,ベアトリーチェ,……ほぅ。なぜ、そう思うのだ？,...Hoh. Why would you think that?,,,,,,,,,,,
124,Nao (Casual),"あたしはまだ、
『Legend of the golden witch』の
テーマを見つけられていないからよ。","Because I still haven't been able to discover the theme of ""Legend of the Golden Witch"".",,,,,,,,,,,
126,ベアトリーチェ,テーマ？,The theme?,,,,,,,,,,,
128,Nao (Casual),"あたしが今まで読んだお話には、
何かしらのテーマがあった。
センスに合うかどうかは別としてね。","The story that I've read until now had some sort of theme. This is like whether or not its own taste fits in with it, right?",,,,,,,,,,,
130,Nao (Casual),つまり、物語にテーマは必須ってことよね？,"Basically, stories require a theme, right?",,,,,,,,,,,
