chara452001_01.bytes,,Beato's SSR--part 1,Beanbug here. My japanese is not very good and i am 100% open to corrections.,"Llorona QC; notating little mistakes, but i'm also open to corrections :D",Omega - QC,? - QC,,,,,,
index,chara,jp,en,I'll mark incorperated changes by changing llorona's color to this.,,,,,,,,
28,ベアトリーチェ,"遠慮はいらぬ。
さぁ、そなたも冷めないうちに飲むといい。",Don't be shy. Drink it before it gets cold.,,,,,,,,,
30,Nao (Casual),あの……えっと、これは……？,Uhh... um... what is this...?,,,,,,,,,
32,ベアトリーチェ,"ん……どうした、紅茶は嫌いか？
なら、このクッキーはどうだ？
ロノウェが自信作と言っていたぞ。","Mm... what's the matter? Do you dislike black tea? If so, why not try the cookies? Ronove said he was proud of how they came out.",,,,,,,,,
34,Nao (Casual),"いや、紅茶は好きだけど
そういうことじゃなくて……その……。","No, that's not what I meant. I love black tea... but...",,,,,,,,,
36,Nao (Casual),"（……。断るのも失礼だから、
素直にいただいたほうがよさそうね……）","(...refusing would be rude, so I guess I should just try it...)",,,,,,,,,
39,Nao (Casual),"じゃあ、いただきます……って、
ほわぁ……おいしい……！","I'll try a bit, then......
Woooow... it's delicious...! ",,,,,,,,,
43,Nao (Casual),"香りも上品で素敵だけど、
渋みが全然なくて少し甘いくらい……♪","The smell is sophisticated and wonderful, there isn't any tartness, and it's just a little sweet...♪",,,,,,,,,
45,ベアトリーチェ,"そうであろう、そうであろう？
実は妾も最近この紅茶がお気に入りでなぁ！","Oh, isn't it? By the way, as of late, this black tea has been a personal favorite of mine!",the -> this,,,,,,,,
47,ベアトリーチェ,マイブームと言うやつよ。,You could say I'm obsessed with it.,,,,,,,,,
49,Nao (Casual),"あ……でも紅茶ってカフェインが
コーヒー以上に入ってるはずだから、
飲みすぎると夜眠れなくなりそう？","Ah... but since black tea is supposed to have more caffeine than coffee, if I drank too much of it, wouldn't I have trouble sleeping?",,,,,,,"""...since black tea is expected to have more caffeine than coffee, if I drink...""",,
51,ベアトリーチェ,くっくっくっ、まったくニンゲンとは繊細なものだ。,"*cackle*, humans truly are delicate creatures.",,,,,,,,,
53,Nao (Casual),"（ふふっ。あの推理バトルの時は
威厳と怖さを兼ね備えたすごい魔女だったけど、
案外親しみやすいところがあるのかも……かも）","(*giggle*. She was incredibly dignified and frightening during that logic battle, but she seems like she might be friendlier than you'd think... maybe.)",,,,,,,ふふ is like a giggle,,"""...than you'd think... maybe.)"" or something to that effect"
55,ベアトリーチェ,"あと、この紅茶は茶菓子を合間に食べると
香りがより引き立つ。
そこのスコーンなどは、相性的にもおすすめだ。","In addition, the aroma of the tea improves if you eat tea cakes in between sips. I would recommend those scones and such over there, as they would compliment it well. ",she says scones are a good match to the tea in the second sentence. i went with complimentary but not sure if that's the best word to use.,,,,,,,,"""I would recommend those scones and such over there, as they would compliment it well."" I think complimentary is a good usage!"
57,Nao (Casual),"あ……ほんとだ。
それに、この味わいだったらジャムとかを
入れてみてもいいかもね。","Ah... you're right. With flavors like this, you could perhaps try putting jam or something on the scone too.",,,,,,"""... jam or something on it.""",,,
60,ベアトリーチェ,"もちろん、ロシアンティにも合うぞ。
次は試すが良い。","Of course, it pairs nicely with Russian tea as well. Perhaps you can try that next.",,,,,,,,,
63,,…………。,............,,,,,,,,,
70,Nao (Casual),"……ところで、ベアトリーチェ。
今日あたしをここにまた呼び出したのは、
どういうご用件なの？","...By the way, Beatrice. Why did you call me here today?",,,,,,,,,
72,ベアトリーチェ,どうも何もない、そなたと茶を飲みたいと思っただけだ。,No reason in particular. I just wanted to drink tea with you.,,,,,,,,,
74,Nao (Casual),……それだけ？,...Just that?,,,,,,,,,
76,ベアトリーチェ,それだけだが……何の問題があるというのだ？,Is there... a problem with that being the only reason?,,,,,,,,,
78,Nao (Casual),"ううん。おいしい紅茶が飲めるのは、
単純に嬉しいからあたしは嬉しいわ。",No. I'm simply glad to enjoy a delicious cup of tea.,,,,"""I'm simply glad to enjoy...""",,,,,
80,Nao (Casual),"（……どうしたのかしら。
あの魔女ベアトリーチェが、
ただお茶を飲むだけのためにあたしを呼んだ？）",(...I wonder. Did the witch Beatrice really call me here just to drink tea with her?),,,,,,,,,
