chara452001_02.bytes,,beanbug,Lloro - QC,Omega - QC,,,,
index,chara,jp,en,,,,,
28,ベアトリーチェ,そろそろ時間のようだ。……また会おうぞ、迷い子よ。,"It seems like our time is up. ...We will meet again, lost child.",,,,,
31,Nao (Casual),えっ……あっ、ちょっと……？！,"Eh... ah, wait...?!",,,,,
40,Nao (Casual),っ……ここは、興宮……？,...This is... Okinomiya?,,,,,
42,Nao (Casual),"あれ、あたし今まで何をしてたんだっけ……？
というか、そもそもなんのために興宮に……。","Wait, what have I been doing up until now...? Or rather... why did I go to Okinomiya...?",,,,,
45,Rena (Casual),……あれ、菜央ちゃん？,"...Wait, Nao-chan?",,,,,
48,Nao (Casual),あっ、レナちゃん！,"Ah, Rena-chan!",,,,,
50,Rena (Casual),"あははは、こんにちは。
……買い物の途中？","Ahaha, hello. ...Are you in the middle of shopping?",,,,,
53,Nao (Casual),えっ？　あ、う、うん！,"Eh? Ah, y-yeah!",,,,,
55,Nao (Casual),（そっか、あたし買い物の途中だったのね）,"(I see, I was on my way to go shopping.)",,,,,
57,Rena (Casual),"はぅ……１人で運ぶには荷物多そうだね。
よかったら少し持ってあげようか？",Hau... that looks like a lot for one person to carry. Do you want me to hold some of it?,,,,,
59,Nao (Casual),"ううん、平気。
……そっか、あたしは夕飯の食材の
買い出しに来たんだった。","No, I'm fine. ...Right, I was buying things for dinner.",,,,,
61,Rena (Casual),"そういえば、今日は一穂ちゃんたちと
一緒じゃないのかな……かな？",Speaking of which... I wonder why you're not with Kazuho and her friend today... today?,,,,,
63,Nao (Casual),"一穂は家でお掃除。
美雪は１人で散歩に出かけてるわ。","Kazuho is home cleaning, and Miyuki is out for a walk by herself.",,,,,
65,Nao (Casual),"（……うん、ようやく思い出してきた。
そう、そのはず……だと、思う）","(...Yeah, I finally remember. So that should be right... I think.)",,,,,
67,Rena (Casual),菜央ちゃん……？,Nao-chan...?,,,,,
69,Nao (Casual),"あ、ごめんなさい。
レナちゃんこそ、興宮にはお買い物で？","Ah, sorry. Rena-chan, did you come to Okinomiya to do shopping?",,,,,
72,Rena (Casual),"うん。ちょうど終わったところだから、
これから帰るところなの。
よかったら菜央ちゃんも、一緒に戻らない？","Yup. I just finished, so now I'm on my way back. Do you want to walk back together, Nao-chan?",,,,,
74,Nao (Casual),うんっ。ありがとう、レナちゃん。,"Yes. Thank you, Rena-chan.",,,,,
84,Rena (Casual),"日の暮れるのが早くなってきたね……。
暗い道は危ないから、そろそろお買い物は
誰かと一緒の方がいいと思うよ。","The sun is setting soon... The roads can be dangerous when it's dark, so I think it's better having someone with you when you shop.",,,,,
86,Nao (Casual),えぇ、そうするわ。,"Okay, I'll do that from now on.",,,,,
88,Rena (Casual),……？　どうしたの、菜央ちゃん。,"...? Did something happen, Nao-chan?",,,,,
90,Nao (Casual),えっ……な、何が？,"Wh-... what, what do you mean?",,,,,
92,Rena (Casual),"なんだか、いつもより口数が少ないから……
何か心配事でもあったりするのかな、かな？","Somehow you're being more reserved than usual... I wonder if something is bothering you, bothering you?",,,,,
94,Nao (Casual),ううん。そういうわけじゃないんだけど……。,"No, it's not really like that, but...",,,,,
96,Nao (Casual),……。あの、レナちゃん。,"......um, Rena-chan?",,,,,
98,Rena (Casual),なに、菜央ちゃん？,"What is it, Nao-chan?",,,,,
100,Nao (Casual),"レナちゃんは、どんなに頑張って、頑張っても
できないって思い知らされて、落ち込んだ時……
なんて言葉をかけられたら元気になってくれる？","Rena-chan, when you get depressed because you're reminded of something you'll never be able to do no matter how hard you try, what could somebody say to cheer you up?",,,,,
102,Rena (Casual),"はぅ、えっと……
菜央ちゃんの近くに、そういう悩みを
持っている人がいるってことなのかな、かな？","Hau, umm... I wonder if that means that there's somebody close to Nao-chan that has that problem, that problem?",,,,,
104,Nao (Casual),……えぇ。,......There is.,,,,,
106,Nao (Casual),"（名前と顔は思い出せないけど……そうだ。
あたしにはそういう人がいる……そんな気がする）","(I don't remember the name or the face, but... yes. I feel like... I do know somebody like that.)",,,,,
108,Rena (Casual),美雪ちゃんか、一穂ちゃん……じゃなさそうだね。,"And it's not Miyuki-chan or Kazuho-chan, right...?",,,,,
111,Nao (Casual),"うん。あの２人が相手なら、
どうすればいいかわかってるもの。
だから、こんなに悩まなかったと思うわ。","Right. I would know what to do if it were those two, so if that was the case, I suppose I wouldn't have been as worried.",,,,,
113,Rena (Casual),でも、大事な人なんだね。,But this is an important person to you.,,,,,
115,Nao (Casual),大事……そうね。たぶんそうだわ。,Important... person. That's probably true.,,,,,
123,Nao (Casual),"その人、すごくプライドが高くて、
簡単には本音を見せてくれないんだけど……。","This person is extremely prideful, and it's not easy to figure out what they're really feeling...",,,,,
125,Nao (Casual),"本当はすごく繊細で、
傷つきやすい人じゃないかって感じるの。","I get the impression that they are a very sensitive, delicate person.",,,,,
127,Nao (Casual),"だから、詳しい事情も理解してないのに
変に慰めの言葉をかけても傷つけそうで、
なんて言えばいいのかわかんなくて……。","So, because I don't know their circumstances, I'm afraid I might hurt them if I don't word things correctly, so I don't know what to say.",,,,,
135,Rena (Casual),…………。,............,,,,,
137,Nao (Casual),"ごめんね、レナちゃん。
あたしの変な悩みに巻き込んじゃったりして。","Sorry, Rena-chan. I'm dragging you into my silly issues.",,,,,
