chara452001_03.bytes,,beanbug,Lloro - QC/TL,,,,,,,
index,chara,jp,en,,,,,,,
26,,――数日後。,Several days later...,,,,,,,
28,Nao (Casual),ありがとうございましたーっ！,Thank you very much--!,,,,,,,
31,Nao (Casual),"……まさか、こんなに早く
手に入れられるとは思わなかったわ。
魅音さんには今度お礼をしなきゃ。",...I didn't think I would get my hands on that this soon. I need to thank Mion next time I see her.,,,,,,,
33,Nao (Casual),"とりあえず目的の品は揃ったから、
あとはどうやって連絡を取るのかって
ことだけど……。","Now that I have what I wanted to get, the next step is getting in touch with them...",,,,,,,
35,Nao (Casual),"……。あたし、あの人と
どこでどうやって会ってたんだっけ？",...How and where did I meet that person?,,,,,,,
37,Nao (Casual),"思い出せない……ってことは、
向こうに呼ばれてたってことかしら。",I can't remember... I wonder if it's when I was invited over there.,this is summoned/invited (referring to Beatrice) not called,,,,,,
39,Nao (Casual),"……気長に待つしかないようね。
さて、それじゃ家に戻って――。","...It appears I'll just have to be patient. Well then, back to the house--",,,,,,,
45,Nao (Casual),えっ？,Huh?,,,,,,,
47,Nao (Casual),"ここって、あの……！
ということは……？",This place...! So that means...?,,,,,,,
53,ベアトリーチェ,くっくっくっく……！　久しぶりよの。,*cackle*cackle*...! It's been a while.,,,,,,,
55,Nao (Casual),ベアトリーチェ……！,Beatrice...!,,,,,,,
57,ベアトリーチェ,"元気であったか？
妾と会いたいと呼んだだろう。",Have you been well? It seems you desired a meeting and called for me.,,not quite sure if it is beato or nao calling for a meeting in this line.,,,,"""Have you been well?""","She's referring to how Nao did it, the darou makes it like, ""I suppose you wanted to meet (with me) and called for me."""
59,ベアトリーチェ,"ちょうど暇を持て余していたのでな、ここに招待したのだ。
感謝しても良いぞ？　くっくっくっく！","I had a bit of free time, so I called you here. Mind thanking me? *cackle*cackle*cackle*!",,,,,,,
61,Nao (Casual),"ありがとう、ベアトリーチェ。
どうやって連絡を取ればいいか
わからなかったから、助かったわ。","Thank you, Beatrice. I didn't know how I could get a hold of you, so this helped.",,,,,,,
63,ベアトリーチェ,"む、むぅ……そんなにストレートに
感謝されるとは思わなかったぞ。","Oh, mm... I didn't think you'd be so straightforward about being grateful.",,,,,,,
65,ベアトリーチェ,"ん……？
そなたが抱えている、その袋はなんだ？
何やらいい香りがするぞ。",Hm...? What's that bag that you're carrying? Something inside smells nice.,,,,,,,
67,Nao (Casual),"あ、わかった……？
これ、ちょっと変わったハーブティーなの。
よかったら一緒に飲もうと思って。","Ah, you saw...? Here, it's some slightly unusual herbal tea. If you'd like, I thought we could drink it together.",,,,,,,she could also be talking about the rarity of the tea here like she is later?
70,ベアトリーチェ,"ほう、魔女に土産とな？
ハーブティーと言ったな、
どれどれ、いったいどんな茶葉を……。","Hoh, a souvenir for the witch? Since you said it was a herbal tea, I wonder what kind of plant it's from...",,,,,,"""Hoh, a souvenir...""",
73,ベアトリーチェ,"……おぉっ？
なんと、バタフライピーではないか。",...Oooh? If it isn't butterfly pea flower tea.,,,,,,,
75,Nao (Casual),"昔、外国に行った時に飲んだのが
とってもおいしかったから……
ベアトリーチェもどうかな、ってね。","I really enjoyed drinking it when I was in a foreign country a long time ago, and thought you would like it too.",,,,,,,
77,Nao (Casual),"#p興宮#sおきのみや#rのお店だと取り扱ってなかったから、
友達のつてで手に入れてもらったの。
これ、あたしからのプレゼントよ。","Since the store in Okinomiya didn't have it, I was able to get it through a friend. So, this is my gift to you.",,weird furigana for okonomiya,,Okinomiya with an i,,,
79,ベアトリーチェ,"くっくっくっ……それは良い心がけであるぞ。
しかし、妾のご機嫌伺いに茶葉を持参するとは……
やはりそなたは面白い。",*cackle*... How thoughtful. But to bring tea for a courtesy visit... you truly are interesting.,,,,,,"""But to bring...""",
81,Nao (Casual),"別に、機嫌をどうこうしたいって
思ったわけじゃないんだけど……。",It's not like I wanted to do it out of courtesy or anything...,,,,,,,
83,Nao (Casual),"ちなみにベアトリーチェは、
ハーブティーってどうかしら？
苦手だったら申し訳ないんだけど。","By the way, Beatrice, what do you think of the tea? I apologize if I chose something you don't like.",,,,,,"""I apologize if I chose...""",
