chara462001_02.bytes,,Lloro,Omega - QC,
index,chara,jp,en,
29,ヱリカ,"と、やって来たのはいいですけど……
ほんとになーんにもないところですね。","The fact that I've arrived is nice... but there really is nooothing here, huh?",
31,ヱリカ,"寂れた寒村、ほとんどいない人間。
景色ぐらいしか取り柄がなさそう……。","A desolate and run-down village with nearly no one here. Without the scenery, it would have no redeeming qualities...",
33,ヱリカ,"一昔前なら、頭からふけを落とす
探偵がやって来そうな感じですが、
さすがに時代が違っていそうですし。","It makes me feel like a long time ago a detective with dandruff falling from his head would come here, but as I thought, the times seem to have changed.",
35,ヱリカ,"せめて連続殺人事件とか怪奇事件とか、
灰色の脳細胞を刺激してくれるようなことが
起こったりしないですかねぇ……はーあ。","There aren't any locked-room murders or mysterious incidents around here that would stimulate my withering brain cells, huh... *siiigh*.",
37,ヱリカ,"しかし……菜央さんはいったい
どこにいるのでしょう？",But then... I do wonder where in the world Nao-san is?,
39,ヱリカ,"推理してみましょう……
寂れた田舎で子供が集まる場所は限られます。",Let's try to reason this out... We'll restrict it to a place where kids would be gathering in a desolate countryside like this.,
41,ヱリカ,"学校……は、時間から考えて下校した後。
公園……は、この村にあるとは思えませんね。
予算もなければ遊具の管理すら難しいでしょうし。","School... considering the time, it would be afterschool hours. A park... I don't think this village has one, right? I do suppose it would be difficult to even manage playground equipment without the budget for it.",
43,ヱリカ,"だとしたら、一番可能性の高い場所は
遊び場の代わりとなる……神社。","With that in mind, the place with the highest possibility to be the substitute for a playground would be... the shrine.",
45,ヱリカ,"よしんばいなかったとしても、この寒村。
子どもの数はそう多くないはず。","And even if they aren't there, this village is deserted. I don't anticipate the number of kids here to be huge anyway.",
47,ヱリカ,"となれば、あの小娘の居場所や家を聞き出すのは
造作もないこと――。","If it comes to that, getting information about where that girl lives and her current location won't be that difficult either--.",
51,ヱリカ,"ただ村を一瞥しただけで、
古戸ヱリカはこの程度の推理が可能です。
いかがですか、皆さん。","Just from one peek at this village, this level of reasoning is possible for Erika Furudo. What do you think, everyone?",
54,ヱリカ,"……やはり聴衆がいないと張り合いが
いまひとつですね。やっぱりドラノールを
無理やりにでも連れてくればよかったです。","......If there's no audience, the response really will be just as lacking. I guess it would have been nice if I forced Dlanor to come with me.",
56,ヱリカ,"まぁいいでしょう。
とりあえず、あの小娘を見つけて
とっとと引きずり込むことにしますか。","Well, whatever. For now, I will find that girl quickly and drag her away.",
58,ヱリカ,"神社は災害時の避難所を兼ねますから、
高い場所にあると相場は決まっています。
……さて、推理の結果を確認しに行くとしますか。","The shrine also serves as a shelter for when disasters happen, so it must be at a high altitude... Now, shall I go and confirm the result of my reasoning?",
66,ヱリカ,"おや、子どもの声がしますね。
どうやら推理は的中していたようです。
……まぁ、当然ですが。","Ah, I can hear the voices of children. It seems my reasoning hit the nail on the head... Well, but of course it would.",
68,ヱリカ,さて、あの小娘の居場所を聞き出すとしましょう。,"Now, let us find out where that girl's location is.",
79,Rika (Casual),"はい、一穂。沙都子。
お茶をどうぞなのです。","Okay, Kazuho, Satoko, here's your tea.",
81,Kazuho (Casual),"ありがとう、梨花ちゃん
……はぁ、おいしい。","Thank you, Rika-chan. ......Wow, it's delicious.",
