chara462001_01.bytes,,Lloro; please absolutely offer feedback here if possible,Omega - QC,
index,chara,jp,en,
28,ヱリカ,"あぁっ、ようこそお越しくださいました！
我が主におかれましては、ご機嫌麗しくっ――。","Aah, I do offer my humblest welcome! For my master, with a loving spirit, I do---",
32,？？？？,…………。,............,
35,ヱリカ,"……あ、あの……我が主？
なんだかとても、お顔の色がよろしくないように
お見受けいたしましたが……。",... U-um... my master? I do see that your face is quite pale...,"delete ""the color of"""
39,？？？？,"あら……そう？
私はとても健康だし、心は深淵の闇のように
澄み渡っているんだけど……。","My... is that so? But I am in good health, and my heart is as clear as the darkness of the depths of the ocean.",
42,ヱリカ,"そ……それは、とても重畳に存じますが……
ひょっとしてあの、……怒っておられますか？","That... that is, I am highly honored to know that, but would it happen that you are, um...... angered? ",
46,？？？？,"……怒る？　私が？　あらあら、それは心外ね。
この胸のうちで溶岩が煮えくり返るくらいに
不機嫌になる理由が、まるで思い当たらないんだけれど。","...Angered? Me? My my, how vexing. I can't think of any reason why I would be angered as if there was hot lava boiling in my chest. ","from ""...Angered? Me? My my, how regrettable. I have been displeasured to the point of lava boiling within my chest; nonetheless, that had not come to mind at all."""
49,？？？？,"それとも……もしかしてあんたには
何か心当たりでもあるのかしら？",Although... I wonder if it could be that you had something else in mind?,else -> although
52,？？？？,"ああ…あるわよね。私の駒にしながら
一人だけ敗者なんてみっともない姿を
さらしてきたんだもの…。","Aah... there is, isn't there? Like how my own piece is a shameful loser that has brought public humiliation upon me...",
56,ヱリカ,"ひっ……ひいいいぃぃぃいぃっっ？
ま、まさか先日の、あの小娘との一件を
お聞き及びになって……？！","Hih... hiiiiiiiiiiiiiiiih??? You, you couldn't have heard of the other day, with that girl...?!",
58,ヱリカ,"い……いやその、あのっ！
あ、あれは生意気なガキのお遊びに
軽く付き合ってやっただけと申しますか……！","N-... no, um, uh! I-I can assure you, that was only a minor playfight with an irrelevant brat...!",
61,ヱリカ,"け、決して負けたわけではありませんッ！
あのままゲームを続けていれば、私の勝利は
確実で絶対！　小揺るぎもしませんでしたッ！","I-I never lost! If the game continued at that rate, my victory would have been absolutely certain! Not once was I shaken!","from ""As, as if I could ever lose! If the game would have continued at that rate, my victory would have been absolutely certain! Not once did it shake me!"""
65,？？？？,"あらそう？
それなら待ってあげてもよかったかしらね……
なんていうとでも思った？","Is that so? If that's the case, then perhaps it would have been better if you had waited it out instead... did you think of that?","from ""Is that so? If that's the case, then I do wonder if it would have been better if you had waited it out instead... have you thought of that?"""
68,？？？？,"一度別の駒に勝って、調子に乗ってんじゃないの。
あんた私の駒のくせに思い上がるなんて
情けなくて笑えるわ。","When you win against another piece, you get carried away. Your habit of being so conceited as a piece of mine is so pitiful, I have to laugh.","from ""Once another piece wins, we get off on the wrong track. Your habit of being so conceited as a piece of mine is so pitiful, I have to laugh."""
71,ヱリカ,え？　あの、別の駒とは……？,"Huh? Um, what was that about another piece?",
75,？？？？,"……話を聞いていないようね？
私は今、思い上がったかどうか聞いているのだけれど。",...Were you not listening to what I said? Had you or had you not just heard about how conceited you are?,
79,ヱリカ,"いっ、いいえっっ！
お、思い上がるなど決して、そんな……！！","Nn-noooo! I-I would never be anything close to conceited, absolutely not...!!",
