chara472001_02.bytes,,Omega - QC,"I'm not really claiming this sheet, I'm just addding tls for the very simple phrases like the Knox rules.",Llo - TL
index,chara,jp,en,
29,ドラノール,"『ノックス十戒』とは、
ミステリーにおいて守るべき約束デス。
戒律といっても過言ではないでショウ。","""Knox's Ten Commandments"", or ""Knox's Decalogue"", promise to serve and protect MYSTERY. To say they are commandments is no EXAGGERATION.",
31,Nao,戒律……？,Commandments...?,
37,ドラノール,"ハイ。ノックス第１条。
『犯人は物語当初の登場人物以外を禁ズ』","YES. Knox's 1st: ""It is forbidden for the culprit to be anyone not mentioned in the early part of the STORY.""",
38,ドラノール,"ノックス第２条。
『探偵方法に超自然能力の使用を禁ズ』","Knox's 2nd: ""It is forbidden for supernatural agencies to be used as a detective TECHNIQUE.""",
39,ドラノール,"ノックス第３条。
『秘密の通路の存在を禁ズ』","Knox's 3rd: ""It is forbidden for hidden passages to EXIST.""",
40,ドラノール,"ノックス第４条。
『未知の薬物、及び、難解な科学装置の
使用を禁ズ』","Knox's 4th: ""It is forbidden for unknown drugs or hard to understand scientific devices to be USED.""",
41,ドラノール,"ノックス第６条。
『探偵方法に偶然と第六感の使用を禁ズ』","Knox's 6th: ""It is forbidden for accident or intuition to be employed as a detective TECHNIQUE.""",
42,ドラノール,"ノックス第７条。
『探偵が犯人であることを禁ズ』","Knox's 7th: ""It is forbidden for the detective to be the CULPRIT.""",
43,ドラノール,"ノックス第８条。
『提示されない手掛かりでの解決を禁ズ』","Knox's 8th: ""It is forbidden for the case to be resolved with clues that are not PRESENTED.""",
44,ドラノール,"ノックス第９条。
『観測者は自分の判断・解釈を
主張することが許さレル』","Knox's 9th: ""It is permitted for observers to let their own conclusions and explanations be HEARD.""",
45,ドラノール,"ノックス第１０条。
『手掛かりなき他の登場人物への変装を禁ズ』","Knox's 10th: ""It is forbidden for a character to disguise themselves as another without CLUES.""",
