chara072017_01.bytes,chara,jp,en,Notes TL,Notes QC
27,Rika (高校生クリスマス),"……はぁ、やっと折り花が
段ボールで１箱分、できあがったわ。
集中してみると意外に作れるものね。","...*sigh*, I'm finally done with one box worth of origami flowers.
You end up doing a lot of them when you concentrate on it.",order,
29,Rika (高校生クリスマス),"とはいえ、あのパーティー会場全体を
埋め尽くそうと思ったら、あと１箱分……
いえ２箱分は作らないと。","But if we want to fill the whole party venue with these, then I still have to do about one... no, two more boxes of them.",,
31,Rika (高校生クリスマス),"（沙都子が学園を抜け出して、
買い物に行ったことが先生たちに
バレなかったのはよかったけど……）","(I'm glad that the teachers didn't find out Satoko snuck out of school to go shopping, though...)",,
33,Rika (高校生クリスマス),"（まさか、脱走の事実を隠す代わりに、
生徒会のクリスマスパーティー会場の飾りつけを
やらされるなんて……しかもこんな格好で……）","(But seriously, who would have guessed that we'd be forced to prepare the decorations for the student council Christmas party in exchange for keeping it quiet... and let's not even get started on the outfits...)",,
35,Rika (高校生クリスマス),"（あの変な笑い方の生徒会長、
何を考えているのかしら……？）",(What on earth could that student council president with that strange laugh be planning...?),reworded slightly,
38,Rika (高校生クリスマス),"それにしても……作っても作っても、
なかなか終わらないわね。",Still... I'm making more and more of these and there's just no end in sight.,,
40,Rika (高校生クリスマス),"なんだか、ドラマか何かで出てくるような
家庭で内職をしている主婦みたい。
この調子で、本当に間に合うのかしら……？",I feel like a stay-at-home housewife from one of those soap operas. Will I really make it in time like this...?,editz,
47,Satoko (高校生クリスマス),"……何をぶつぶつ独り言を
おっしゃっているんですの、梨花？","...What are you muttering about over there, Rika?",,
56,Rika (高校生クリスマス),"ひゃぁあぁっ？……ってなんだ、沙都子じゃない。
いつの間に部屋に入ってきたの？","Hyaaaah!? ...Oh, it's you, Satoko. When did you get here?",editz,
58,Satoko (高校生クリスマス),"ノックなら何度もしましたわ。
ドアに鍵もかけずに、開けっ放しにしている
梨花が悪いんですのよ……まったく。",I knocked so many times.You're to blame for leaving the door completely unlocked and open like that... jeez.,,
60,Rika (高校生クリスマス),"えっ、そうだったの？
ごめんなさい、集中していたから
うっかり気づかなかったのかもね。","Huh, really? I'm sorry. I was concentrating, so I guess I didn't realize.",editz,
62,Satoko (高校生クリスマス),だと思いましたわ。……はい、梨花。,"Thought so. ...Here, Rika.",,
64,Rika (高校生クリスマス),？　どうしたの、手を出してきて……握手？,Why are you offering me your hand...? Is this a handshake?,,
66,Satoko (高校生クリスマス),"違いますわ。その折り紙、半分こちらに
渡してくださいまし。
私も手伝って差し上げましてよ。",Not at all. Can you give me half of those origami? I'll help too.,editz,
68,Rika (高校生クリスマス),"えっ？　で、でも沙都子の担当は
クリスマスツリーでしょう？","Eh? B-But you're in charge of the Christmas tree, aren't you?",,
70,Satoko (高校生クリスマス),"ご安心なさいませ。
私の担当分は、とっくに終わりましたわ。",Don't worry. I'm already done with everything I was in charge of.,,
73,Satoko (高校生クリスマス),"勉強はともかく、手先の器用さに関して
私は、誰にも負ける気がしませんのよ～！
をーっほっほっほっ！","Studies aside,I won't lose when it comes to moving around these fingers~! Ohohoho!",i did change this to hands bc temoto is more like arms/hands,
75,Rika (高校生クリスマス),"……なんだか微妙な胸の張りようね。
でも、……ふふっ。
沙都子のその笑いを聞いて、安心したわ。","...You're oddly proud about that. But... *giggle*.
Hearing your laugh is reassuring.","she's like ""wait... she doesnt play guitar does she?""",
77,Satoko (高校生クリスマス),"あら、そうでしたっけ？
それはともかく、梨花もさっさと片づけて
休まないと、明日に響きましてよ。","Oh, is that so? Anyway, Rika, if you don't finish things up soon, you won't have any energy for tomorrow.",,
79,Rika (高校生クリスマス),"ありがとう、沙都子。
……それじゃ、よろしくね。","Thank you, Satoko...
Well then, I'm counting on you.",,
89,Satoko (高校生クリスマス),"それにしても、生徒会長も
よくわからない頼み事をされますわね。
クリスマスパーティーの飾りつけなんて……。","Still, the student council president really did give us an odd request. Decorating for a Christmas party like this...",,
91,Rika (高校生クリスマス),"まぁ色々と弱みを握られたというか、
大きな借りができちゃったから……
今回は大人しく聞くしかないわね。","Well, she did find a bunch of ways to get us by our tails, so we ended up indebted to her... Now we have no choice but to do as she says.","Well, she had a good grip on our weaknesses... rather, we ended up indebted to her... So we have no choice but to do as she says now.",
93,Satoko (高校生クリスマス),"……その点では、梨花に申し訳ないことを
してしまいましたわ。私が無断外出したこと、
梨花にすぐに勘づかれるとは思わなくて。",...I feel like I did something bad to you. I didn't think you'd notice that I snuck out right away.,,
95,Rika (高校生クリスマス),"当然でしょ？　この学園に来てから、
あなたのことを考えなかったことなんて
ほんのわずかな時でもなかったわ。","Of course I would. Ever since we came to this school, not a moment has passed where I'm not thinking about you.",editz,
99,Satoko (高校生クリスマス),"そ、そんなにストレートに言わないで
くださいませ……２人きりとはいえ、
さすがに照れてしまいましてよ。",Y-You don't have to be so direct about it... It's still embarrassing even if it's just the two of us here right now.,KHAAHHH,
101,Rika (高校生クリスマス),"……。沙都子は、ルチーアのことが
あまり好きじゃないかもしれないけど……
私は一緒に学んで、一緒に卒業したい。","...You may not like Lucia that much, but I want to learn new things together, graduate together.",editz,
103,Rika (高校生クリスマス),"力を合わせて、２人で掴んだ学園生活だから……
少しでも、明るい未来に繋げたいのよ。","This is the school life we've attained by doing our best together after all... I want it to lead us to a brighter future, even if only by a little.",,
105,Satoko (高校生クリスマス),"えぇ、わかっておりましてよ。
ですから私も、精々あがいてみせますわ。","Yes, I know that. That's why I'll also keep doing my very best.",,
107,Satoko (高校生クリスマス),"勉強は今でも、とても好きとは
お世辞にも申し上げられませんけど……。","Even now, saying that I genuinely like studying would be a bit of an exaggeration, but...",editz,
109,Satoko (高校生クリスマス),"最近は手応えを私なりに少し、
感じられるようになってきたんですのよ。","Recently, I've been feeling like it's a bit gratifying.",,
117,Rika (高校生クリスマス),そうなのっ？！,Really?!,,
125,Satoko (高校生クリスマス),"……声が大きいですわよ、梨花。
いくらこの部屋への入室を認められているとはいえ、
今が夜中ということを忘れないでくださいませ。","...You're being too loud, Rika. We've been given permission to use this room, yes, but don't forget it's the middle of the night right now.",,
127,Satoko (高校生クリスマス),"この状況を知らない先生に見つかったら、
生徒会長への借りを増やすことになりますわ。","If a teacher that doesn't know of our situation sees us, we'll end up owing even more to the student council president.",,
129,Rika (高校生クリスマス),ご、ごめんなさい……つい、びっくりしちゃって。,S-Sorry... I just got startled.,,
131,Satoko (高校生クリスマス),"そこまで驚かれるのも、
若干心外な思いがありますわね……。
梨花にとって、そんなにも意外なことでしたの？","It's a bit disheartening that you're so surprised, Rika...
Did it really sound that surprising to you?",,
133,Rika (高校生クリスマス),"えっと、その……うん。
正直に言ってしまうと、とても信じられなくて
夢でも見ているような気分よ。","I, um... yeah. To tell you the truth, it's so unbelievable that I feel like I'm dreaming.",,
135,Rika (高校生クリスマス),"だって、私と一緒に試験対策をする時でも
沙都子はいつも、辛くて苦しそうな顔を
していたから……。","Like, even when we were preparing for exams, you looked like you were in so much pain...",editz,
137,Satoko (高校生クリスマス),"そうですわね……せっかく梨花が忙しい時間を
割いてくれたのに、私は暗い顔ばかりをして
心配ばかりをかけていると、自覚はしていましたわ。","That is true... Despite the fact that you were so busy dedicating your time to me, I would still continuously worry you by looking depressed. That much I was aware of.",editz,
139,Satoko (高校生クリスマス),"だけど、あの頃の私には……
あなたを気遣えるほどの余裕がなかった。
自分自身のことだけで、精一杯だった。","But at the time, I was so preoccupied with myself that I had no room to be more considerate towards you.",,
141,Satoko (高校生クリスマス),"息苦しくて、先が見えなくて、逃げ出したい……
あなたには申し訳ないと思っていながらも、
そう考えたことは１度、２度ではありませんでした。","""It's suffocating, I can't see what the future holds, I want to run..."", even though I felt sorry for you, these thoughts were always on my mind.",,
143,Rika (高校生クリスマス),"……。それが変わったのは、
あの生徒会長と出会ったからなの？",...Did that change because you met the student council president?,,
145,Satoko (高校生クリスマス),"きっかけになったのは、確かですわね。
初めてお会いした時は驚きましてよ……
まさか、ルチーアにこんな人がいたなんて。","I'd say it was the trigger. I was shocked when I first met her...
Who would've thought there was someone like this at Lucia.",,
147,Satoko (高校生クリスマス),"というより、よくあんな性格でルチーアでの
生活を続けられたものと、感心しましたわ。
……あの人、中等部からの入学だそうでしてよ。","Rather, I was impressed someone with that attitude was able to keep up with the life at St. Lucia. ...It seems that person has been enrolled since middle school.",,
149,Rika (高校生クリスマス),"じゃあ……中等部から入学して、５年目？
そんなにも長い間、この学園であの性格を
貫いていたっていうの？","So... if she's been enrolled since middle school, that would make this her fifth year? She managed to live at this academy with a personality like that for so long?",editz,
151,Satoko (高校生クリスマス),"驚きですわよね……
だから、色々と話を聞いてしまいましたの。",It really is surprising... so I listened to everything she had to say.,editz,
153,Satoko (高校生クリスマス),"あの人と、色々話して思いましたわ。
……才媛だろうと落ちこぼれだろうと、
根っこの部分はそこまで違いはない。","After hearing her out, I thought for a bit.
...The roots between geniuses and dropouts aren't all that dissimilar.",editz,
155,Satoko (高校生クリスマス),"違うところは気づいたか、
気づかなかったか……
ただ、それだけなんだろうと。","It's whether you notice that difference or not...
That's all there is to it.",,
157,Rika (高校生クリスマス),……。あいまい過ぎて、よくわからないわ。,"...That sounds so vague, I'm not sure I understand.",,
159,Satoko (高校生クリスマス),"ふふっ、ですわね。
実は私もよく理解できていないので、
正直ふわっとしていますのよ。","*giggle*, thought so. I actually don't understand it that well myself, so I just have a general idea of it.",,
161,Satoko (高校生クリスマス),"ただ……それを意識することでなぜか、
それまで苦痛でしかなかった勉強がなんだか
違うもののように感じられてきたんですの。","But... once I was made aware of that, I began to see studying in a different light rather than something that's painful.",,
164,Rika (高校生クリスマス),…………。,............,,
170,Rika (高校生クリスマス),（沙都子の言っている意味が、よくわからない）,(I don't quite understand what Satoko means.),,
172,Rika (高校生クリスマス),"（まるで悪質な宗教かセミナーにでもかかって、
おかしな方向に啓発されたんじゃないかって
危惧も感じる……）",(I almost feel nervous hearing that; it's as if she's been enlightened in an unusual way by a vicious religion or a seminar...),,
174,Rika (高校生クリスマス),（でも……）,(But...),,
176,Rika (高校生クリスマス),"（今の沙都子は、つい最近までとは違う。
楽しかった#p雛見沢#sひなみざわ#rで生活していた頃と、
よく似ている……）",(The present Satoko is different from the one not too long ago. She's reminiscent to how she was having fun back in Hinamizawa...),editz,
178,Rika (高校生クリスマス),"（沙都子が楽しいのはあの頃、
圭一やレナたちがいたからで……
今は、生徒会長）","(The reason why Satoko had fun back then was because Keiichi, Rena, and the others were there... but now, it's thanks to the student council president.)",,
180,Rika (高校生クリスマス),…………。,(............),,
182,Rika (高校生クリスマス),"（……情けない。
私の力では、こんな顔をさせてあげることが
できなかった……）",(...I'm pathetic. I can't make her smile like this on my own...),editz,
