chara072017_03.bytes,chara,jp,en,,
23,,――１２月２４日、夜。,"December 24th, nighttime.",,
30,？？？？,"さて、新生徒会メンバー諸君！
今夜はお集まりいただいて、本当にありがとう！","Okay, my fellow new student council members!
Thank you so much for joining us tonight!","COLOR LEGEND:
Purple: Student Council President
Red: Second Year A - 10 lines
Orange: First Year A - 4 lines
Yellow: Second Year B - 7 lines
Green: First Year B - 2 lines",
32,？？？？,"学園主催のミサだの、偉い人のお説法などで
たまった鬱憤は、ぜひここで晴らしてくれ！",Please release any pent up inhibitions you've had towards the Mass preachings sponsored by the higher-ups at this academy.,editz  naisu,
34,？？？？,"……ただしバレると、
面倒くさいことこの上ない展開になるので、
なるべく静かに楽しんでくれ。","...However, if we get caught, it'd be one terrible development, so I ask of you to quietly have fun.",the green girl only had two lines so that wasnt even fair / YEAH,
36,？？？？,ということで、今からこのクラッカーを配る！,"That said, I'll give out these crackers now!",i still cant believe how well we did lmfaooooooo / wheres our award,LIKE GIVE US OUR TROPHY NOW RYIUKISHI
38,？？？？,"会長ー！　クラッカーを配っている時点で
静かにする気なんてありませんよねぇ～？","President~! There's no way we can keep silent with crackers, though~?",THIS IS SO LAME KSGJJSDG oMG MY CRACKERS!!! ninensei A,
40,？？？？,"あの……その前にまず、
会長さんの声がうるさいです。","Um... can I just say, President's voice is way too loud.",ichinensei A,
42,？？？？,"あー、すまない！
それなら、しばらく口を閉じるとしよう……むん！","Ahh, my bad! Well then, I'll shut my mouth for a while... nom!",,
44,？？？？,"それにしても……この部屋、素敵な飾りつけね！
誰がやってくれたの？　まさか、会長が？","Still... what wonderful decorations! Who did it? It couldn't have been you, President?",ninensei A,
46,？？？？,"……なわけないでしょ。
この人にここまで丁寧な仕事ができると思うの？",...Of course not. Do you really think a person like her could do such an intricate job?,ninensei B,
48,？？？？,……（もごもごもがもが）。,"...(Om, nom, nom.)",this is eua actually,
50,？？？？,"って、会長！　口をもごもごさせながら
親指立ててないで、ちゃんと説明してよ。","Hey, President! Stop twiddling your thumbs while chewing and just properly explain it to us already.",we good so far ninensei B (HOLY SHITT,
52,？？？？,"そういえば、さっきしばらく口を閉じるって
宣言してましたからねー。
……パントマイムでもやってくれるんですか？","Right, she stated she'd keep her mouth shut for a while.
...Will you pantomime for us?",I THINK YOURE RIGHT ichinensei B (100 POINTS FOR US),
55,Rika (高校生クリスマス),あ、あの……。,U-Um...,OMFG WE DID AMAZING IM DYING,
58,？？？？,"あっ、ごめんなさい。あなたたちって確か、
会長が生徒会に引きずり込もうとしてる１年コンビね。
北条さんと、古手さん……だっけ？","Ah, sorry. If I'm not wrong, you two are the pair of first years the president is trying to drag into the student council... Houjou-san and Furude-san... was it?",YEAHHGHHJ ninensei B,
61,Satoko (高校生クリスマス),は、はい……ご存知でしたの？,Y-Yes... so you know us?,GIRL WE DID IT,
64,？？？？,"えぇ。北条さんのことは前々から聞いてたし、
古手さんはサロンの面々から評判を聞いてたからね。","Yes. I've heard of you quite a long time ago, Houjou-san, and I've heard of Furude-san's reputation from the girls at the salon.",ninensei B,
66,？？？？,"注意してください……会長さんって、
気に入った相手は絶対に逃がさない性格ですから、
嫌だったらはっきり断らないと、後々面倒ですよ。","Please do be careful... the president has a habit of never letting the people she likes go, so if you don't want that, you'll have to reject her upfront. It'll be all sorts of trouble otherwise.",editz ichinensei A,
69,Satoko (高校生クリスマス),ま、まぁそれは、よくわかっておりますわ……。,"W-Well, I'm already well aware of that...",WE DID IT   LITERALLY   H O W !!!!!!!!1,
72,？？？？,"あなたたちも、厄介な人に絡まれて大変ね。
……まぁ、私たちも同じ穴のムジナだけど。","You two must have it hard being involved with someone so troublesome. ...Well, we're all in this together, though.",ninensei A,
74,？？？？,"けど、そのサンタ衣装……可愛いけど、
露出度がすごいわね……？","Still, those Santa outfits... they're cute, but don't they expose too much?",editz ninensei B,
76,？？？？,そんなに肌が見えてて、寒くない？　大丈夫？,Aren't you guys cold exposing so much skin? Are you okay?,ichinensei B,
78,？？？？,"ちょっと、会長。
可愛いのを着せたいって気持ちはわかるけど、
もっとあったかそうな服にしてあげなさいよ。","Hey, President. I understand the feeling of wanting them to wear something cute, but you could've at least picked some warmer clothes.",OK I THINK THEYRE ALL CORRECT NOW ninensei B,
80,？？？？,"そうです、これじゃ完全に罰ゲームです。
風邪でも引いたら、どうするんですか？",She's right; this is almost like a punishment game. What will you do if they catch a cold?,I'LL RUN THROUGH AGAIN ichinensei A,
82,？？？？,……（もごんごしょんぼり）。,"...(Chomp, munch, munch).",editz,
86,Satoko (高校生クリスマス),"だ、大丈夫ですわ！
この部屋を準備した時から部屋の暖房を
つけておりましたし、全然平気ですのよ！","I-It's okay, really! We've had the heater on since the time we were getting the room ready, so we're doing fine!",U DONT GOTTA DO ALL THAT,
