chara042001_03.bytes,chara,jp,en,Notes TL,Notes QC
30,圭一 (ヒーロー),"よぉ。待ち合わせ場所、エンジェルモートで
合ってたみたいだな。",Yo. Looks like I was right about Angel Mort being our meeting place.,,
33,Kazuho (Casual),"うん。やっぱり、さっきのは
前原くんだったんだね。","Yeah. So, the guy from earlier {i}was{/i} you, Maebara-kun.",,
35,圭一 (ヒーロー),おぅよ。むしろ、よく俺だってわかったな。,"Yup. By the way, how'd you know it was me?",,
39,Miyuki (Casual),声を聞けばわかるよ……あいつらは？,It was the sound of your voice... so what happened with those guys?,,
41,圭一 (ヒーロー),"適当に相手してから、巻いてやったぜ。
ここを突き止めるのは、まぁ無理だろうな。
ははははっ！","They put up a good fight, so I taught them a lesson.
Let's just say they'll never be able to find this place. Hahahahaha!",,
45,Nao (Casual),ありがとう、おかげで助かったわ。,Thank you. We were able to get away thanks to you.,,
47,Nao (Casual),"こういう褒め言葉は、センスがないから
あまり使わないけど……
ヒーローみたいで、かっこよかったわよ。",I don't often give compliments like this because I don't think it's tasteful... but you were a pretty cool hero.,,
49,圭一 (ヒーロー),"へへっ、ありがとよ。
……けど、ヒーローは辞退させてもらう。
俺にヒーローの看板は、重すぎるからな。","Heheh, thanks. ...But, I'll have to turn down being called a hero.
The title of hero is a little too heavy for me.",,
51,圭一 (ヒーロー),"それに正直、俺も色々あって……
とても正義の味方なんて名乗れねぇしさ。",And honestly... I can't really call myself an ally to justice for a bunch of reasons either.,,
53,Nao (Casual),"……そう。だとしても、あたしたちを
助けてくれたことは事実よ。","...I see. Even then, the fact remains that you saved us.",,
58,Miyuki (Casual),"んー。だったらさ、間を取って
「ダークヒーロー」ってのはどう？","Mmm. Then maybe you could call yourself ""Dark Hero"" as an in between?",,
61,Kazuho (Casual),「ダークヒーロー」……って？,"""Dark Hero""...?",,
63,Miyuki (Casual),"簡単に説明するなら、正義の心に目覚めた
悪役のことだよ。
それなら前原くんも、納得できるんじゃない？","Basically, a villain who awakened to a heart of justice.
That's more something you can accept, right, Maebara-kun?",,
71,圭一 (ヒーロー),"なるほど……ダークヒーロー、か。
正義の味方を名乗れない俺には、ぴったりかもな。","I see... Dark Hero, huh?
For someone who can't call himself an ally to justice, that sounds perfect.",,
78,Miyuki (Casual),ふふっ、気に入ってくれたならよかったよ。,"*chuckle*, I'm glad you like it.",,
81,圭一 (ヒーロー),"サンキュー。けど、さっき相手の骨を折るとか
言い出した時は、ヒヤヒヤしたぜ。
結構血の気が多いんだな、美雪ちゃんってさ。","Thank you. But really, I got scared when you said you would break their bones earlier. You're pretty hot-blooded, Miyuki-chan.",,
84,Miyuki (Casual),"あはははっ、前原くんには言われたくないよ～。
でも、アレで向こうの頭に血が上ってくれたから、
注意をこっちに釘づけにできたでしょ？","Ahahaha, I don't wanna hear it from you, Maebara-kun~.
But it got them riled up and kept their attention focused on us, right?",,
88,Nao (Casual),"……美雪も十分ダークね。
喧嘩慣れしてる感じだわ。","...You're dark enough, Miyuki.
You give off the vibe you're trying to get used to fights.",,
90,圭一 (ヒーロー),"ははっ、その勢いは買うけど……本当に大丈夫か？
あいつらに目を付けられたかもしれねぇぞ。","Haha, I appreciate that energy... but is it really okay?
Those guys are gonna be looking for you.",,
92,Nao (Casual),まぁ、その時はその時ね。,"Well, we'll get there when we get there.",,
96,Miyuki (Casual),"こっちは、いざという時の切り札もあるから。
心配はいらないよ。","We've got a trump card of our own for emergencies.
There's no need to worry.",,
98,圭一 (ヒーロー),"……そうか。まぁ、無理すんなよ。
いざという時は、#p雛見沢#sひなみざわ#rまで逃げちまえ。
あいつらもそこまでは追ってこないからな。","...I see. At any rate, don't do anything unreasonable. If it gets down to it, just run for Hinamizawa. Those guys wouldn't go that far.",,
102,Kazuho (Casual),"前原くんは？
#p興宮#sおきのみや#rに住んでるなら、見つかっちゃうかも……。","But Maebara-kun? You live in Okinomiya, so they might find you...",,
104,圭一 (ヒーロー),ははっ、大丈夫だろ。お面被ってたしな。,"Haha, I'll be fine. I was wearing a mask.",,
108,Nao (Casual),"あのお面、顔を隠すためだったのね。
趣味か演出のひとつかと思ったわ。","So that mask {i}was{/i} there to hide your face.
It looked like a stage production or like it was a hobby.",,
110,圭一 (ヒーロー),"本当は顔を隠さずに、正々堂々と
相手してやりたかったんだけど……
家族を巻き込む可能性を考えちまうとな。",I actually wanted to fight them fair and square without hiding my face... but there was the risk of getting my family involved.,,
118,圭一 (ヒーロー),"まぁでも、お面で顔を隠すのは
今回限りにしておくぜ。","But, well, I'll let it be just this once.",,
121,圭一 (ヒーロー),"何かを隠しながら戦うより、
全部さらけ出して戦う方が性に合ってるからな。",It's more my style to fight with everything exposed rather than fight while hiding something.,,
128,Kazuho (Casual),"……？　全部さらけ出して戦うって、
例えばどういう状況？",...? What kind of situation would you have to be in to fight with everything exposed?,,
131,圭一 (ヒーロー),そうだな……。,"Mm, good question...",,
133,圭一 (ヒーロー),本当に大切なヤツのため、とかな。,"For those really serious moments, I guess.",,
135,Kazuho (Casual),…………。,...........,,
137,圭一 (ヒーロー),"どうした、一穂ちゃん？
俺の顔をじーっと見て。","What's wrong, Kazuho-chan? You're just staring at my face.",,
139,Kazuho (Casual),"えっと、大したことじゃないんだけど。
前原くん……懐かしいなぁ、みたいな顔をしてたから。","Um, it's nothing important.
It's just... you looked like you felt nostalgic for a second, Maebara-kun.",,
143,Miyuki (Casual),"もしかして、大切な人のために
全力で戦った経験がある、とか？",Do you maybe have experience going all out fighting for someone really important?,,
145,圭一 (ヒーロー),"そういう経験は、覚えている限りないはずだけど……
そんなことがあったとしたら、心強いよな。",I don't remember doing anything like that... but it would be encouraging if that did happen.,,
147,圭一 (ヒーロー),"だって、１回できたことがもう一度できないって
道理はないんだからな！　ははははっ！！","After all, once you do something once, there's nothing stopping you from doing it again! Hahahaha!!",,
