chara062008_01.bytes,chara,jp,en,
30,Satoko (高校生夏服),"はぁ……疲れた。
やっと補習地獄から解放されましたわ。",*sigh*... I'm exhausted. I've finally been released from supplementary lesson hell.,
32,Satoko (高校生夏服),"どうもあの先生、私にばかり目をつけて
ことある毎に課題を押しつけてくるから、
うんざりでしてよ。",I'm fed up with this teacher constantly having her eyes glued on me and giving me extra work at every opportunity she can for no reason.,
34,Satoko (高校生夏服),"赤点回避までの点数に、ほんの１０点……
いえ、２０点ほど足りなかっただけじゃ
ありませんの……まったく。","I'll be free from the failing grade range with 10 more... no, it's 20 more points, isn't it? ...Good grief.",
36,Satoko (高校生夏服),"……。#p雛見沢#sひなみざわ#rでの分校生活が、今となっては
懐かしいですわ。学校の成績以外でも、私のことを
評価してもらえるものがたくさんあって……ん？","...It sure is nostalgic thinking back to life at the Hinamizawa branch school. Even apart from my grades, I was held in high regard in so many... mm?",
45,Rika (高校生),あっ……沙都子。補習はどうだった？,Ah... Satoko. How was your supplementary class?,
47,Satoko (高校生夏服),"えぇ、なんとか終わりましたわ。
多少は手間取りましたけど、
問題自体はテストの時と同じものでしたからね。","Oh, I somehow made it through. It got pushed on a little longer because of that same issue with the pop quiz before, though.",
49,Satoko (高校生夏服),"って……もしかして梨花、私の補習が終わるのを
ここで待っていてくれたんですの？","Wait... Rika, have you been waiting for my supplementary class to end to meet up with me?",added to meet up
52,Rika (高校生),"うん。お茶会には誘われていたけど、
私にとっては沙都子の方が大事だもの。","Yeah. I was invited to a tea party, but meeting with you is much more important to me, Satoko.",
54,Satoko (高校生夏服),"……ごめんなさい。梨花には申し訳ない結果に
なってしまいましたわね。
せっかく、勉強に付き合ってもらったのに……。",...I'm sorry. I ended up being a burden to you. And after all of that trouble you went through to meet up with me to study...,
56,Rika (高校生),"ううん、そんなことないわ。沙都子は今回、
苦手な教科なのにすごく頑張っていたもの。
本当に、寝る間を惜しむくらいに……。","Oh no, that's not the case at all. You were really trying your best this time on one of your worst subjects. To the point that you were actually losing sleep over it...",
59,Satoko (高校生夏服),"……ですが、ここでは結果が全てでしてよ。
あと少しでも、全然足りなくても補習対象……
いつもと同じ体たらくですわ。","...But grades are everything here. Even if I do a little more or a little less, I'll still be subjected to supplementary classes... and it'll be the same mess just as always.",
61,Rika (高校生),…………。,............,
63,Satoko (高校生夏服),"そんな顔をしないでくださいまし、梨花？
私は少なくとも、あなたには感謝していましてよ。","Please don't make that face, okay, Rika?
I'm grateful for your help at the very least.",
65,Satoko (高校生夏服),"自分の勉強の時間を、私のために惜しみなく
費やしてくれて……ありがとうですわ。",You gave up your own study time to lend me a hand with my studies... and I'm thankful for that.,
67,Rika (高校生),"でも……ごめんなさい、沙都子。私がもっと、
今回のテストに出てきそうなところをちゃんと
予想できていれば、こんなことには……。","But... I'm sorry, Satoko. If only I had properly anticipated a pop quiz at this point... then this wouldn't have...",
70,Satoko (高校生夏服),"をーっほっほっほっ！　神様じゃあるまいし、
そこまでピタリと当てられてしまっては
かえって薄気味悪いというものですわ～！","Ohohoho! You aren't God, so having perfect foresight would actually be pretty creepy~!",
72,Satoko (高校生夏服),"ですから、梨花……そんなに責任を
感じないでくださいまし。私も次こそは、
もっと効率的に対策をしてみせましてよ。","But seriously, Rika... don't feel so responsible for it. I'll try to prepare much more effectively next time.",
75,Rika (高校生),"……えぇ、わかったわ。じゃあ、もう言わない。
だから次回も、あなたの勉強を手伝わせてね。","...Okay, understood. I won't say those things anymore then.
And I'll be helping with your studies this time too.",
77,Satoko (高校生夏服),"もちろんですわ。このルチーアでは、
梨花の助けが私にとっての生命線！
まさに命綱というものですから……ね？","Of course. Your help is indispensible to me at Lucia!
It might as well be my lifeline... right?",
79,Rika (高校生),"くすっ……あ、そう言えば今日、
私のクラスの家庭科実習でクッキーを焼いたのよ。
もしよかったら、一緒にどう？","*giggle*... Ah, that reminds me, we practiced making cookies in home economics class today. Would you like to have some with me?",
81,Satoko (高校生夏服),"あら、いいんですの？　いつもの取り巻きの方々と
お食べになられたほうが、話も盛り上がるでしょうに。","My, is that okay? Giving them to all of those groupies you constantly have would make it much more lively.",
83,Rika (高校生),"もう、そんな言い方をしないでよ。
沙都子と一緒の時間の方が大事だって、
さっきも言ったじゃない。","Oh, don't talk like that. Haven't I told you a bunch of times how important spending time with you is to me?",
85,Satoko (高校生夏服),"……すみませんわね。どうもこの学園に来て以来、
ひがみっぽくなったというか……あなたの言葉さえ
素直に受け取れなくなっているようですわ。",......Sorry. Somehow my views have gotten pretty warped since coming to this academy... so it makes it hard to take what you say at face value.,
87,Rika (高校生),"本当は、沙都子にもあのグループの輪の中に
入ってもらいたいんだけどね。あの子たちも
内面は悪くはないんだけど……その……。","The truth is I'd prefer if you joined that group too, though. Those girls aren't so bad on the inside, but... um...",
90,Satoko (高校生夏服),"えぇ……どうもカーストを作りたがるというか、
自分から見て立場が上か下かを明確にしてから
相手に接する傾向がありますわね。","Yeah, well... for some reason, they have a tendency for wanting to enforce a caste system or something so that they can distinguish right off the bat whether someone is above or below them.",
92,Satoko (高校生夏服),"魅音さんやレナさんたちは、年上なのに決して
そういう態度を見せたりしませんでしたし……。",Mion-san and Rena-san never exhibited that kind of behavior even though they were older...,
