chara442001_03.bytes,chara,jp,en,,
40,Satoko (Casual),"神社で待っているようにとのことでしたが……
美雪さんたち、大丈夫ですの？",You've been waiting at the shrine... but are you guys okay?,,
42,Kazuho (Casual),"心配はいらないと思うよ。
材料はすぐに揃えられたし、作るのにも
時間はかからないって言ってたから……。","You don't have to worry, I think. We gathered up the ingredients fast, and they said making it won't take very long either...",,
45,Kazuho (Casual),あっ……美雪ちゃんたち、来たみたいだよ。,Ah... it looks like Miyuki-chan and the others are here.,and the others? tho and them works too ig,
50,Miyuki (Casual),"おまたせ、一穂～！
おっ、沙都子もお出迎え？","Sorry for making you wait, Kazuho~!
Oh, Satoko met up with you too?",,
54,Satoko (Casual),"え、えぇ。……ふわぁっ、とってもいい香りが
バスケットの中からしてきましたわぁ……！","Y-Yeah. ...Wow, that basket has a super nice smell coming from it...!",,
58,Rena (Casual),"あははは、じゃーん。
これがチュロスなんだって～！","Ahahaha, tadaaa! Because I made these churros~!",,
62,Kazuho (Casual),わぁ、すごい！　たっくさん！,"Woah, cool! There's so many!",,
66,Nao (Casual),"みんなで食べるために、レナちゃんが
いっぱい作ってくれたのよ。",Rena-chan made a bunch so that we can all eat our fill.,,
70,Miyuki (Casual),"私が知ってるのとは、ちょっと味が違うけどね。
でも、これはこれでおいしいよ！","The flavor is a bit different from what I know, but it's delicious in its own right!",,
72,Nao (Casual),"当然よ。レナちゃんが作ったんだもの、
おいしくないわけがないでしょ？","Naturally. Rena-chan made them, so how can they not be delicious?",,
76,Satoko (Casual),……これで、なんとかなりそうですわ。,...It looks like I'll be able to get by with these.,,
80,Kazuho (Casual),えっ……？,Huh...?,,
82,Satoko (Casual),"なんでもありませんわ！
さ、皆さん首を長くしてお待ちでしてよ～！","Nothing at all!
Now, I do believe I've been eagerly waiting for this~!",,
90,Mion (Casual),"……おっ、レナ！
そのバスケットの中身は、もしかして……？","...Oh, Rena! Inside that basket... could it be...?",maybe 'that' in itallic?,i actually changed this
92,Hanyuu (Casual),"あぅあぅあぅ！
これがチュロス……なのですか？！",Au au au! Are those... churros?!,,
96,Rika (Casual),"みー。お砂糖がたっぷりかかって、
おいしそうなのですよ。","Meep. There's a ton of sugar on it, so it looks really tasty.",,
100,Rena (Casual),"作り方はもうわかったから、
来月の上映会にはもっとおいしいものを
作ってくるからねっ。","I've already memorized the recipe, so I'll be making more tasty things for next month's screening party.",,
