chara042003_02.bytes,chara,jp,en,Notes TL,Notes QC
35,Mion (Casual),"というわけで圭ちゃん、勝負だ！
勝っても負けても恨みっこなし、それでいいね？！","Anyways, Kei-chan, let's get this battle started!
And no hard feelings whoever loses, right?",,
38,圭一 (Casual),"おぅ、上等だ！　魅音も終わってから文句をつけるだの
言い訳したりだの、見苦しい真似は認めねぇからな！","Yeah, that's fine by me! I won't allow you to complain or make excuses when I'm done with you either!",removed disgraceful bc mion says it next line / its too wordy in eng,
40,Mion (Casual),"はっはー、誰がそんなみっともないことするかっての！
それじゃみんな、覚悟はいいっ？","Hahah, as if I'd do something as shameful as that!
Alright, is everyone ready?",,
44,Miyuki (Casual),"あー、えっと。準備も何も……
本当に、主人公の武器を剣にするか銃にするかを
『ロールカード』のバトルで決めるつもりなの？","Umm, well, ready or not... you seriously plan on duking it out with {b}Role Cards{/b} to decide if the protagonist should use a sword or a gun?",,
46,Mion (Casual),"当然っ！
そのために、ここで暴れてもいいって許可を
わざわざ町会から取りつけたんだからさ！",Of course! That's the reason I got express permission from the town council to run wild here!,,
50,Rena (Casual),"はぅ……魅ぃちゃん、どう考えてもこれは、
ちょっとやりすぎなんじゃないかな……かな。","Hau... Mii-chan, no matter how you look at it, isn't this maybe going a little overboard... a little overboard?",,
52,Mion (Casual),"何言ってんだよ、あんたたち！　私たちの背中には
全国何千億人のガンマニア、銃愛好家の人たちの期待が
寄せられているんだ！",What are you guys even saying?! We got the hopes of hundreds of billions of gun lovers and fanatics all over the country riding on our backs!,,
54,Mion (Casual),"その期待に応えなきゃ、女がすたる！
いや、性別なんて関係なしに顔向けができないっての！","If I let them down, I'd lose my right to call myself a woman!
No, I'd never be able to face them regardless of gender!",,
58,詩音 (Casual),"あのね……いくら多いって言っても、地球上の人口を
超えるほどの人数がいるわけないでしょうに。
幽霊の数まで加えてませんか、お姉？","Um... that number goes far beyond the population of people on Earth altogether. Are you positive you're not also adding ghosts to that number, Sis?",reworded bc easier/neater,
62,Nao (Casual),"……なんか完全に、自分を見失ってる感じよね。
前原さんと仲直りしたことで、少しは攻撃性が
なりを潜めるんじゃないかな、って思ってたんだけど。",...It's like you've completely lost sight of yourself. I was thinking that your aggression would subside a bit after making up with Maebara-san.,,
66,Satoko (Casual),"どちらにしても魅音さんって、圭一さんがからむと
普段の理性をドブに捨ててしまう傾向があるように
見受けられますわ……。","Either way, it's apparent that Mion-san has a habit of flushing her usual rationale down the drain whenever Keiichi-san is involved...",,
70,Hanyuu (Casual),"あぅあぅ……むしろ単純に嫌っていた時よりも
対抗心が強くなって、危険度がグレードアップ
している感じなのですよ……って、ひゃぁぁぁっ？！","Au au... instead of just disliking the person like other people do, her competitiveness gets stronger, which makes the danger of the situation level up even more... wh-, hyaaaaa?!",,
75,Rika (Casual),"みー、ごめんなさいなのです。
うっかり引き金を引いたら、弾が飛び出して
しまったのですよ。にぱー。","Meep, I'm sorry.
I accidentally pulled the trigger and a bullet shot out. Nipah~.",,
77,Hanyuu (Casual),"引き金を引いたら弾が出るのは当然なのですよ、
あぅあぅあぅっ！","Of course a bullet will shoot out if you pull the trigger, au au auu!",,
81,Satoko (Casual),"た、確かに……。悪意がないほうが、
よっぽど危険度が上ですわね……それにしても……。",W-Well... danger levels certainly do rise massively when there's no ill will involved... but...,,
86,Kazuho (Casual),"あ、あの……魅音さん。剣と銃の対決ってことは
よくわかったけど……
さすがにこれは、人数が違いすぎじゃ……？",U-Um... Mion-san. I completely understand that we're having a sword versus gun fight... but don't you think the sides are a little unbalanced...?,,
89,詩音 (Casual),"そうですよ、お姉！　圭ちゃんは当然としても、
剣チームが私と一穂さんの２人だけだなんて、
明らかに配分ミスでしょうがっ！","That's right, Sis! Obviously Kei-chan is on Team Sword, but Kazuho-san and I are the only other members with him, so clearly there's a problem with the distribution! ",,
91,Kazuho (Casual),"そ、そうだよ……！　剣じゃないけど打撃系だったら、
美雪ちゃんもこっちのチームに入るべきで……。","Y-Yeah...! Miyuki-chan should join us since her weapon is a striking type, not ranged...",shortened,
95,Miyuki (Casual),"悪いねー、一穂。
警察ときたらやっぱ銃が基本だ、って魅音からも
言われてさ。こっちにつかせてもらったんだ♪","Too bad, Kazuho. Mion told me that firearms are essential for police officers. I'm gonna be siding with her♪",,
99,詩音 (Casual),"日本の警察が銃ぶっ放しているところなんて、
ほとんど見たことがありませんよっ！
アメリカかどこかの国と間違えていませんか？！","I've barely ever seen Japanese police officers using their guns!
Did you get our country confused with America?!",I SPAT?!$!!%^$^@# SO OUT OF POCKET,
103,圭一 (Casual),"というか、どう考えてもレナはこっちだろ！
お前は鉈か斧が中心の武器じゃねーか！
菜央ちゃんもナイフ使いだし、どうなってんだ？！","Anyways, Rena should definitely be over here! She has a focus on hatchets and axes and stuff! Nao-chan too, you use a knife, so what's going on?!",,
107,Mion (Casual),"くっくっくっ……何言ってるんだよ、圭ちゃん。
レナのパンチは十数ｍの相手でも仕留めるんだから、
明らかに飛び道具じゃんか。","*cackle*cackle*... what do you mean, Kei-chan?
Rena's punches can take opponents out from over 10 meters away, so she's clearly a gun-type.",,
109,Mion (Casual),"菜央ちゃんは、まぁ……レナがこっちにいるから、
自然と同じチームってことでね。","As for Nao-chan, well... since Rena's over here, it's a no brainer she'd join the same team.",,
113,詩音 (Casual),"定義の解釈が強引ですよっ！
後半に至ってはまったく理由になっていません！
レナさんに菜央さん、それでいいんですか？！","These conditions are way too forced! The latter isn't even close to a reason at all! Rena-san, Nao-san, are you really okay with this?!",,
118,Rena (Casual),"は、はぅ……だって魅ぃちゃん、デザートフェスタの
招待チケットをくれたし……。","H-Hau... Mii-chan gave me invitation tickets to the Dessert Festa, so...",,
122,Nao (Casual),"……ごめんね、一穂。ペア招待だから一緒に、って
レナちゃんに誘われたら、断る選択肢はなかったのよ。","...Sorry, Kazuho. Refusal wasn't an option for me since Rena-san invited me to go with her.",,
