chara032009_03.bytes,,Llorona; I deeply welcome any and all feedback to my interpretations. Please let me know if there's something I should fix!,Omega - QC,,
index,chara,jp,en,,
28,Nao (Casual),"（そしてあたしは、ベアトリーチェの
ゲーム盤へ降り立った）","(And so, I landed down on Beatrice's game board.)",,
29,Nao (Casual),"（タイトルは、
『Legend of the golden witch』
……黄金の魔女の伝説）","(The title is ""Ougon no Majo no Densetsu"" ...Legend of the Golden Witch.)",,
30,Nao (Casual),"（あたしはそこで、「右代宮戦人」さんの
背後霊のように付きまとい、
彼が見聞きする一部始終を観察させてもらった）","(There, I lurked in ""Battler Ushiromiya-san's"" shadow, being allowed to spectate what he sees and hears from start to finish.)",,
31,Nao (Casual),"（１９８６年１０月４日から、５日までの六軒島を
彼の目と、耳を借りて……）","(Through his eyes and ears, I bear witness to the Rokkenjima of the 4th and 5th of October in 1986...)",,
32,Nao (Casual),"（肖像画の下に掲げられた謎の碑文。
そのメッセージになぞらえた密室殺人事件。
魔女の黄金をめぐる様々な#p思惑#sおもわく#r……そして）","(The mysterious epitaph written below the portrait imitates the locked-room murder incidents, containing various prophecies regarding the pursuit of the witch's gold, including...)",*furigana?,
33,Nao (Casual),（――島に隠された、黄金郷……）,(--the island's hidden Golden Land...),,
42,Nao (Casual),……よい、しょっと。,"...Alright, there we go.",,
45,ベアトリーチェ,おぉ、終わったか菜央！,"Ooh, have you finished, Nao?!",,
47,Nao (Casual),"えぇ、といっても物語の幕を閉じたのは
戦人って人だけど……。","Yes, although the one who closed the curtains on this tale was Battler...",,
49,Nao (Casual),"ただ、あれは「幕を閉じた」という表現で
正しいのかしら……？","But, I wonder if the expression ""closed the curtains"" is accurate...?",remove actually before accurate,
51,ベアトリーチェ,"くっくっくっ、言いたいことはわかるぞォ。
あれは要するに「タイムオーバー」……
時間切れを迎えただけの結末だ。","*cackle*cackle*cackle*, I get what you're trying to say. It was essentially a ""Time Over"" ending where the clock ran out.","from ""*cackle*cackle*cackle*, I know what you are trying to say. When the screen cuts out with ""Game Over"" when the ending has arrived."" ",
53,ベアトリーチェ,"物語を「終わらせた」と言うよりも、
むしろ「終わってしまった」というべきであろう。","Instead of saying the story ""was brought to an end"", the saying ""has incidentally reached the end"" would be more appropriate.",,
55,ベアトリーチェ,それで……妾のゲーム盤、どうであったか？,And thus... how was my game board?,,
57,Nao (Casual),そうね。一言で言うなら……。,I see. If there's one way to say it...,,
59,ベアトリーチェ,言うなら？,If there is?,,
61,Nao (Casual),……悪趣味ね。,...It's in bad taste.,,
70,ベアトリーチェ,"く、く……くっくっひひひゃひゃっひゃっひゃっ！
そうかそうか、悪趣味か！","Pff... *cackle*cackle*cackle*, hyyyaaahahahahaha! Really, is that so? Bad taste!?",,
78,Nao (Casual),"だって、碑文に沿っての
連続殺人が趣味の良いものだなんて、
さすがに言えないと思うわ。","Like really, I don't even think I could say the locked-room murders aligning with the epitaph was tasteful.","from ""Like really, even if the epitaph aligning with the locked-room murders {i}was{/i} good taste, I don't think I would even mention it.""",good taste -> tasteful (contrasting with tasteless)
80,Nao (Casual),"ただ……センスが悪い、とは言わない。
だって、悪趣味ってだけじゃないもの。",Well... I'm not saying it's {i}tasteless{/i}. Because it isn't entirely in bad taste.,because it isn't just bad taste -> it isn't entirely tasteless either,
82,ベアトリーチェ,……ん？,...Hm?,,
84,Nao (Casual),"あのお話ってどこまでが本当か、それとも嘘か
わからないもの。だからあちこちに、読み手を
騙そうという罠がばらまかれてる気がするの。","I don't know how much of that story is real, as well as how much of it is a lie. I feel like this is because there are tricks scattered about here and there to deceive readers.",,
86,ベアトリーチェ,……ふむ、妾の存在が嘘であると申すか？,"...Hm, are you saying my existence is a lie?",,
88,Nao (Casual),"そうとは思わないわ。
けどあたしは、戦人さんの目を通して
あのゲーム盤を観劇した……。",I don't think so. But after having spectated the game board through Battler-san's eyes...,with me having -> since I,
90,Nao (Casual),"つまり、自分の目じゃない。
他人の主観やバイアスが入ってることになるわ。","In essence, they aren't my own eyes. Someone else's perspectives and biases are also included.",,
92,ベアトリーチェ,"自分の目で見なければ、全ての事実を
真実とは認められず……
また魔女の存在も、信じられない……と？","Without being able to see with your own eyes, the full truth is unable to be seen... So you're saying the witch's existence isn't being believed in again...?",all truth would be uncovered -> it would all be revealed,
