chara072016_01.bytes,,Lloro - TL,Naegles- QC,
index,chara,jp,en,
37,Rika (Casual),温泉施設の一部を、再開するのですか？,You'll be reopening some of the hot spring facilities?,
42,Mion (Casual),"……というより、開放だね。
ほら、できたばかりの温泉街が例の件で
ほぼ全壊しちゃったでしょ。","...Open up for the first time is more accurate. The hot spring district was pretty much completely wiped out just as we finished building it, y'know?",
44,Mion (Casual),"それで、早急に撤去作業を進めないと
いけないんだけど……撤去業者さんを泊めたり、
食事を出したりする場所が必要だからね。","So thanks to that, we urgently need to continue with the cleanup work... since the cleanup workers will need a place to stay and eat at and stuff.",
48,Kazuho (Casual),開放するところは……無事だった温泉宿？,Was opening the hot spring inn... safe?,
52,Miyuki (Casual),んー……あれは無事って言っていいのかなぁ？,"Mmm... I wonder if ""safe"" is the right word here?",
56,Hanyuu (Casual),あぅ、一応形は保っていた……ような？,"Au, at least it sort of maintained its form... kind of?",
61,朱志香,"まぁ、私たちの着替えとかは一応無事だったから、
大丈夫な部分はあるんだろうぜ。
……フロントに預けてた貴重品はオシャカになったけどな。","Well, our clothes and stuff ended up fine more or less, so there are some parts that were safe. ...Our valuables we left at the front didn't make it, though.",
66,Nao (Casual),火の回り方が、よほど悪かったみたいね……。,It seems the fire took an awful turn...,
68,戦人,"にしても、温泉街が一夜にして瓦礫の山か……
諸行無常を感じるぜ。","Even so, for the hot spring inn to turn into a pile of rubble overnight... I get the meaning behind ""all things must pass"" now.",
72,Satoko (Casual),あら、なかなか知的なお言葉が出ましたわね。,"My, what knowledgeable words just left your mouth.",
75,戦人,"いっひっひ。
本によく出てくる言い回しだからな……
それで、相談ってなんだ？","Ihihi. You'd be amazed at how many expressions you can find in books... So then, what happened in that consultation?",I JUST REALIZED HE OWNED HER HERE??!?
79,Mion (Casual),"さっきも言ったように、業者さんとはいえ
外部の人を泊める以上は人手を割り振らないと
いけないんだよ。ただ……。","Just like I said before, they're contractors, but they're also not from here. We'd be in a rut if we didn't assign housing and other resources to them. It's just...",
83,Rika (Casual),……みー？　どうしたのですか、魅ぃ？,"...Meep? What is it, Mii?",
85,Mion (Casual),"そのためのアルバイトを募集したんだけど、
タイミング悪いのか集まりが悪くてさ……。","We recruited people for part time with that in mind, but the timing of this was so awful, so not a lot of people applied, and, well, y'know, uh...",
89,Rena (Casual),"はぅ……もしかして温泉宿で、レナたちに
アルバイトをして欲しいってことかな、かな？","Hau... are you maybe suggesting that we start working part time for this hot spring inn, spring inn?",laughed
92,Mion (Casual),"そうなんだよ。本当に今回はヤバくて、
できれば全員に手伝ってもらいたいんだ。","Pretty much. This time it got real bad, so if possible, it would be great if everyone jumped in on this for me.",
96,圭一 (Casual),"でも、そうなると戦人たちに#p雛見沢#sひなみざわ#rを
案内する時間がなくなっちまうな。","But if we do that, Battler and Jessica will lose out on their opportunity to get shown around Hinamizawa, won't they?",
100,詩音 (Casual),"すみません……。本当はもう少し後に撤去業者が
来る予定だったんですけど、前の現場が飛んだとかで
すぐ来てくれることになっちゃって。","I'm sorry... the removal company had plans to come a little bit after actually, but they ended up skipping their destination before ours to come right away.",
106,戦人,"……なんだ、そんなことか。
深刻な顔をするから、やばいことでも
あったのかと思ったぜ。","...What the, so that's what it was? I thought something was up since you had that serious look on your face.",
108,朱志香,"そもそも村の案内をしてほしいってのは、
こっちが一方的に頼んだだけなんだしさ。
別に気にすんなって！","We wanted you to show us around the village at first, but it was just a random thing we asked, y'know? It's really no big deal!",
113,Rika (Casual),みー。ありがとうなのですよ戦人、朱志香。,"Meep. Thank you, Battler and Jessica.",
117,戦人,"いいっていいって！
……けど、温泉宿のバイトって何をするんだ？","Yeah, it's fine, no worries!
...But what's this part time job at the inn looking like?",
122,Mion (Casual),"掃除とか、食事の準備とか……
他には、布団の交換をしたりとかかな。","Cleaning, preparing food... and I think some other stuff would be like switching out futons.",
124,Nao (Casual),宿のバイトというより、社員寮の管理運営みたいね。,That's more like a dorm manager than a part time worker at an inn.,
128,詩音 (Casual),あ、確かに。そっちの方が近いと思います。,"Yeah, definitely. I think that's closer.",
134,戦人,そうか……朱志香。,Well isn't that right... Jessica?,
137,朱志香,"へへっ、戦人も同じことを考えたのか？
さすがはいとこってやつだな。","Hehe, you had the same thought too, Battler? Guess you really are my cousin, huh?",
142,Rika (Casual),みー……？,Meep...?,
147,戦人,"なぁ、魅音ちゃん。よかったらその仕事、
俺たちも手伝わせてくれないか？","Hey, Mion-chan. Mind if we helped with that work too?",
150,Mion (Casual),"えっ？！
い、いやそれは助かるけど……いいの？","Huuh?! W-Well, that would save my skin, but... are you sure?",
155,朱志香,"あぁ！　一度アルバイトってのを
やってみたかったんだよ！",Yeah! I've been wanting to try part time out at least once!,
157,戦人,"そこまで慣れてるわけじゃねぇが、任せてくれ。
力仕事はお手のものだからよ！","I'm not super used to it, but leave it to me! Physical labor is what hands are for anyways!",
165,Mion (Casual),"うぅ……ありがとう！
ほんっとうに、ありがとうございますっ！","Uuu... thank you! Reaaally, thank you sooooo much!!",
173,Miyuki (Casual),おぅ、魅音が涙目だよ……。,"Woah, Mion's getting teary-eyed...",
175,Rena (Casual),はぅ……魅ぃちゃん、本当に困っていたんだね。,"Hau... Mii-chan's really in a tight spot, huh?",
179,Kazuho (Casual),"わ、私たちも頑張るよ！
どこまでできるかは、わからないけど……。","I-I'll do my best! I don't know what my limits are, though...",
184,Hanyuu (Casual),"あぅあぅ！
力を合わせればきっと大丈夫なのです！","Au au! If we put our hands together, I'm sure it'll be fine!",
188,Rika (Casual),ふぁいと、おー、なのですよ。,Fight oooon!,
192,戦人,…………。,............,
194,Rika (Casual),"戦人……？
ボクの顔に、何かついていますか？",Battler...? Is there something on my face?,
196,戦人,"あ、いや。今の台詞って、
どこかで聞いたことがある気がしてさ。","Ah, no. Just feel like I heard that line somewhere before.",
200,Satoko (Casual),"あら、そうですの？
そこまで珍しいものではないと思いますけど。","My, really? I don't think it's all that rare of a phrase, though.",
202,戦人,いや、そうじゃなくて……まぁ、気のせいか。,"No, not that... well, guess it's all in my head.",
205,Satoko (Casual),梨花ぁ、私たちも頑張りますわよー！,"Rikaa, you and I will do our best too!",
210,Rika (Casual),はいなのですよ、にぱー。,"Okaaayy, nipah!",
213,,…………。,............,
217,Rika (Casual),（この男……以前私と、会ったことがあるの？）,(Has this man... met another me?),man for these two
219,Rika (Casual),"（ううん、こんな男が来るカケラなんて
そもそも初めてだし……）","(No, this has to be the first Fragment where this man came here...)",
