chara072016_02.bytes,,Lloro - TL,Naegles- QC
index,chara,jp,en
32,Rika (シエスタ),――はぁぁっ！,--Haaah!
37,？？？？,『ギィイイイイイ！！』,{b}Giiiiiiiiiiiiiiii!!{/b}
41,Rika (シエスタ),よ、ようやく倒せたのですよ……。,W-We barely defeated them...
47,Miyuki (Casual),"私、梨花ちゃん、一穂、菜央、
前原くんに戦人さん……で、
ようやく倒し切れたってわけか……。","To think that Rika-chan, Kazuho, Nao, Maebara-kun, and Battler-san could have... only just barely destroyed them..."
49,圭一 (Casual),"魅音を振り切って、こっちに加勢して
よかったぜ。……あとで謝るとするか。","I'm glad I split off from Mion and helped you guys out.
...Guess I'll have to apologize later."
53,戦人,"数が多かったし、万が一囲まれてたら
厄介だったかもな。……戻ったら仕事量も、
厄介なことになってそうだけどよ。","Worst case, we could have gotten surrounded with that many of em. ...If we get back, I'm sure the workload for us is gonna be far worse, though."
59,Kazuho (Casual),"それにしても、梨花ちゃん……
前もそうだったと思うけど、
どうしてそんな格好になっちゃってるの？","By the way, Rika-chan... I think we had this conversation earlier too, but why are you in that getup?"
61,Rika (シエスタ),"……ボクにもよくわからないのです。
いつもの「カード」を使ったはずなのに、
気がついたらこの格好に……。","...I don't really know either. I found myself dressed like this even though I used what should be my usual ""Card""..."
63,Rika (シエスタ),"特に問題なく戦えてはいるので、
悪い状況ではないと思うのですが……。","It doesn't give me any issues while fighting though, so I don't think it's anything bad..."
67,Miyuki (Casual),"いつもの『ロールカード』でそうなったんだよね？
そういや、眼帯の下ってどうなってるの……？","You got like that with your usual {b}Role Card{/b}, huh? And like, what's up with that eyepatch...?"
70,Rika (シエスタ),"みー。右目はちゃんとあるのです。
この眼帯、服の一部というだけのようなのですよ。",Meep. My right eye is still there. This eyepatch seems to be part of the outfit itself.
74,Nao (Casual),……今までに、似たようなことってあったかしら？,...Has something like this happened at any point up to now?
76,Rika (シエスタ),"ここまで心当たりのない服は、初めてなのです。
だからボクも困っているのですよ。","This is the first time I've paid this much attention to it, so I'm stuck wondering about that too!"
80,戦人,"だとしたら、何か原因があるのかもしれねぇな。
何か覚えてることとかないか？","That said, there's gotta be some sort of reason this happens. Anything you can remember?"
