chara482001_01.bytes,,battler part 1. feel free to take over my tls or whatever. ,Lloro - QC/TL,Naegles- QC,
index,chara,jp,en,,
43,朱志香,"おぉっ……！
夜景もよかったけど、昼の眺めもなかなかだな！
空気が澄んでるせいか、遠くまで見えるぜ。","Oooh...! The night sky was great, but so is the view by daylight! Not sure if it's because the air is so clean, but I can see really far.","from ""Because the air is so clear,",
46,戦人,"あぁ、まったくだぜ！
とりあえずこの後は、また例の温泉施設で
身体を休ませてもらうとして……。","Yeah, you said it! After this, I'm going back over to that hot spring to relax...","from ""Ah, exactly!",
48,戦人,"……問題は、その後だ。
朱志香、お前手持ちはどれだけ残ってる？","...But the problem is what we do after that.
Jessica, how much you have on hand?",,
50,朱志香,"えっ……？
ひょっとして戦人、お前も結構厳しいのか？","Huh...? Wait, Battler, you're tight on cash too?",,
55,Kazuho (Casual),"あの……どうしたんですか？
お二人とも、なんだか青い顔をしてますけど。",Um... what's the matter? The two of you look like you've seen a ghost.,,
60,戦人,"いや……まさか宿泊施設が燃えちまうとは
さすがに思ってなかったからさ。
朱志香を探しに行く時に、小銭入れを……その。","Well... we couldn't imagine the lodging facility'd get burnt down like that, y'know? While we were looking for Jessica, my wallet, uh... yeah.",,
62,朱志香,"わ、私も知らない土地で財布を落としちゃ
マズいと思って……荷物と一緒に……。",I-I thought it would be bad if I lost my wallet in a place I wasn't familiar with... so I put it in with my luggage...,,
67,Nao (Casual),"……つまり、宿に置いたままにして
燃えちゃったから、お二人は一文無しなんですね。","...In other words, you left them behind at the inn that burnt down, so you're both penniless.",,
75,戦人,"い、一文無しじゃねぇよ！
ほれっ、この何枚ものキャッシュカードを見ろ！
出かける時は忘れずに、だっ！","I-I'm not broke! Here, look at all these credit cards! I didn't forget them when I headed out today! ",,
83,Mion (Casual),"……あの、すみません戦人さん。
雛見沢だと、郵便局以外に銀行はないんです。
それに、今日は日曜日なんで……。","...Uh, sorry, Battler-san. Hinamizawa's only banking institution is the post office. And today is Sunday...",,
86,戦人,"ま、マジかよぉ……！
ということは今夜の宿、どうしたらいいってんだ？",Y-You're joking...! Where are we gonna stay tonight then?,,
90,朱志香,"うーん……こうなったら、タクシーを呼んで
穀倉まで運んでもらうしかねぇな。
あれだけの町なら、銀行の自動窓口もあるだろうし。",Mmm... we'd need to hail a taxi to take us to Gogura if it comes down to it. That kind of town will probably have an ATM too. ,,
92,朱志香,"いやしかし、そうすると雛見沢に
また戻るのが、面倒だってんだ。","Nah, but then it would be a pain to get back to Hinamizawa.","from ""But after I did that,",
98,Miyuki (Casual),"……。ねぇ、前原くん。
ちょっと、相談があるんだけどさ。","...Hey, Maebara-kun, could I ask for your opinion on something?",,
100,圭一 (Casual),"おっ……ひょっとして美雪ちゃんも
同じことを考えたのか？
だったら頼む手間が省けて、助かるぜ。","Oh... Miyuki-chan, were you maybe thinking the same thing I was? You saved me the effort of asking you about it if so.",if that's the case -> if so,
104,戦人,"？　どうした圭一、美雪ちゃん。
２人で何を話し合ってるんだ？","...? What's up, Keiichi and Miyuki-chan? What are you talking about?",,
106,Miyuki (Casual),"いや、ね。そういうことだったら、
２人に提案があるんだけど……。","Well, actually, I have a suggestion here for the two of you.",e,
116,戦人,圭一の家で、ホームステイ……？,Keiichi's house is a homestay...?,,
123,圭一 (Casual),"あぁ。俺たち一家は今、ちょっと事情があって
#p興宮#sおきのみや#rの別宅に住んでいてさ。
んで、雛見沢にある自宅は、ここにいる３人……。","Yeah. My family's currently living at their second house in Okinomiya for a bit due to some stuff. So, at our house in Hinamizawa, I have these three here...",removed for some reason / another -> their second / added for a bit,
125,圭一 (Casual),"一穂ちゃんと美雪ちゃん、菜央ちゃんが
寝泊まり……というか、暮らしているんだよ。","...Kazuho-chan, Miyuki-chan, and Nao-chan all sleeping over... I say that, but it's more like they dorm there.","""Kazuho, Miyuki, and Nao all sleep here....in other words, they live here.",
130,朱志香,"ってことは……君。
家が、２つもあるってことなのかよ？","So, what you're saying is... two more people can stay there?","from ""So, according to that.......there are just two other people in your house?",
132,朱志香,"ウチもゲストハウスはあるけど
同じ島の中だし、島の外の別宅で
独り暮らしとかをしてみたいぜ。","We have a guesthouse too, but it's on the same island as the main one. I'd love to have a place away from the island all to myself.",,
136,戦人,"……あんなバカでっかいお屋敷に住んでて、
まだ家が欲しいってのかよ？
さすがに贅沢が過ぎると思うぜ。",...You live in that stupid big mansion and still want a house? I think that's a bit excessive.,,
139,朱志香,"う、うるせーぜ！　いくら広くたって、
こちとら気難しい祖父さまやお小言ばかりの
母さんがいるんだぜ。毎日息が詰まるぜ。",S-Shut up! The size of the place doesn't matter when you have Gramps being moody and Mom giving her constant lectures. Every day there feels suffocating.,,
141,朱志香,"多少狭くてもいいから、私だってたまには
羽を伸ばした生活を送ってみたいよ。","Even if it's cramped, I still want to try living a life where I can stretch my wings every so often.",,
143,戦人,"んー、まぁ……別々に離れて暮らすってのも、
場合によりけりだと俺は思うけどなー。
使用人がいない生活、想像できるのかぁ？","Mmm, well... I think that you living on your own depends on the situation, though. Could you imagine life without the servants?","from ""I think that living on your own is something that depends on the person.",
146,朱志香,"マジでうぜーぜ！
……でも、お前に当てつけるつもりで
そう言ったわけじゃないからな。","Shut up, for real! ...If I wanted to get back at you, I could have said the same thing about you.",,
150,戦人,"いっひっひっひっ、わかってるって。
俺は気にしてねぇし、どうしてもってんなら
その胸を揉ませてくれりゃ許してやるぜ？","Ihihihihi~, okaay, okay. I didn't mean it, so why don't you let me rub those boobs of yours as an apology?",,
153,朱志香,ちょ、調子に乗るんじゃねぇ！,"Hey, don't get cocky!",,
158,Kazuho (Casual),"（……。戦人さん、大金持ちの出身って
言ってたけど、何か家庭で嫌なことでも
あったのかな……？）","(...Battler-san said he was born to a rich family, but I wonder if something bad happened at home...?)",,
163,戦人,"ということは、俺と朱志香は
雛見沢に滞在中は圭一の家に住んでる、
この３人のお世話になるってわけか……？","So that means that me and Jessica will be staying at Keiichi's house while we're in Hinamizawa, and we'll get looked after by these three...?",,
166,Kazuho (Casual),"あ……は、はいっ。前原くんの代わりに、
頑張っておもてなしをさせてもらいます！",Ah... y-yes. I'll do my best to be hospitable in place of Maebara-kun!,,
168,戦人,"こっちが泊めてもらうんだ、そこまで
気を遣わなくてもいいって。朱志香だけなら
まだしも、俺まで一緒にありがとうな！","You're already accommodating for me, so you don't have to fuss about it that much. As long as Jessica's with me, that's all I can ask for! ",I HATE HIM,
174,Nao (Casual),"じゃあ、朱志香さんはあたしたちと２階、
戦人さんは１階で寝泊まりするってことで
いいかしら？",Would it be ok if Jessica-san stays upstairs with us while Battler-san stays on the first floor then?,order change,
177,朱志香,"もちろん！
へへっ、修学旅行みたいで楽しそうだなー！","Of course! Hehe, it'll be just like a school trip!",,
182,Rena (Casual),"はぅ～、それじゃレナも夕食のお手伝いを
させてもらおうかな、かなっ！
おいしい料理、いっぱい作るからね！","Hau~, then maybe Rena will help out with dinner, with dinner!
I'll make a ton of tasty food!",god how do i add rena's speech quirk into this sentance,i deed it
191,Nao (Casual),"ほ、ほわっ……レナちゃんの手料理……！
今からすっごく楽しみかも……かもっ……！",W-Waah... Rena-chan's home cooking...! Now I might have a bunch of fun... maybe...!,nao editz,
199,Mion (Casual),"あ、でも滞在して大丈夫なんですか？
用事が済んだ以上は、すぐに戻らないと
まずかったりするんじゃ……。","Ah, is staying here alright, though? If you go back after we finish work rather than go now, wouldn't it be bad for you...?","from ""If you come back before we're done, it might be a little messy...",
201,朱志香,"あぁ、その点なら大丈夫だぜ。
どうやら今回の件は、父さんの手配した業者が
経費削減で手抜きしてたことが原因らしくてさ。","Nah, I'm fine with that. Apparently, the root of our current situation is because the contractor my dad hired's been cutting corners to pocket more cash. ",,
203,朱志香,"……こういう言い方はなんだけど、そのせいで
家の中がてんやわんやになってて……
今帰ると逆に、面倒なだけなんだよ。","...Saying this sucks, but the house is getting chaotic thanks to that... so if we go back now, it'll just be a massive pain.","from ""but if we change course now,",
207,Kazuho (Casual),"そうなんだ。だったら、時間が許す限り
のんびり過ごしてくださいね。","I see. In that case, please take it easy here as long as you're able to.","from ""we should take it easy as long as we're able to",
213,Nao (Casual),"ちなみに、あたしたちが寝てる間に
こっそり２階に上がって……なんて考えてるなら、
やめた方がいいわよ。","By the way, if you're considering sneaking up to the second floor while we're sleeping... don't.",,
