chara482001_02.bytes,,,Lloro - QC/TL,Naegles- QC,
index,chara,jp,en,,
38,戦人,って、連れてこられたけど……。,"They brought us here, but...",,
40,朱志香,ここ、ファミレスか？,Is this a... family restaurant? ,"so this is a literal interpretation of the katakana, but we might want to change family restaurant to something else because.....uh, angel mort is a breastraunt, not a family-friendly restaurant",
46,Hanyuu (Casual),"あぅあぅ、#p興宮#sおきのみや#r一番のファミレス、
エンジェルモートなのですよ～！","Au au, this is Okinomiya's best family restaurant, Angel Mort~!",,this is absolutely what they call it in the original LMAOO its great
52,戦人,ファミレスか……。,"A family restaurant, huh...?",,
55,朱志香,やった、ファミレスだ！,"Woo, a family restaurant!",,
60,Rika (Casual),っみー、反応が極端に違うのですよ。,"Meep, their responses are polar opposites.",,
65,Satoko (Casual),朱志香さんは、ファミレスがお好きですの？,"Jessica, do you enjoy family restaurants?",,
68,朱志香,"あぁ！　昔、修学旅行で行ったっきりだからな！
こことは違う系列の店だけどさ。","Yeah! I went to one during a school trip when I was younger! It was a different chain than this one, though.",,
72,Miyuki (Casual),……修学旅行で、ファミレス？,...You went to a family restaurant on a field trip?,,
74,朱志香,"私が通ってる学校は小さい島にあるから、
ファミレスなんてないんだよ。","My school was on a small island, so there weren't any family restaurants there.",,
78,戦人,ファミレス……。,Family restaurant...,,
80,朱志香,"おいおい戦人、なに落ち込んでるんだよ。
いいじゃねぇか、行こうぜ♪","Hey, Battler, what's got you moping around?
Everything's fine, so let's go♪",,
82,戦人,"いや、あそこまで自信満々だったから
もっとこう……
ここでしか食えない郷土料理、とか？","No, it's just that you were really confident in this place, and I thought it would be something more like... regional food you could only get here, or something?",or something,
84,戦人,"名水を使った蕎麦とか、天ぷらとか
そういうのを期待してたんだよ……。","I was expecting something more like soba that used water from a famous local spring, or tempura...",,
88,Rika (Casual),"みー。期待が外れて、戦人が
しょんぼりなのですよ。……なでなで。","Meep. Battler is disappointed because his expectation was off the mark. ...Pet, pet.",,
90,戦人,"……なんで俺、ナチュラルに頭を
撫でられてるんだ？",...How can you pet my head so naturally?,i changed it back to this,
93,Satoko (Casual),梨花の趣味ですの。,It's Rika's hobby.,hobby,
95,戦人,"趣味……か。なぁ、梨花ちゃん。
君と俺、どこかで会ったことないか？","Her hobby... huh? Hey, Rika. Have we ever met before?",hobby,
