chara492001_01.bytes,,Llo - TL,
index,chara,jp,en
30,縁寿,"いい加減……しつこいっ！
とっととくたばりなさいッ！！",So damn... persistent!! Just hurry up and drop deeaad!!!
38,？？？？,『ギャオオオオォォォッッ！！』,{b}Gyooooooooooohhhhhh!!!{/b}
45,縁寿,"はぁ、はぁ、はぁっ……
これで全部、片付いたかしら……。","Haaah, haaah, haahh... This should be all of them..."
48,縁寿,"とりあえず、よくわからないまま
変なバケモノを相手に戦う羽目になったけど、
なんとか倒すことができたみたいね……あっ？","Those outlandish creatures put up a fight, but it seems I was able to take them all down... ah?"
52,縁寿,"「カード」が、元に戻った……これも魔法？
何なのよ、この力は。","The ""Card"" went back to normal... so is this also magic? What could this power even be?"
54,縁寿,"まったく……いきなり見たこともない「世界」に
放り出されて迷惑してるのに、
冗談は温泉街だけにしておいてよね……っ！","Honestly, suddenly getting burdened with being dumped into this ""World"" I've never seen before... leave the jokes for that hot spring district...... gh!"
59,縁寿,"な、なんで……
急に立ち眩みなんて……力が……。",W-Why... am I getting lightheaded all of a sudden... my strength is...
60,Kazuho (Casual),っ、危ないっっ！！,L-Look outtt!!
62,縁寿,えっ……きゃっ……？！,Eh... kya...?!
70,Miyuki (Casual),"ふぅ……セーフっ。
もう少しで谷底まで転がり落ちるところだったね。
大丈夫？",Phew... we're good. Just a little more and you would have been tumbling down to the bottom of a gorge. You okay?
72,縁寿,"……あ、ありがとう。
あなたが手を掴んでくれたおかげで、助かったわ。","...Th-thank you. Without you reaching your hand out for me, I would be a goner."
74,Miyuki (Casual),"どういたしまして。……でも、
こんな夜遅くに山の中をひとりで歩いてるなんて、
ちょっと危険すぎるよ。",You're welcome. ...But walking around alone in the middle of the mountains at this time of night is way too dangerous.
76,Miyuki (Casual),"キミは、どこから来たの？
#p雛見沢#sひなみざわ#rでは見かけない顔みたいだけど……
温泉宿の観光客さん？",Where are you from? I haven't seen your face around Hinamizawa... so could you be a customer for the lodging facility?
78,縁寿,"……まぁ、そんなところかしら。
それで、あなたたちは？","...Yeah, let's say that. And who are you guys?"
80,Miyuki (Casual),"見ての通り、雛見沢の人間だよ。
……まぁこの村に来た経緯とかはややこしいから、
あまり深く突っ込まないでくれると嬉しいけどね。","As you can tell, I'm a resident of Hinamizawa. ...Well, the details in how I got to this village are complicated though, so don't pry too deeply into it and we'll be fine."
84,Nao (Casual),"余計なことを言ってるんじゃないわよ、美雪。
それより、怪我はありませんでしたか？","You don't need to tell her that, Miyuki. But more importantly, are you hurt at all?"
87,縁寿,"えぇ、何とかね。……ところであなたたちこそ、
どうしてここへ？","No, I'll survive. ...But anyway, why are you two even here?"
91,Miyuki (Casual),"私たち、あっちに見える神社の高台から
温泉街の方へ向かう途中だったんだけど、
一穂が……あ、この子のことね。","We came from the high ground on the shrine you can see over there, and we were heading towards the hot spring district, but Kazuho... ah, this girl here."
93,Miyuki (Casual),"境内の奥で何か物音と気配を感じるっていうから、
念のために私たち３人で調べに来たんだよ。","She said she felt a presense and then heard some noises from the shrine grounds, so the three of us came to investigate just in case."
95,縁寿,"……なるほど。
近くに人の気配はなかったはずなんだけど、
あなたのおかげで助かったわ。","...I see. Even though there shouldn't have been people nearby, you saved my life."
99,Kazuho (Casual),えっ？　あ、その……ごめんなさい。,"Eh? Ah, um... I'm sorry."
101,縁寿,"……？　何で謝るの？
私は今お礼を言ったつもりだったんだけど、
嫌味に聞こえたのなら謝るわ……っ。","...? Why are you apologizing? I was just expressing my thanks, but if you heard it as ill-willed I'll apolo...gize..."
108,Kazuho (Casual),"っ、ど……どうかしましたか？
今足元がふらついて……って、すごい汗！","W-wh-... what's the matter? Your legs are trembling... wait, you're drenched in sweat!"
110,縁寿,"別に、大したことじゃないわ……
ただちょっと、たくさんの怪物を相手にして
無茶をしすぎた……だけ……っ。",It's not actually a huge deal... I was just kind of... swarmed by an absurd amount of monsters and outdid... my...self.
120,Kazuho (Casual),"し……しっかりしてください！
美雪ちゃん、入江先生に連絡を！","Ple-... please keep it together! Miyuki-chan, get Dr. Irie, now!"
125,縁寿,……っ……。,...an......
127,縁寿,お兄……ちゃん……っ。,Onii...cha...n......
137,縁寿,っ、……ぁ……？,...n......ah...?
139,縁寿,"ここは……どこ？
どうして私は、ベッドの上に……。",Where... am I? Why am I in a bed...?
144,Kazuho (Casual),"あっ……気がついたみたいだよ？
よかったぁ……。",Ah... looks like you've finally came to? Thank goodness...
146,縁寿,あなたたちは、さっき神社の裏の山で……って。,You guys just said we were behind the shrine in the mountains...
148,縁寿,もう、夜が明けてる……ということは……？,You're telling me... the sun... has already risen...?
151,Kazuho (Casual),"うん。
昨夜からずっと、目を覚まさなかったんだよ。",Yeah. You've been asleep the whole night.
156,Miyuki (Casual),"いやー、びっくりしたね。
喋ってる途中で、いきなり気を失ったかと思うと
その場に倒れこんじゃうんだもん。","Yeahhh, you gave us quite a shock. Right in the middle of us talking, you suddenly lost consciousness or something and fell over on the spot."
158,Miyuki (Casual),"だから、ここの診療所の先生を電話で呼んで
急いで車に乗せて、運び込んだってわけ。","So, we called up the doctor from this clinic to rush over with his car, and we carried you in."
163,縁寿,ごめんなさい。随分と迷惑をかけたのね。,I'm sorry. I must have caused a lot of trouble.
165,Kazuho (Casual),"ううん、困った時はお互い様だから。
無理を言って付き添いをさせてもらったけど、
起きてくれてほっとしたよ。","Mmm, the feeling is mutual. We were forcing you past your limits chatting, but the fact that you woke up is relieving."
167,縁寿,"えっ……じゃああなたたちって、
昨夜から寝てないの？",Huh... so you guys... stayed up the whole night?
171,Miyuki (Casual),"いやいや、さすがに徹夜は厳しいからさ。
隣の部屋にあるベッドとソファで仮眠して、
ほんの少し前にちょうど起きてきたんだ。","No, no. Staying up all night would be crazy. We napped on the beds and sofas in the other room and just woke up a bit before you did."
173,Miyuki (Casual),"というわけで、実にいいタイミングだったよ。
こっちが寝てる間に無言で出て行った、なんてことが
あっても別に不思議じゃなかったからね。","But no, this really was good timing. It wouldn't have been strange at all if we found that you left without a word while we were asleep."
175,縁寿,"失礼しちゃうわ。助けてもらったんだもの、
私だってお礼くらい言ってから出るわよ。
気分が悪いじゃない。","Forgive me. You saved me, so I would at least express my gratitude before leaving. I'd feel bad otherwise."
177,縁寿,"……まぁ、起きたばかりで
今が気分いいかと聞かれたら、違うとしか
言えないけれど。","...Well, if someone who just woke up told me that they felt {i}good{/i}, I would think they were lying anyway."
180,Miyuki (Casual),"あっはっはっはっ、それ面白い！
あとでネタ帳にでも書いておくよ。","Ahahaha, good one! I'm gonna write that down in my joke book after."
183,Miyuki (Casual),"で……ここからが本題。
キミって昨夜、境内で何か……見た？",So... this is the real question at hand. Last night... what did you see on the shrine grounds?
186,縁寿,見たって、何をか聞いてもいいかしら？,What did I see? What about it do you want to hear?
190,Nao (Casual),"理解してもらえるか、説明が難しいんですけど……
気を失う前、怪物を相手にって言ってましたよね。","I'm not sure if I understood properly, so it'll be hard to explain... but before you lost consciousness, you mentioned that you fought against monsters."
192,Nao (Casual),"あなたを診察してくれた入江先生の話だと、
極度の疲労が見られるってことでした。
裏山で怪物相手に何をしてたんですか？","After Dr. Irie examined you, he said you overworked yourself past your limits. What were you doing in the back mountains fighting those monsters?"
194,縁寿,"何を、って……怪物退治に決まってるでしょ。
あなたたちも、あの境内の中で正体不明の相手と
戦ってたじゃない？",What I was... obviously I was killing monsters. Don't you guys fight those unidentifable creatures too?
201,？？？？,…………。,............
208,縁寿,"何かおかしかったかしら？　
あなたたち、随分と神妙な顔をするのね。",What's so odd about that? You guys are making awfully meek faces.
