chara492001_03.bytes,,,,
index,chara,jp,en,
32,縁寿,……っ、……ぅ……。,...hic...... uu...,
37,Kazuho (Casual),っ、えっと……あの……。,U-Uh... um...,
39,縁寿,"…………っ。
ごめんなさい、急に部屋を飛び出して。",......Nn. I'm sorry I just flew out of the room all of a sudden.,
41,縁寿,"……ちょっと驚いただけよ。
気にしなくてもいいから、
しばらく一人にさせてくれる……？","...I was just a bit surprised. You don't have to worry about me, so would you mind leaving me alone...?",
43,Kazuho (Casual),"……。勘違いだったら、ごめんなさい。
あなたって……右代宮戦人さんと、
何か関係があったりするんですか？",...I apologize if I'm mistaken. Do you and Battler Ushiromiya-san have some sort of connection?,
45,縁寿,……。何で、そう思ったのよ？,...Why would you think that?,
47,Kazuho (Casual),"なんとなく……です。
戦人さんが部屋に入ってきた時、
彼の顔を見てすごく驚いてたし……。","Just... a feeling. The moment Battler-san entered the room and you saw his face, you got really surprised...",
49,Kazuho (Casual),"それから、一瞬嬉しそうな顔で……
だけどすぐに硬くなって緊張してると思ったら、
悲しい気持ちに耐えるようにうつむいて……。","After that, I thought your face seemed happy for a split second... but then it clouded over with tension, your face drooping as if your feelings themselves were weighing it down...",
51,縁寿,"……失礼しちゃうわ。
憶測なんかで、他人の事情を洞察したように
決めつけないで。……正直、不愉快よ。","...Excuse me. Don't just randomly assume someone else's circumstances through speculation. ...In all honesty, it's unpleasant.",
54,Kazuho (Casual),ご……ごめんなさい！　で、でも……。,I... I'm sorry! B-But...,
56,Kazuho (Casual),"そんなふうに、喜んでからすぐに
悲しそうに落ち込む友達の顔を……
私、以前にも見たことがあるんです。",That look of delight turning straight into a depressed and solemn expression... is something I've even witnessed in my very own friends before.,
58,Kazuho (Casual),"あの２人は、会いたかった人に会えて……
だけど、そのことを相手に伝えられなくて……。","Those two meet the person that they've been dying to see... but then, they can't convey what they want to that person...",
60,Kazuho (Casual),"私は、それを見ながら……
何もできずに、気づいてないふりを
するしかなかった……。",As I watch it happen... there's nothing I can do except pretend that I don't notice...,
62,縁寿,…………。,............,
64,Kazuho (Casual),"だから……気づくことができただけなんです。
その想いが、どれだけ苦しくて辛いものなのか……。",But... I have been able to notice it. That those thoughts are filled with pain and agony...,
66,Kazuho (Casual),"同じように家族を失った私には……
たとえ全部ではなくても、ほんの少しくらいは
分かり合えるような気がして……。","I've lost my family in a similar way... and while my experience may not cover everything, I feel as though I can sympathize just a bit...",
68,縁寿,"……。そう言えばお互い、名乗ってなかったわね。
あなた、名前は？","...By the way, we never told each other our names. What's yours?",
70,Kazuho (Casual),えっ？　あの……公由一穂、です。,Huh? Um... Kazuho Kimiyoshi.,
78,縁寿,"一穂……ね。私は右代宮縁寿。
名前の通り、あの人たちと同じ右代宮家の人間よ。","Kazuho... huh? I'm Ange Ushiromiya. Just as my name implies, I'm in the same Ushiromiya family as those two.",
80,縁寿,"そして……あの戦人って男の人は、
私のお兄ちゃんなの。","And so... that man, Battler, is my Onii-chan.",
88,Kazuho (Casual),じゃ、じゃあ……？！,Th-then...?!,
91,縁寿,"えぇ。あの人たちは私のいる「世界」から数えて
１２年前の１９８６年、とある島で起きた事故……
いえ、「事件」で命を落とした。","Yes. Those people are from my ""World"", but 12 years back in 1986, they lost their lives on some island in an accident... no, in an ""incident"".",
93,縁寿,"そして私は、当時の真相を調べるために
あの人たちの足跡を追って……
その過程でこうして、この村へ飛ばされてきたの。","And so, I followed their tracks to investigate the truth of that day... and in that process, I got sucked into this village.",
95,Kazuho (Casual),そ、そうだったんですか……って……？,I-Is that how it went... then...?,
98,Kazuho (Casual),"この「世界」は今、１９８３年だから……
あの人たちは３年後に死んでしまうって
ことなんですか？！","This ""World"" is set in 1983... so those two are destined to die in 3 years?!",
101,Kazuho (Casual),"じゃ、じゃあ戦人さんたちに、
３年後に起きることを伝えて……ッ！","Th-then, we need to tell Battler-san and Jessica-san about what's gonna happen--!",
104,縁寿,"駄目。私はお兄ちゃんに名乗ることも、
知られてもいけないの。それが私に課せられた
お兄ちゃんを助けるための唯一のルールだから……。",We can't. I can't let Onii-chan know about my name either. This is the one rule I had imposed on me that will serve to save him...,
106,縁寿,"こんなところで会えるとは思わなかったけれど、
お兄ちゃんと朱志香お姉ちゃんの元気な姿を
見られただけでも、……奇跡だわ。","I couldn't have imagined that I would be able to meet them here, but even just seeing Onii-chan and Jessica Onee-chan in good health is... a miracle to me.",
108,Kazuho (Casual),"で……でもっ！
いま動くことで助けられる命があるんだったら、
何もしないでいるよりはずっと……！","B-... But! If you have the chance to save their lives right now, doing nothing would forever--!",
110,縁寿,"……逆に聞きたいわ。
あなたはこの、過去の世界にいるという
不思議な体験で、何を得るつもりなの？",...Let me ask you something instead. What do you plan on gaining from this strange experience in a past world?,
112,Kazuho (Casual),えっ……？,Huh...?,
114,縁寿,"大切な人を助けたい？　真相を突き止めたい？
もしそれが、#p二律背反#sアンビヴァレンツ#rなものだったら
あなたはどちらを選ぶつもり……？","Do you want to save someone important? 
Do you want to pin down the truth?
If this resulted in you feeling ""ambivalence"", which one would you intend on picking...?",
117,Kazuho (Casual),そ、それは……っ……。,Th-that... I......,
125,縁寿,"少なくとも私は、六軒島で起きた真相を突き止めたい。
１９８６年１０月のあの時、あの島で何が起こったのか……。","At the very least, I want to pin down the truth of what happened on Rokkenjima. What happened on that island in October 1986...?",
127,縁寿,"それを知らないままで現実を受け止めるなんて、
私には出来ない。
……だからこそ私は、このルールを守るわ。","I cannot accept a reality where I remain ignorant about this.
...That's why I will be resolute in following this rule.",
129,縁寿,"これが、気紛れに落とされた
お兄ちゃんを助けることが出来る最大のチャンスで、
それが最初で最後だったとしても。","This is the biggest chance I've been given on a whim to save Onii-chan, even if it makes it my first and last.",
137,Kazuho (Casual),……。縁寿さんは、それでいいんですか……？,"...Ange-san, are you okay with that...?",
139,縁寿,"……だってそれは、奇跡の魔女でさえ
見つけられなかったカケラなのよ。","...Yes, since it's a Fragment that even the Witch of Miracles has been unable to find.",
141,Kazuho (Casual),ま、魔女……？,Wi-witch...?,
143,縁寿,"何でもないわ、こっちの話。……でも、ありがとう。
あなたのおかげで私、この「世界」に来た理由が
少しわかった気がする。","Pay no mind, just talking to myself. ...But, thank you. I feel like you've helped me understand my reason in coming to this ""World"" more.",
145,縁寿,私がここを訪れた理由……それは――。,The reason I've arrived here... is that--,
154,Miyuki (Casual),"あっ……ここにいた！
なんだ、どこに行ったのかと思ったら
ずいぶん近くだったんだねー。","Ah... you were over here! Man, we were wondering where you were, but you've been surprisingly close, huh?",
162,Kazuho (Casual),み、美雪ちゃん……菜央ちゃん……？,Mi-Miyuki-chan... Nao-chan...?,
166,Nao (Casual),"戦人さんのこと、許してあげてください。
本人もすごく反省してるそうですから。",Please forgive Battler-san. He looks like he feels really sorry for it.,
172,朱志香,"ほら、来やがれ戦人！
女の子に失礼なことを言って悪かったって、
誠心誠意謝りやがれってんだ！","Hey, get over here, Battler! You better apologize wholeheartedly for talking rudely to that girl!",
174,戦人,"わ、わかってらぁ……
そんなつもりで言ったんじゃなかったけど、
悪かったよ。","I-I get iiiittt... I didn't mean to say that, so it's my bad.",
176,戦人,"仲直りしてくれるか？　あー……、
とりあえず、あんたの名前を聞かせてくれ。","Can we make up? Ah-... in the meantime, please let me hear your name. ",
180,縁寿,……………………………………。,..........................................,
182,縁寿,えん…………ううん、「グレーテル」よ。,"An-... I mean, ""Gretel"".",
184,戦人,グレてる？　お前がか？,Girdle? Like the thing you wear on your waist?,gureteru means becoming a delinquent
186,縁寿,"違うわ、名前よ。
私のことは「グレーテル」って呼んで。","No, like the name. Call me ""Gretel"".",
188,戦人,"じゃあ、俺は「ヘンゼル」とでも名乗ったほうがいいか？
……いっひひひ、なんてな。俺は右代宮戦人！
戦人って呼んでくれ。よろしくな。","In that case, would you call me ""Hansel""? ...Ihihihi, just kidding! I'm Battler Ushiromiya! You can call me Battler. Nice to meet you.",IMGONNABESICKKKK
190,戦人,"さっきは、悪かったよ。
ここの村の居心地があんまりいいから
つい浮かれてたみてぇだ……許してくれ、この通りだ。","Sorry about earlier. This village is extremely comfortable, so I kinda got carried away... Forgive me. I didn't mean it any other way.",
193,縁寿,"……別に。
ちょっと驚いただけだから、もういいわ。",...It's fine. I just got a bit surprised is all. It's over and done with.,
196,戦人,そ……そうか？　はぁ、そりゃあよかったぜ……。,"Y-...yeah? Haah, that's relieving...",
198,戦人,"じゃあよ、詫びがてら一緒に飯でもどうだ？
朝飯……は、先生が買って来てくれてるみてぇだから
昼飯か晩飯でも。何でもご馳走するぜ！","So, now that that's out of the way, how's eating together sound? Looks like the doc's buying us some breakfast... but we can do lunch or even dinner. I'll treat you to anything!",
202,朱志香,"こ、こら戦人！
せっかく許してもらえたのに、またナンパかよ？！
本当に節操がねーぜ！！",C-C'mooon Battler! You just apologized and you're already back to picking her up?! You're mad unprincipled!!,
205,戦人,だから、そうじゃねぇって！……あぁ、だったら。,"I told you it's not like that! ...Aah, in that case.",
208,戦人,"一穂ちゃんに美雪ちゃん、菜央ちゃん。
ここらの美味い店知ってるか？　案内してくれたら
みんな俺がご馳走するぜ！","Kazuho-chan, Miyuki-chan, Nao-chan. Do you know a nice restaurant around here? If you take me someplace, it's all on me!",
214,Miyuki (Casual),いや、私たちは渡りに船で大歓迎だけどさ……。,"No. That would be a lifesaver for us, though...",
216,Kazuho (Casual),あ、あの……どうしますか？,U-Um... what are we going to do?,
222,縁寿,"……。えぇ、喜んで。
あなたの歓待、楽しみだわ。","......Yes, gladly. I'm looking forward to your hospitality.",
224,戦人,"おぉっ、任せとけ！
腹がはち切れて体形が変わっちまうほど、
これでもかってくらいご馳走するからよ！","Alright, leave it to me! With all the food you're gonna get off of my treat, your stomach will get so full you'll inflate!",KILL HIMMMMMM
228,Nao (Casual),だから戦人さん、そういう言い方が……。,"Battler-san, putting it that way is...",
233,Kazuho (Casual),…………。,............,
235,Kazuho (Casual),（そっか……縁寿さんが、ここに来た理由って……）,(Right... Ange-san's reason in coming here...),
237,Kazuho (Casual),"（きっとお兄さんにこうして会って、
話をしたいって思ってたんだろうね……）","(Surely, she was thinking about meeting with her brother and talking with him...)",
