event01_33_99.bytes,Character Names,Japanese Text,Translation,Notes TL,Notes QC
24,,――昭和６２年１２月某日――,-On a certain day in December 1987-,,
28,Satoko (高校生クリスマス),"この飾りつけ、こんな感じでどうかしら……
梨花、そちらの準備は進んでおりまして？","I wonder if I should put the decoration up like this...
Rika, how are preparations going on your end?",editz,
29,Rika (高校生クリスマス),"あ……うん。ここまで揃えばすぐにでも、
パーティー会場に出向いて飾りつけができるわ。","Ah... good. Now that we've got everything set up, we can go to the party venue and start decorating right away.",,
30,Satoko (高校生クリスマス),"をーっほっほっほっ、それは重畳ですわぁ。
さてと、お次は……。","Ohohoho! That's excellent. Well then, what's next...",,
31,Rika (高校生クリスマス),……。ねぇ、沙都子……？,"...Hey, Satoko...?",,
32,Satoko (高校生クリスマス),なんですの？,What is it?,,
33,Rika (高校生クリスマス),"先日の脱走の後始末をした代わりに、
生徒会のクリスマスパーティーの準備を手伝え……
って、生徒会長が要求したのはまだわかるわ。","In exchange for helping us after we snuck out the other day, the president asked us to help out with preparations for the student council Christmas party... that much I understand.",,
34,Rika (高校生クリスマス),"ギリギリだけど、理解できるわ。
でも……でもねっ……。","Just barely anyway.
But... but, you know...",editz,
41,Rika (高校生クリスマス),"どうしてよりにもよって、こんな格好で
やらなきゃならないのよーっ？！","Of all things, why do we have to do it in these outfits?!",order,
49,Satoko (高校生クリスマス),"またその話ですの……？
いい加減、諦めたほうがよろしいと思いますわ。",That again...? I think you're better off just accepting it already.,editz,
51,Rika (高校生クリスマス),"そんなこと言ったって、
こんな恥ずかしい格好をするなんて
全然聞かされていなかったわ！","You say that, but no one told me we'd have to wear such embarrassing outfits!",,
53,Satoko (高校生クリスマス),"何を言っているんのですの、梨花。
昔の罰ゲーム衣装の方が色々と過激でしたのに。","What are you saying, Rika? The outfits we had to wear for our punishment games in the past were much wilder than these.",,
56,Rika (高校生クリスマス),それは、そうかもしれないけど……！,"That's true, but...!",,
59,,"どうして沙都子は平然と現状を受け入れて、
粛々とパーティーの準備を進めているのかが
よくわからない。",I really don't get why Satoko accepted this situation so quietly and is just going along with setting things up for the party.,,
60,,"というか……あの我の強い沙都子が、
こんなにも素直に生徒会長の命令に
従っている理由が全く理解できなかった……！",What's more... I couldn't come up with a reason why the strong-willed Satoko would so honestly obey the student council president's orders...!,,
63,Rika (高校生クリスマス),（それも、これも……っ……！）,(All of this... it's all her fau-...!),,
68,？？？？,やぁ、準備は進んでいるようだね。,"Hey, seems like preparations are going smoothly.",,
72,Rika (高校生クリスマス),あっ……？！,Ah...?!,,
74,,"背後からの声に振り返ると、
ちょうど思い浮かべた人物が段ボール箱を抱えて
扉の前で佇んでいる姿が、視界に飛び込んできた。","As soon as I turn towards the voice behind me, the person I was just thinking of popped into my field of vision, carrying a cardboard box.",editz,
77,Rika (高校生クリスマス),生徒会長……！,President...!,editz,
80,？？？？,"うん、やっぱりその衣装は似合っているよ。
私と北条さんの見立て、間違っていなかったね。","Yep, that outfit does suit you. Guess Houjou-san and I chose well after all.",,
83,Rika (高校生クリスマス),生徒会長……どうして黙っていたんですか？,President... why did you keep quiet about this?,editz,
86,？？？？,ん？　なんのこと？,Mm? About what?,,
89,Rika (高校生クリスマス),"あなたが、沙都子と知り合い……
いえ、それどころか沙都子に勉強を教えるほど
仲が良かったなんて、初耳だったわっ！","That you're acquainted with Satoko...
No, if anything, the fact that you two are so close that you've helped Satoko study is news to me!",editz,
92,？？？？,"ふむ……聞かれなかったから、
私も答えなかっただけだよ。
まぁ、北条さんに口止めはしていたけどね。","Hmm... you never asked, so I never gave an answer.
Well, I did forbid Houjou-san from saying anything about it, though.",editz,
99,Rika (高校生クリスマス),それを「黙っていた」って言いますよねッ！,That just means you kept quiet about it!,,
104,,"憤懣やるかたなく、私は普段の振る舞いを
まとめてゴミ箱に叩き込む勢いで怒声をぶつける。",I toss the entirety of my usual demeanor in the trash with a forceful and indignant bellow.,editz,
105,,"そんな私を苦笑まじりに「まぁまぁ……」と
なだめながら、沙都子はよりにもよって
生徒会長を「擁護」するように口を開いていった。","Satoko awkwardly smiled and said, ""Now, now..."", and of all things she could do, she opened her mouth to {i}defend{/i} the student council president.",,
108,Satoko (高校生クリスマス),"だから梨花、何度も申し上げましたわよね？
生徒会長が黙っていたのは、私のためですわ。","Rika, I've told you many times already, haven't I? The president kept quiet about it for my sake.",,
110,Satoko (高校生クリスマス),"「悪名高い自分とつるんでいると
周囲に知られたら、教師陣から今以上に
目をつけられかねない」……と。","She told me that... ""If people knew that you were hanging out with someone as infamous as me, the teachers would keep an eye on you even more than before"", you see.",editz,
113,？？？？,"古手さんも、私の悪評は知っていたよね？
大事な人に悪人が近づいたら、不安になる……
それはごく自然な感情だ。","Furude-san, you're aware of my bad reputation too, aren't you?
If a bad person approaches someone important to you, you'd feel anxious... It's a very natural feeling to have.",,
115,？？？？,"ただ、ありがたいことに私は生徒会長という
絶対権力を手に入れた……。だからこれからは
大手を振って親睦を深めることができるわけさ。","But, thankfully, I have absolute authority as student council president now... so from here on out, I can use that triumph to deepen our friendship, y'know?",editz,
116,,"部屋の隅に置いた段ボールにアゴをのせて、
生徒会長はにんまりと笑う。","The president rests her chin on the cardboard boxes left in the corner of the room, grinning.",,
117,,"言いたいことはある……それこそ、山のように。
だけど、何よりも気になるのは……。","There's a lot I want to say... a mountain at that.
But, what bothers me now is...",,
120,Rika (高校生クリスマス),"その口調……どうしたんですか。
今まで、そんな感じに話していませんでしたよね？",What's with... that manner of speech? Have you ever spoken like this up until now?,editz,
123,？？？？,"普段は訛りをごまかせるよう、至極丁寧に
喋っているけどね。
実は、こちらの方が素なんだよ。","I usually chat in an uber polite manner so that people won’t catch onto my accent. In truth, this is my natural speech pattern.",editz,
126,Rika (高校生クリスマス),"……どう聞いても、私が知っている標準語にしか
聞こえませんけど。どちらの訛りなんですか？","...No matter how hard I listen, I hear nothing other than the standard dialect. What kind of accent is it?",editz,
129,？？？？,"知りたい？　当ててみなよ。
もし正解の時は、毎日缶コーヒーを
１本おごってあげる。","Wanna know? Try to guess then. Get it right, and I'll buy you a can of coffee everyday.",editz,
130,,……いらない。それに、知りたくもない。,...I don't need that. And I don't even care.,,
132,？？？？,"あと、この口調だと上から目線だと言われてね。
私としては、特にその意識はないんだけど……
改善しようと努力している最中だ。","Also, people often tell me I sound condescending when talking like this. It's not necessarily my intention... but I'm trying to fix that.",,
134,？？？？,"まぁ、有象無象の連中になんて思われようと
別に気にもならないんだけどねー？","Well, not like I care about how people perceive me though, y'know?",,
137,Satoko (高校生クリスマス),"……最初からそういう態度で人と接するのが、
良くないのではありませんこと？",...Haven't you ever thought that approaching people with that behavior is a bad idea?,editz,
140,？？？？,"なるほど。第一印象が悪い人が何をしても
善人とは思ってもらえないように、ってこと？
ふむ、初頭効果とはよく言ったものだね。","I see. You mean that no matter what I do, if people have a bad first impression of me, they'll see me as a bad person? 
Mhm... good on you for bringing up the primacy effect.",editz,
143,Rika (高校生クリスマス),"話を逸らさないでください……！
そもそも、生徒会長は知っていたんですよねっ？","Let's not get off topic...! You knew it all to begin with, didn't you?",editz,
146,？？？？,だから、何を？,Knew what?,,
150,Rika (高校生クリスマス),"沙都子が、外出しようとしていたこと……
もし知っていたなら、沙都子を止めることも
できたはずでしょう？","That Satoko was trying to sneak out...
If you knew, then couldn't you have been able to stop her?",,
153,？？？？,"ふむ。もしそうなら、北条さんの脱走に
私が加担したようなものでは……とでも
言いたいのかな？","Hmm. So assuming I did know, I guess that means you want to say that I facilitated Houjou-san's escape... or something like that?",editz,
157,Rika (高校生クリスマス),"違いますか？　もしそれが事実だったら、
私がこんな恥ずかしい衣装で罰を受けなきゃ
いけない理由がわかりません……！","Is that wrong? If there was a potential for that happening, I don't see why I have to wear such an embarrassing outfit as punishment...!",editz,
160,？？？？,"ま、理由はどうであれ、古手さん。
君が勝手に学園を出たことは、確かな事実。
それは揺るがない真実だよね？","Oh, who cares about the reason, Furude-san? It's an undeniable fact that you left the academy without permission, right?",editz,
164,Rika (高校生クリスマス),で……でも、それは生徒会長が行けって――。,Bu-... But that's because you told me to go-,,
167,？？？？,"別に私は強制したわけではないよ。
君にだって拒否する権利はあったはずだ。",It's not like I pressured you to. You did have the option to refuse to go.,editz,
172,Rika (高校生クリスマス),それは……そうかも、しれませんが……！,That... may be so; however...!,editz,
175,？？？？,"あと……その罰衣装は、
あくまでも私への見返りみたいなものだ。",Also... that punishment outfit is your repayment to me.,,
177,？？？？,"北条さんが脱走の際に壊した、柵の修理代。
新幹線のチケット代。
その他例の業者を含めた、関係各所への根回し……。",The cost of fixing the fence Houjou-san broke when escaping. The price of the bullet train ticket. The supplier that got involved as well as all of my other connections...,,
179,？？？？,"いやぁ、なかなかの出費だった。
就任早々いろんな辛い仕事を片付けた私を、
誰か慰めてくれないかなぁ……？","Man, it was quite expensive. Can't someone comfort me after properly taking care of all that hard work...?",,
181,？？？？,"そう思っていたところに、君たちが
率先して「癒し」係を引き受けてくれたわけだ。
いやいや、ありがたい限りで感謝、感謝だよ。","Just as I thought that, I went and decided to put you two in charge of my ""healing"". No, really, you're too kind to me; I'm just so grateful!",,
184,Rika (高校生クリスマス),……っ……？！,...gh...?!,,
186,,"こんなにも爽やかに脅迫してくる人が、
本当に生徒会長でいいんだろうか……？",Should someone who threatens people this easily really be the student council president...?,,
189,Rika (高校生クリスマス),"（これだったら、生徒会に誘われるほうが
いくらかマシ……いやいやっ！　その言質を
引き出すことこそが本来の目的っ……？）","(If this is how she's going to be, her attempts at inviting me into the student council might be more tolerable... no, no! Isn't getting me to pledge to her her true goal...?)",editz,
