event01_30_06.bytes,,roux,,
index,chara,jp,en,notes
32,Nao (Casual),"紗音さんに濡れ衣を被せようとしてもダメです。あの悪戯の犯人は
あなたです。ヱリカさん。","It doesn't matter if you dress Shannon-san in wet clothes. Erika-san, you're the culprit of that prank.",
34,ヱリカ,それ、気持ちいいでしょう？,"That feels good, doesn't it?",
36,Nao (Casual),はい？,Excuse me?,
38,ヱリカ,"“犯人は、あなたです”。……その言葉を口にする瞬間こそが、探
偵の悦楽の究極にして最高峰！","""You're the culprit""...The moment you get to speak those words is the ultimate highest peak of pleasure for a detective!",
40,ヱリカ,もちろん、犯人がその言葉で簡単に屈することはありません。,"Of course, the culprit won't give in to that phrase so easily.",
42,ヱリカ,"それこそ、窮鼠猫を噛むの勢いで反論してくるでしょう。しかし、
それを崩すのがまたいい！","As a cornered rat will bite a cat*, the culprit will also surely object with all their might. However, I'll enjoy destroying it again!",*japanese proverb. the last sentence might be referring to events of previous chapters? not sure what she means
44,Nao (Casual),"……つまり、ヱリカさんは模範的な犯人役を演じてくれる、という
ことですよね？","...In other words, Erika-san will play the part of an exemplary culprit. Is that what you're saying?",
46,ヱリカ,貴女が探偵としての究極の悦楽を得られるか……。,Can you obtain the ultimate pleasure as a detective?...,
48,ヱリカ,"さもなくば、探偵の解決の直前に披露される、ナントカ警部のヘッ
ポコ推理の役になるのか。くっくっく！","Or, just before the detective's solution is unveiled, will you assume the role of Inspector so-and-so with your incompetent reasoning? *cackle*cackle*cackle*",
50,Nao (Casual),"では、ヱリカさん。反論してもらいます。どうしてあなたは犯人で
はないと？","Then, Erika-san, let's hear your objection. Why do you say you aren't the culprit?",
52,ヱリカ,非常にシンプルな話です。私にはアリバイがあるからです。,It's an exceedingly simple reason. Because I have an alibi.,
54,Nao (Casual),アリバイ……？,Alibi...?,
56,ヱリカ,"お忘れですか？　私は貴女たちと一緒に、郷田さんの素敵な創作ス
ペイン料理をいただいたではありませんか。","Oh, did you forget? Along with you and the others, didn't I sample Gohda-san's superb creations of Spanish cuisine?",
58,ヱリカ,"そして、食事を終えて、そのまま朱志香さんのボードゲームにも参
加しました。","Then, immediately after finishing the meal, I participated in Jessica-san's board game.",
60,ヱリカ,その後、遅くまで遊び、皆さんと一緒に２階へ上がったはずです。,"After we played late into the night, I surely went upstairs with everyone else.",
62,ヱリカ,"その間、私はわずかの時間でも、皆さんの前から姿を消したことが
ありましたか？","In that time, was there even the briefest moment when I disappeared from everyone's sight?",
64,Nao (Casual),………………………。,...,
67,,"　確かに、それは鉄壁のアリバイだ。他ならぬ、あたしとずっと一
緒にいたのだから。","Certainly, it's a rock-solid alibi. Since she was nowhere other than with me...",
71,Nao (Casual),いや、………犯行のチャンスはあるわ。,No...you did have a chance to commit a crime.,
73,ヱリカ,おや。それはどのタイミングで？,Oh? At which time would that be?,
75,Nao (Casual),"一番最初だわ。あなたは、髪が整わなくてと言って、夕食に来るの
が遅れたじゃない。","At the very beginning. You were late coming to dinner, saying your hair wasn't ready.",
77,Nao (Casual),"それに、あなたはあたしたちの部屋の窓が、壊れて施錠出来なく
なっていることを知ってたわ。","Also, you knew our room's window was broken and couldn't be locked.",
