event01_30_09.bytes,,"beanbug; very chill with others contributing to this, i finished my ssr stories and didn't want to step on others' toes by editing their sheets ",,,,,,,,,,
index,chara,jp,en,,3 lines remaining,,,,,,,
32,ベアトリーチェ,それでは妾の手番であるな。お次はヱリカを攻めさせてもらうぞ。,It's my turn now. I'll attack Erika next.,,,,,,,,,
34,ベアトリーチェ,ヱリカの主張は、詩音が犯人である、ということだったな？,"Erika argued that Shion was the culprit, correct?",,,,,,,,,
36,ベアトリーチェ,"……それを確信できるものが何かあるなら、妾に示してはくれぬ
か？","......If there's something that makes you so sure of that, why don't you show it to me?",,,,,,,,,
38,ヱリカ,受けてもいいですけれど……。致命傷になりますよ？,,,,,,,,,,
43,Nao (Casual),"確かにあの時、小道具を探しにゲストハウスへ戻っていた詩音さん
だけが、アリバイを失ってるけれど……。","It's true that Shion was the only one to turn back to search for something at the guesthouse, and thus lost an alibi...",,,,,,,,,
45,,"　アリバイがないからというだけの理由で、詩音さんを犯人になん
かさせない。",But I don't want to let Shion-san be declared the culprit just because she doesn't have an alibi. ,,,,,,,,,
49,ドラノール,ベアトリーチェ卿。貴女の手番はそれで構わないデスカ。,"Lady Beatrice, is that what you wish to DO?",,unsure on this line.,,,,,,,
51,Nao (Casual),……あたしも知りたいわ。ベアトリーチェ、お願い。,"I understand. Beatrice, if you will.",,,,,,,,,
57,ベアトリーチェ,うむ。それでは切り込ませてもらう！,"Mu, then let's get to the heart of the matter!",,,,,,,,,
60,ベアトリーチェ,示せ、ヱリカよ！　詩音が犯人であるとする根拠をな！,"Show it to me, Erika! Proof that Shion is the culprit!",,,,,,,,,
62,ヱリカ,それでは、お受けいたします。,"If that is the case, please accept this.",,,,,,,,,
64,ヱリカ,"詩音さんには、私の部屋に侵入したことを示す、明白な証拠が残っ
ているからです！",There is clear evidence that Shion-san broke into my room!,,,,,,,,,
78,詩音 (バスタオル),え？！　な、何ですか、一体……！,"Huh? Wha, what on earth...!?",,,,,,,,,
80,,"　自分の部屋に魔法陣が現れて、
ヱリカさんは恐怖に震えているものだとばかり思っていた。","Since a magic circle had just appeared in her room, I thought Erika would have been shaking in fear.",,,,,,,,,
81,,"　その彼女が突然、罠にかかったな馬鹿めッ、と書いてあるかのよ
うな表情で笑い出したのだ……。","But suddenly, she burst into laughter and displayed an extression that seemed to say that some fool had fallen into her trap......",,,,,,,,,
84,ヱリカ,茶番にお付き合いをありがとうございました。,Thank you for participating in this charade.,,,,,,,,,
86,ヱリカ,それでは、種明かしと参りましょう。,"Now, let's look at the details.",,,,,,,,,
88,ヱリカ,"皆さんはたった今。私の悲鳴を聞き、開け放たれたままの扉より入
室しました。","One moment ago, everybody heard me scream and entered via the open door.",,,,,,,,,
90,ヱリカ,"つまり。皆さんは誰一人、この部屋の扉の、ドアノブに触れた人間
はいないのです。","In other words, none of you should have touched this room's doorknob.",,,,,,,,,
95,Mion (バスタオル),……どういうこと……？　……まさか………。,.....What do you mean........? ....It can't be.....,,,,,,,,,
97,詩音 (バスタオル),…………………………。,.....,,,,,,,,,
