event01_30_99.bytes,,Lunik,,
index,chara,jp,en,
42,Nao (Casual),ッッッ………………………、,,
48,詩音 (Casual),どうしたんです？　………ひッ？！？！　お、お姉……！！,What's wrong? ...Wha?!?! S-sis...,
50,Mion (Casual),……やって、……くれるねぇ………。,"....I'll do it,... let's give it to them....",
53,,"　物語は、第一の魔法陣が、あたしのベッドシーツに描かれていた
のを発見した時に遡る。",The story goes back to when I first found the magic circle on my bed sheet.,
56,Nao (Casual),ど、………どういうこと…………。,"W,..... what's that....",
59,,"　魅音さんと詩音さんのベッドは、……何事もないのに。
　あたしのベッドだけが……、#p殺#s・#r#pさ#s・#r#pれ#s・#r#pて#s・#r#pい#s・#r#pる#s・#r……。","On Mion and Shion's bed,.... there's nothing. 
But on my bed... /They'll be killed/.",
60,,"　毛布は乱雑に剥ぎ取られて散乱し……、まるで肌のように露出し
たシーツが……、鮮血に染まっている……。","The blankets were scattered in a crude pile...., the sheets were exposed like skin...., painted red....",
61,,"　違う。ただ染まっているんじゃない。それは………鮮血のような
赤で描かれていた………。",That's not it. It's not just paint. It was dyed in.... fresh red blood....,
64,Nao (Casual),ま………………魔法陣………………。,A.... magic circle....,
67,,"　あたしが、おぞましい魔法陣に絶句している時。
　園崎姉妹は言っていた。",I was enraptured by that horrible magic circle. That was when the Sonozaki Sister spoke.,
68,,"　ひッ？！？！　お、お姉……！！
　……やって、……くれるねぇ………。","Wha?!? S-sis...!!
Do ...... give me.....",
69,,"　以下は園崎姉妹の二人にしか聞こえないやりとりである。
　恐怖で頭を真っ白にしていたあたしには、聞こえる訳もない。",The following is an exchange that only the two Sonozaki sisters can hear.　I was so terrified that I couldn't even hear it.,
74,詩音 (Casual),……これ……、無頼人さまの魔法陣ですよッッ？！？！,"....That....., is the scoundrel's magic circle?!?",...That's... Bright-sama's magic circle?!?!
76,Mion (Casual),や、……やるねぇ……。見事な再現度だよ……。,,
78,詩音 (Casual),お姉、……気付いてます……？,,
81,Mion (Casual),"もちろん……。……枕や毛布の乱れ方まで、……完全に映画を再現
しているッ。",,
84,,"　あたしは、紗音さんがどうして魔法陣を気にしなかったのかわか
らず、長く混乱した。",,
85,,"　しかし、……魅音さんは光の速度で理解した。紗音さんもまた、
ワニャン沼にはまるひとりだと知っていたからだ。",,
86,,"　紗音さんが窓の鍵を見に行くといって２階へ上がり、降りて来た
時。ヱリカさんは彼女にこう尋ねたのを魅音さんは記憶していた。",,
94,ヱリカ,"紗音さん、ご苦労様です。窓から泥棒が入って、部屋を荒らしたり
はしていませんでしたか？",,
96,紗音,いいえ。ご安心を。,,
99,,魅音さんは不思議な違和感を覚えた。,,
100,,"　ヱリカさんのそれは、一種の厭味に聞こえるのだが、……だとし
たら言う相手を間違えている。",,
101,,なぜ、部屋が荒れていないか、聞く？,,
102,,"　魅音さんはすぐに理解する。ヱリカさんは、紗音さんがワニャ
ラーだと知っていた。",,
103,,"　あたしが夕食後に紗音さんと会話をしていて、彼女がワニャラー
だとＣＯするのを聞いていたのだ。",,
104,,"　なので、あの魔法陣を、ちゃんと、映画の魔法陣だと理解してく
れたかどうか、確認したかったのだ。",,
108,,"　さて。本来ならば、紗音さんが２階の部屋に入るのはイレギュ
ラーだった。",,
109,,"　あたしが窓の鍵の話を唐突に始めたので、紗音さんは２階へ上が
ることになってしまった。",,
110,,"　だからその時点でのヱリカさんは、内心、しまったと思ったはず
だ。",,
111,,"　魔法陣の悪戯の第一発見者を私にして、驚かせてやろうと思って
たに違いないから。",,
112,,"　そして同時に、ワニャラー仲間である魅音さんと詩音さんには、
仲間内で盛り上がれる“ネタ”にもなる。",,
113,,"　ところが、紗音さんはディープなワニャラーだった為、魔法陣の
意味をすぐに理解し、微笑んでスルーした。",,
114,,"　その事実を、ヱリカさんは、降りて来た紗音さんに#p問#s・#r#pい#s・#r#p掛#s・#r#pけ#s・#r#pて#s・#r、
確認を取ったのだ。",,
115,,"　魅音さんはそれを瞬時に理解する。
　紗音さんがスルーできることがわかっているなら、犯人がヱリカ
さんであることは、秒で導ける答えだ。",,
116,,"　つまり、魔法陣を発見したその時点で、園崎姉妹は魔法陣の正体
も、犯人がヱリカさんであることも、全て全て、あの時点で知って
いたのだ。",,
117,,"　あたしが魔法陣に怯えて足を竦ませているその背後では、……キ
モい笑みを浮かべたワニャラー園崎姉妹がニヤニヤしていたという
訳だ。",,
121,,"　……そして、……ここからがあたしの理解を超える世界。
　バケモノ同士は惹かれ合うとはいうけれど、まさにこれを言うの
だろう……。",,
122,,"　魅音さんは、そして詩音さんは、超高速で状況を理解した。
　この見事な、映画の完全再現の魔法陣を描いたヱリカさんは、何
を欲しているだろう？",,
123,,賛辞？　あるいは驚きの声？　……そう、オーディエンスだ。,,
124,,"　そう。その時、壁一枚向こうのヱリカさんの部屋では……、もう
１人のワニャラーが、めちゃくちゃキモい笑いを浮かべて、じっと
聞いていたのだ。",,
126,,"　ヱリカさんは……、自分の魔法陣に驚く声、同志の感嘆の声が聞
きたくて……、コップを壁に押し当てて耳を当て、……ずっと聞き
耳を立てていた！！",,
