event01_16_04.bytes,chara,jp,en,Notes TL,Notes QC
27,,"銃口をこれ見よがしに構えつつ、
ケーイチは私との距離を徐々に詰めてくる。",K-1 gradually closes the distance between us while ostentatiously holding his gun up in the air.,"comment / from ""K-1 gradually closed the distance between us while holding his gun up in the air.""",
28,,"彼が、レナさんを撃って助けてくれた……？
でも、だとしたらどうして私を威嚇する必要が
あるのか、全く理解できない。","Did he help me by shooting Rena-san...?
But if that's the case, I don't understand at all why he thought it was necessary to intimidate me.",,
31,Kazuho (Casual),"ま……前原くん、私を助けてくれたのは
あなた……なの……？","M-...Maebara-kun, was it... you who saved me...?",,
35,圭一 (アンドロイド),――――。,............,,
37,Kazuho (Casual),"わ……私は何もしてないよっ？
みんなが急におかしくなって、
暴れ始めて……お互いに……っ！","I... I didn't do anything, okay?
Everyone started acting weird and turned violent... with each other... uh!",,
39,Kazuho (Casual),"だ……だから私は、何もやってない！
お願い……信じて、前原くんっ！","So... so I didn't do anything! Please... believe me, Maebara-kun!",,
42,圭一 (アンドロイド),"あのな……前にも言ったが、俺はケーイチだ。
あと、結果的に助けてやったのは事実だが……
ここに来たのは、別の目的があるのさ。","You know... I told you this before, but my name is K-1. And while it's true I did help you... I came here for a different reason.",,
45,Kazuho (Casual),っ？　ど、どういうこと……？！,Ah? Wh-what do you mean...?!,,
50,Rika (アンドロイド),"みー、確認したのです。この場で生きてるのは、
この『公由一穂』だけなのですよ。","Meep, confirmed. The only one alive in this location is this {b}Kazuho Kimiyoshi{/b}.",,
55,圭一 (アンドロイド),"おう、つまりこいつがウィルスの『抗体』を持つ
キャリアってわけか。
へへっ、まさかこうまでうまくいくとはなぁ……。","Wow, so you {i}are{/i} a ""Carrier"" of the virus' antibodies.
Heheh, I didn't think it'd turn out as good as this...",,
57,Kazuho (Casual),ウィルスの、抗体……っ？,Virus antibodies...?,,
60,,"にやにやと笑うケーイチとレディ・ミーの
表情に、私はぞっとした怖気を覚える。",K-1 and Lady Meep's laughs and smirks make me shudder in fear.,,
61,,"もしかして……この人たちは、
こうなることを……知っていた……？！",Did they maybe... know... that this would happen all along...?!,,
64,Kazuho (Casual),"あ……あなたたちは、言ってたよね……？
私たちを復元した#p雛見沢#sひなみざわ#rで１日過ごさせて、
データを採るって……っ……。","Y-...you said it yourselves, didn't you?!
That you resurrected us and let us spend a day in Hinamizawa... just to collect... data...","comment / from ""Wh...what are you all saying?! You resurrected us and let us spend a day in Hinamizawa...just to collect data...""",
68,圭一 (アンドロイド),"ああ、その通りだ。
話した内容に、嘘偽りはねぇ。","Yup, pretty much. None of that stuff we talked about was a lie.",,
71,圭一 (アンドロイド),ただ……肝心なことを話してなかっただけさ。,But... I left out all of the important points.,,
