event01_30_01.bytes,,,hanss,Lloro - QC,Naegles - QC, 
index,chara,jp,en,Notes,,
29,,六軒島へは、新島から別の船に乗り換える。,"To get to Rokkenjima, we transferred onto another boat at Niijima.",,,
30,,"　フェリーと違い、小型の高速船だったので、かなり揺れたが、ス
リリングでそれはそれで面白かった。","Unlike the ferry, it was a smaller, faster boat, so it shook considerably, but that made it thrilling and interesting.",,,
31,,なのだが…………。,However......,,,
35,Mion (Casual),"どうしたの、菜央ちゃん？　ひょっとして、おトイレ、我慢して
るー？","What's up, Nao-chan? Do you need to go to the washroom?",,,
37,Nao (Casual),別に、そういう訳じゃないです……。,It's not that...,,,
40,,あたしの表情が晴れないのは、……アイツのせいなのだ。,The reason I'm so gloomy is... because of {i}her{/i}.,,,
44,ヱリカ,"まぁ、本当に偶然なんですけれどね。あの時はもう、溺れて死ぬか
と思いました。","Well, it really is just a coincidence. I thought I was going to drown back there.",,,
46,詩音 (Casual),"それで流れ着いた先が、洋館の孤島だったなんて、何だか素敵な偶
然ですねー！",Then you ended up washing up on an isolated island with a western mansion. What a wonderful coincidence!,,,
50,詩音 (Casual),"それで、洋館に住む美青年なんかに見初められたら、もう！　その
まんま、ロマンス小説みたいですよねー！","And then the handsome young man living in the mansion would fall in love with you at first sight, and ugh! At that rate it'd be just like a romance novel!",,,
53,,"　彼女は……、あたしたちと同じ、六軒島に２泊３日で招かれた客
人だったのだ。",She is... coming with us... as another guest invited to stay at Rokkenjima for two nights.,,,
54,,"　お互い、二度と会うことはないでしょう的な捨て台詞を言い合っ
たのに……、気まずいったらありゃしない。",We even said we'd never see each other again. ...This couldn't get any more awkward.,"Man, this is really awkward -> This couldn't get any more awkward",,
57,ヱリカ,よろしく。私は古戸ヱリカと申します。,Pleased to meet you. My name is Erika Furudo.,,,
59,,"　彼女は以前、六軒島の近くで、プレジャーボートから転落して漂
流するという目に遭ったらしい。",It seems that Erika had once drifted near Rokkenjima when she fell out of a pleasure boat.,,,
60,,"　そして、偶然、六軒島に流れ着いて保護してもらい、それ以来、
ささやかな縁があるのだという……。","Then, by coincidence, she washed up on Rokkenjima and was taken care of. And so, she has a small connection with them...",,,
64,ヱリカ,"こちらの瓜二つな双子姉妹のお二人にはお名前をもううかがいまし
た。そちらの小さなお嬢さんの、貴女の名前を聞かせて下さいな？","The twins have already given me their names. Little girl, if would you allow me to hear your name as well, please?",,,
66,Nao (Casual),………………。,..................,,,
68,Nao (Casual),鳳谷菜央よ……。,I'm... Nao Houtani...,,,
70,ヱリカ,"あら、可愛らしい名前ですね。菜央ちゃんって呼ばせてもらっても
いいですか？","My, isn't that a lovely name? Would it be alright if I called you Nao-chan?",,,
72,Nao (Casual),……勝手にどうぞ。,...Do what you want.,,,
76,ヱリカ,あらあら。ご機嫌斜めなようで。フフ。,"Oh dear, someone's in a foul mood. *giggle*.",,,
81,Mion (Casual),どうしたんだろ。菜央ちゃん、さっきからずっと不機嫌で。,I wonder what happened. Nao-chan's been upset since a while ago.,,,
83,詩音 (Casual),船酔いじゃないですか？　そっとしておいたらいいと思います。,She's not seasick is she? I think it'd be best to leave her alone.,,,
85,詩音 (Casual),"それよりヱリカさん！　『名探偵ワニャン』は、どの事件のエピ
ソードがお気に入りですかぁ？！","Anyways, Erika! Which Detective Wanyan case is your favorite episode?",,,
87,Mion (Casual),"ホントに不思議な縁だよねぇ！　同じ島に行く仲間が、共に『名探
偵ワニャン』のファンだなんて！","A strange turn of fate, isn't it? All of our friends on the island are Detective Wanyan fans!",,,
92,ヱリカ,"ファンといいますか。探偵を名乗る人物には、創作物の中とはい
え、シンパシーとジェラシーを同時に覚えるんです。","I suppose I am a fan. Even if it is a work of fiction, I both pity and envy anyone calling themself a detective.",,,
94,ヱリカ,"見事な推理だと称賛する気持ちと、でも私だったら、もっと見事な
推理を見せるのに、という反発と。","The reasoning in the show is admirable, but my gripe is if I were the detective, I could have demonstrated a far more brilliant deduction.","changed from ""but I have a gripe with it""",,
96,,"　園崎姉妹とヱリカ……さんは、何だか意気投合してしまってい
る。
　あたしだけが気まずい。……はぁ。","The Sonozaki sisters and Erika...san have somehow hit it off. 
I'm the only one left out. ...*sigh*.",,,
