event01_30_02.bytes,Eri,Lloro - QC/TL,Naegles - QC,
index,chara,jp,en,Notes
33,嘉音,"食後は、コーヒーか紅茶のご用意がありますが、如何いたします
か……？","After the meal, we usually prepare either tea or coffee. Which would you prefer?",
35,Mion (Casual),"口の中が甘ったるくなったからね！　ここは梅塩昆布茶でキュッと
締めたいんだけど、あるかなぁ？",The taste inside my mouth is so sweet after that! Some salted plum kelp tea would wrap things up nicely. You got that here?,"from ""So I'd like to finish things up with a salted plum kelp tea, do you have it?"
41,Nao (Casual),て、天衣無縫、ここに極まれりだわ……。,This... this is perfection at its finest...,Not sure how to translate this one yet.
43,詩音 (Casual),ウチの姉が本当にすみません。田舎者なもので……。,Sorry about my older sister. She's quite a country bumpkin...,
49,嘉音,"……お屋敷の方に準備があるかもしれません。お時間をいただけれ
ば、確認いたします。","... Maybe it is available at the mansion. If you allow me some time, I can go check.",
52,Mion (Casual),あ、ホント？！　ありがと！　じゃあ、お願いしちゃおっかなぁ。,"Ah, really!? Thanks! I'll be counting on you, then.",
54,嘉音,……確か、熊沢さんが私物で鯖昆布茶を持っていたような……。,"...If I'm not wrong, Kumasawa-san had mackerel kelp tea of her own...",
60,ヱリカ,"魅音さん、なかなかやりますね。タダで泊まらせてもらう分、きっ
ちりとお仕事をしているようで。","Mion-san, you're quite good. You're not just spending the night here, but you're properly doing your job too.",
63,Mion (Casual),"まぁね！　私のこと、さんざん田舎者とか言ってくる、わかってな
い妹もいるけどさぁ？",I guess! Although I've got a little sister who doesn't get that and calls me a country bumpkin and stuff!,
70,詩音 (Casual),"えーーッ？！　今の、モニターとしてサービスを試してたっていう
んですかぁ？！",Ehhh!? Don't tell me that was you testing their services just now!?,
72,Nao (Casual),"た、確かに……。リゾート地にするなら、それなりの賓客が来る
こともあるわ。","For, for sure... If they're going to make it into a resort, high profile guests might come too.",
74,Nao (Casual),"賓客のささやかな要望に、杓子定規で対応しているようでは、彼ら
の満足は得られない……。","If they aren't able to fulfill such a small request for the guests in a natural manner, they won't be able to have anyone satisfied...",
80,ヱリカ,今回はたまたま、用意が出来ましたが……。,"Although this time, they happened to be prepared for that...","from ""they just happened to have it"
82,ヱリカ,"恐らく、魅音さんが一番、見たかったのは、どうしても用意が出来
ず、客の気分を害さないように、如何に美しく断って見せるか、
だったのでしょうね。","I presume what Mion-san wanted to see the most was how they could come up with an excuse so beautiful that, even after failing to be prepared for them, it wouldn't ruin the guest's mood.","from ""I'm presuming that what Mion-san wanted to see the most was how they would they come up with a beautiful refusal in case they were unable to have it ready, without offending the guest."
84,Mion (Casual),でも、嘉音くんの所作は十分、及第点以上だったと思うよ。,"Still, Kanon-kun's conduct is definitely deserving of a good score.",
