event01_30_04.bytes,,danpmss,Lloro - QC/TL,Naegles - QC2
index,chara,jp,en,Notes
33,,"　あたしのベッドは毛布が剥ぎ取られ、……剥き出しのシーツに
は、鮮血のような赤で記された魔法陣があった……。",The blankets on my bed had been stripped off... and a blood-red magic circle could be seen painted on the sheets underneath.,
34,,"　ベアトリーチェが、……その存在を信じないあたしのベッド
に……、描いたんだ……。",Beatrice... an existence I don't believe in... drew this on my bed.,"from ""Beatrice... that existence in which I don't believe... drawn this in my bed."
38,,"　あぁ、やはり六軒島は、魔女の島だったんだ。
　島に住まう人たちが恐れていた存在に対し、敬いを持たなかった
から、……祟られたのだ。","Ah, in the end, Rokkenjima was indeed a witch's island.
Cursed... by its human inhabitants' lack of respect towards the being they dreaded.",
39,,どうしてこんなことに……。どうして…………。,Why did it have to be like this...? Why...?,
40,,…………………………。,...........................,
42,,"　……落ち着いて。考えて。
　ほら。……みんな、話していたじゃないか。","...Calm down. Think this over.
C'mon... we talked about that, right?",
43,,"　……ベアトリーチェの話？
　違う。……ミステリーと、オカルトの話だ。","...Was it the topic regarding Beatrice?
No... it was the talk about mystery and the occult.","NOTE: Flashback sequence ahead, must check coherence with the previously translated lines."
50,詩音 (Casual),"確かに一理ありますね。解決できればミステリーだけれど、解決で
きないなら、オカルトになることもありえる。","That's true. When you're able to solve it, it's considered a mystery, but unresolved ones often become part of the occult.",Linked these three Shion and Mion lines to exact same ones in part 2 since it's a flashback scene. See D36-38
52,Mion (Casual),"太古の昔から、神の奇跡とされていたものが、次々に科学で解明さ
れたからね。","Since ancient times, things once assumed to be divine miracles have successfully been explained through science.","""           """
54,Mion (Casual),"神の奇跡は解明できない。イコール、解明できなければ神の奇跡と
も言えちゃう訳だ。","Divine miracles cannot be explained. The idea here being, whatever you can't explain gets written off as a divine miracle.","""           """
58,,"　……そうだ。魅音さんと詩音さんが話してたじゃないか。
　解明できなければ、奇跡、……いや、魔女になってしまう。","...That's right. Isn't it just like what Mion-san and Shion-san said?
If something cannot be explained, ""it"" becomes a miracle... or in this case, a witch.",
60,,"　だが。
　解明されれば、魔女じゃない。オカルトじゃない。ファンタジー
じゃない。","However...
If it can be explained, then there is no witch. No occult. No fantasy.",
61,,"　そしてあたしは言ったじゃないか。
　――科学とオカルトの、戦いなんですね。………と。","Didn't I also say it myself? 
""It's the battle between science and the occult, right?""",NOTE: Quotting a line from a previous chapter.
62,,あぁ、そしてヱリカさんは言ったんだ。,"Ah, then Erika-san said...","NOTE: Flashback sequence ahead, must check coherence with the previously translated lines."
67,ヱリカ,"そこは優雅に、ミステリー、バーサス、ファンタジーと言って頂き
たいです。","More gracefully put, it's <Mystery versus Fantasy>.",Link this to... (etc...)
70,,"　……まったく。どいつもこいつも『名探偵ワニャン』の話ばっか
り！","...Honestly, all of them, always with that ""Detective Wanyan"" nonsense!","NOTE: I think ""nonsense"" fits the bill well enough, in this context."
79,Nao (Casual),"あたしは『カネダ少年の事件簿』派なのよ！　ばっちゃの名にかけ
て、魔女なんか認めないわッ！！","I'm Team ""Kaneda Case Files"", all the way! In the name of my granny, I won't acknowledge any witches!","NOTE: A funny alteration of one of Kindaichi's catchphrases (「ジッチャンの名にかけて」) from ""The Kindaichi's Case Files"", substituting ""grandpa"" with ""granny"".
"
87,,"　その時ようやく、あたしの頭に掛かっていたもやが晴れる。
　すると、手を叩く音と、笑い声が……。","At that moment, the mental fog inside my head finally cleared.
That's when I heard the sound of hands clapping, paired with a laughing voice...",
90,Nao (Casual),……あたしのベッドのシーツに素敵な落書きをありがとう。,...Thanks for the lovely scribble on my bedsheets.,
92,Nao (Casual),"あんなものを見せつけられたら、並の人なら恐怖して引っ繰り返る
のかしら？　お生憎だわ。","Perhaps an ordinary person would freak out seeing something like that? Well, too bad for you.",
94,Nao (Casual),あたし、まだまだ子供だし、こう見えて反抗期の真っ最中なのよ。,"I may look like I'm still just a kid, but I'll have you know, I'm right in the middle of my rebellious phase!",
97,Nao (Casual),部屋は密室だったから、魔女にしか出来ない、不気味な悪戯！！,"Since my room was locked, this creepy prank could only have been done by a witch?!",
99,Nao (Casual),"これみよがしな密室トリック！　あたしはむしろ、余計にあなたを
信じないの！！",What a pretentious locked-room trick! All you did was make me more skeptical!! ,
102,Nao (Casual),あなたが“い”ると主張するなら、あたしは必ず逆を主張する！！,"If you are going to claim that you ""exist"", I'm going to claim the opposite without fail!!",
106,Nao (Casual),お前なんか“い”るものかッ、ベアトリーチェ！！！,"As if things like you ""exist"", Beatrice!!!",
113,ベアトリーチェ,ははははは、くっはははひゃひゃっひゃ！！　これはこれは！,"Hahahahaha, kkhhhahahhahaha!! My, my!",
