event01_30_05.bytes,,Jevil_A3W,Lloro - QC,,
index,chara,jp,en,Comments,
35,Nao (Casual),…………え…………。……朝…………。,.........Huh...? ...Morning already......?,,
37,,"　んご～～～、すぴ～～～。
　……園崎姉妹のいびきだ。すごい。寝相までまったく同じだ。",Nnnnn~... zzzzzz~... The Sonozaki sisters snored on. It was amazing that even their sleeping postures were the same.,"Comments can be viewed on ""Open comment history""",
40,Nao (Casual),すごく……、変な夢を見た………。,I had a very... odd dream.,,
42,,"　明らかに夢の中の出来事だったが、……今でも細部を思い出せる
ほどに明晰な夢だった……。","It was obviously a dream, but...
It was so lucid that I can still recall the details even after waking up.",,
43,,"　あたしは、肖像画の魔女、ベアトリーチェに招かれ、……魔法陣
の悪戯が人間には可能か否か、思考を戦わせたのだ。","In my dream, the witch in the portrait, Beatrice, invited me to a battle of wits... over whether or not that magic circle prank was possible for a human.","from ""In my dream, I was invited by a witch Beatrice ....that witch illustrated on the portrait, in a battle of wits over",
44,,"　昨夜のことを、おさらいしよう。
　客室に戻ったら、あたしのベッドが荒らされ、……シーツに魔法
陣の落書きがされていた。","Let's recap what happened last night.
When we returned to our guest room, I found my bed ravaged... and a magic circle was painted onto the sheets.",,
45,,魔女を信じない者にベアトリーチェがするという、悪戯だ。,It was a prank that Beatrice plays on those who don't believe in witches.,,
46,,"　あたしは夢の中では、窓の鍵の様子を見に行った紗音さんを、
疑っていた。","In my dream I suspected Shannon-san, who went up to our room to check the lock of the window.",,
47,,"　……あんなにも甲斐甲斐しく、お世話をしてくれた人を疑うなん
て、今思うと申し訳ない。","Thinking about it now, I feel sorry after so diligently suspecting someone who's always helping us.","from ""I now felt sorry to suspect someone who happily took care of us the entire time.",
50,Nao (Casual),……ベアトリーチェが言った、赤き真実……。,......That red truth Beatrice said...,,
52,,"　夢の中の話を真に受けるなど、他人が聞けば馬鹿馬鹿しいことだ
と思うだろう。
　でも、あたしは信じることにする。","If I were to talk about what happened in my dream with someone else, they'd look at me like I had three heads. Even so, I still believe that it happened.","from ""If you were to ask someone else, they'd find it ridiculous to believe what was said in my dream. Yet, I've decided to take it for real.",
53,,"　魔女が夢の中に出て来たことは、信じることにする。
　でも、あたしのベッドに、魔法陣の悪戯をしたことは、信じてな
んかやるものか……。","I accept that a witch came to me in my dream.
However, I refuse to believe that a witch came inside my room and pulled off a magic circle prank on my bed.",,
54,,"　ちなみに。魔法陣のシーツは昨夜、使用人室に連絡して交換して
もらった。
　さすがにあんなシーツで眠れる図太さはない……。","Last night, after we found that magic circle, we contacted the servant room and had them change the sheets. I'm not bold enough to sleep on sheets like that...",,
55,,"　連絡したら、源次さんという老いた使用人頭の人が新しいシーツ
を持ってきてくれた。","After the call, the head of the servants, an older man named Genji-san, brought new sheets for us.",,
56,,"　汚れているのでと、丸めて渡した魔法陣のシーツを受け取って
帰っていったが、……広げてみて、あの人はどう思っただろ
う……？","I gave him the sheets rolled-up in a ball and said they were dirty.
I wonder what he thought when he unraveled it...?",,
59,？？？？,ふぅん……。ふぁああぁぁぁぁぁ………。,"Mmmmm, *yawn*~...",,
60,,"　その時、園崎姉妹が二人そろって目を覚ます。
　すごい。録画しておきたいほどにシンクロした起床だ。","At that moment, both Sonozaki sisters woke up together. Their synchronized awakening amazed me so much, I wanted to record a video of them.",,
64,Mion (Casual),あれ、菜央ちゃん、早いね。おはよ～。,"Oh, Nao-chan, you're up early. Morning~...",,
66,詩音 (Casual),"ふああぁぁぁぁ……。今日は撮影だってのに、ちょっと寝足りない
ですよ……。","*Yawn*... I feel like I didn't sleep enough, even though we have a photo session today...",,
71,Nao (Casual),"昨夜は睡眠薬を下さってありがとうございます。あれがなかった
ら、興奮して眠れなかったかもです。","Thanks for giving me sleeping pills yesterday, Shion-san. I don't think I could've slept without them due to the shock.",,
76,詩音 (Casual),"旅先は枕が違うから、案外、熟睡できないんですよね。役に立って
よかったです。","I usually have a hard time sleeping on a different pillow while on vacation, so I brought those in case. I'm glad they helped you too.","from ""Sleeping soundly on a trip can be difficult sometimes because of an unfamiliar pillow, which is why I brought those.",
79,Mion (Casual),"よっしゃああーー！！　今日は最高にいいお天気！　撮影日和
だぁぁ！！",Yeeaaah!! We have great weather today! The best kind for a photo shoot!!,,
81,詩音 (Casual),"菜央さんは、ゆっくり刺繍をして過ごすんでしたよね？　私たちの
ことは放っておいて、のんびりして下さいね。","Nao-san, you were going easy today and just doing embroidery, right? Please feel free to relax on your own, okay?","from ""you were going to spend your time leisurely embroidering today, right? Please feel free to leave us alone and take it easy.",
86,Nao (Casual),…………はい。,......Okay.,,
88,,昨夜。……不気味な魔法陣に、あたしたち３人は驚いた。,Us three were... very surprised... last night when we saw that ominous magic circle painted on my bedsheet.,,
89,,"　……だが、それよりも驚いたことは、いつまでも驚いていたの
が、あたしだけだったということだ。","...However, what surprised me more was that it was only me who was shocked the entire time.",,
90,,"　なんと。魅音さんは唐突に、カラカラと笑い出したのだ。
　あの時は、突然の笑いに、魔女が憑依したのかと絶句してしまっ
た。","A few moments after we saw the magic circle, Mion-san started to roar with laughter. It was so sudden, I was speechless and feared that the witch had possessed her.",,
91,,"　だが違う。恐らく魅音さんは、魔女の#p祟#sたた#rりを装った悪戯であるこ
とを、瞬時に見抜いたのだ。","....But thinking about it again, Mion-san probably understood in an instant that it was just a prank mimicking a curse from the witch.",,
92,,"　……当然だ。魔女も魔法もある訳がない。ならば、誰かの悪戯で
ある以外に考えつくことはない。","...But of course, there is no such thing as witches or magic. There's no way to think of it other than a prank being done by a human.",,
93,,"　あたしは血で描いた魔法陣だと勝手に思い込んだけれど。魅音さ
んはすぐに絵の具によるものだと見破った。","I thought it was a magic circle drawn with blood at first glance.
But Mion-san immediately saw it was just paint.",,
94,,"　予め、魔法陣を描いたシーツを用意しておき、隙を見て侵入し
て、シーツを張り替えたのだ、と。","The suspect had prepared a sheet with a magic circle drawn on it, and when they found the right time, they snuck into our room and replaced the sheet on my bed.",,
95,,"　じゃあ……、それを誰がやったのか？
　昨夜の時点では、魅音さんも詩音さんも、それを断定することは
なかった。","The real question is... who did it?
Last night, both Mion-san and Shion-san didn't give any ideas.",conclusions -> ideas,
96,,"　しかし。誰であろうとも、人間の仕業であることに疑問の余地は
ない、という強い意思があった。","In any case... whoever the culprit was, there was no doubt it was the work of a human.",,
97,,"　だから魅音さんは、笑いながら「やってくれるねぇ」という言葉
を口に出来る。","That's why Mion-san can casually grin and say, ""They've done it"".",Need to fit with C203 (line 203) of  Chapter 3 ,
98,,"　魅音さんのあの笑いは、見事な悪戯に、してやられたと笑う小学
生のような気持ちだったのだ。",Her laughter reminded me of a schoolchild seeing a well-executed prank.,,
99,,"　それを聞き、詩音さんもまた、笑い出し、園崎姉妹は、誰である
にせよ、タイムリーなこの悪戯を面白がりさえしたのだ。","And when Shion-san heard that, she also started laughing. Both Sonozaki sisters relished in the timing of the prank.",timely -> the timing of the prank,
100,,"　あたしは怖がりだから、ひょっとしたら本当に魔女の仕業かもと
思って、怯えてしまっていた。","Meanwhile, I was frightened at the thought that it was really done by a witch...",,
101,,"　……いや、でも。あんな性質の悪い悪戯をされたら、誰だって絶
句して当然だと思うけれど……。","...Although, I think anyone would be at a loss for words if they were subject to a prank like this.",,
102,,……………うーーん……。,......Yeaaaah...,,
105,Nao (Casual),"……あたしも二人を見習って、もっと打たれ強くならないといけな
いかしら……。",......Maybe I should learn to be stoic like those two...,,
107,,だから。その怯えを魔女に付け込まれて、あんな夢を見る……。,"Because of that, the witch's panic overcame me in my dreams.",,
110,Nao (Casual),あの……。お二人は……、何か夢を見ましたか？,Hey... did you two... have any dreams?,,
115,詩音 (Casual),"素敵な夢を見られるかと期待しましたが、私はさっぱりでした。お
姉は、何か夢を見ました？","I was expecting to have some good dreams, but none last night. What about you, Sis?",,
117,Mion (Casual),全然。快眠過ぎて、何の夢も見てないねぇ。,Nope. I slept so well last night that I didn't have any dreams.,,
121,,"　魅音さんは、今度は慎重に鍵を開け、窓を広げて、海と薔薇庭園
を同時に眺められる絶景を満喫する。","Mion-san carefully unlocked the window and opened it, taking in the spectacular views of the ocean and the rose garden.",,
122,,"　………あの窓が、鍵になると思うのだ。
　紗音さんはマスターキーがあるから入室出来るけれど、……魔法
陣のシーツには一切、関わっていない。","...I think that window is the key to solving this mystery. Shannon-san has a master key to our room, but she wasn't involved with the magic circle at all.",,
123,,"　となれば、紗音さんが窓の鍵を直すまで、施錠されていなかった
窓が怪しいのは当然のこと。","It's quite obvious that the window is suspicious, which was left unlocked until Shannon-san fixed it.",,
124,,"　しかし、窓だろうと階段だろうと、……２階へは誰も行っていな
いと赤き真実で言われている……。",But whether by stairs or the window... it was stated in red that nobody went up to the second floor.,,
129,Mion (Casual),"さ、朝ごはん行こ！　中日の今日が、この島へ来た一番の目的だか
らね！","C'mon, let's go eat breakfast! What we're doing at noon today was our biggest reason for coming to this island!","from ""The second day today is",
131,詩音 (Casual),"そうですね！　こんなすごいところで撮影できる機会なんて、そう
そうないですから。",That's right! We don't often have the chance to take photos in such an amazing place.,,
136,Nao (Casual),お二人は、この島に撮影に来ていたんですね。,"The two of you came to this island to do a photo session, right?",,
142,Mion (Casual),"菜央ちゃんも一緒に撮るぅ？　記念になるよ～？　いっひっひっ
ひ。","Wanna join us, Nao-chaaan? We'll make some great memories, won't weee? Ihihihi~",ihihihi is Battler laugh from Witch Hunt translation that I have,"from ""It'll be a good memento, ihihihi."
144,Nao (Casual),……その笑いが気になるので遠慮します。,"...I'm worried about that laugh, so no thanks.",,
153,詩音 (Casual),ヱリカさんは……、おや、まだ寝てるみたいですねぇ？,"Erika-san is... oh, still sleeping, I guess?",,
155,,"　ヱリカさんの部屋のドアノブには、ホテルでお馴染みの
「起こさないで下さい」の札が掛けられていた。","On the doorknob of Erika-san's room hung the typical ""Do Not Disturb"" tag seen in hotels.",,
159,Mion (Casual),ふふ～ん？　実は中で、死体になってたりして……。,"Hmmm~? But in reality, we end up finding her dead body inside...","from ""Heheh, what if her dead body was inside the room?",
161,詩音 (Casual),お姉、さすがに不謹慎が過ぎます。,"You really don't know how to choose your words, Sis.","from ""Sis, you much too imprudent.",
169,,１階では郷田さんと嘉音さんが朝食の支度をしてくれていた。,"On the first floor, Gohda-san and Kanon-san were preparing our morning dishes.",,
172,嘉音,……おはようございます。昨夜はよく眠れましたか。,...Good morning. Have you slept well last night?,"from ""I hope you had a good sleep last night.",
176,郷田,さぁさぁ、御着席を。古戸さまは、まだお休みでしょうか？,"Now, please be seated. Is Furudo-sama still sleeping?",,
