event01_30_06.bytes,,roux,Lloro - QC/TL,Naegles - QC2
index,chara,jp,en,notes
32,Nao (Casual),"紗音さんに濡れ衣を被せようとしてもダメです。あの悪戯の犯人は
あなたです。ヱリカさん。","Even if try to frame Shannon-san, it's over for you. Erika-san, you're the culprit of that prank.",
34,ヱリカ,それ、気持ちいいでしょう？,"That feels good, doesn't it?",
36,Nao (Casual),はい？,Excuse me?,
38,ヱリカ,"“犯人は、あなたです”。……その言葉を口にする瞬間こそが、探
偵の悦楽の究極にして最高峰！","""You're the culprit."" ...The moment you get to speak those words is the ultimate pleasure for a detective!",
40,ヱリカ,もちろん、犯人がその言葉で簡単に屈することはありません。,"Of course, the culprit won't give in to that phrase so easily.",
42,ヱリカ,"それこそ、窮鼠猫を噛むの勢いで反論してくるでしょう。しかし、
それを崩すのがまたいい！","As a cornered rat will bite a cat, the culprit will also surely object with all their might. But for me, I'll {i}enjoy{/i} tearing it down once more!",*japanese proverb. the last sentence might be referring to events of previous chapters? not sure what she means
44,Nao (Casual),"……つまり、ヱリカさんは模範的な犯人役を演じてくれる、という
ことですよね？","...In other words, Erika-san will play the part of an exemplary culprit. Is that what you're saying?",
46,ヱリカ,貴女が探偵としての究極の悦楽を得られるか……。,Can you obtain the ultimate pleasure as a detective...?,
48,ヱリカ,"さもなくば、探偵の解決の直前に披露される、ナントカ警部のヘッ
ポコ推理の役になるのか。くっくっく！","Or, just before the solution is unveiled, will you assume the role of Inspector So-and-so with your incompetent reasoning? *cackle*cackle*cackle*!",detective's solution -> solution
50,Nao (Casual),"では、ヱリカさん。反論してもらいます。どうしてあなたは犯人で
はないと？","Then, Erika-san, let's hear your objection. Why do you say you aren't the culprit?",
52,ヱリカ,非常にシンプルな話です。私にはアリバイがあるからです。,It's an exceedingly simple reason. Because I have an alibi.,
54,Nao (Casual),アリバイ……？,Alibi...?,
56,ヱリカ,"お忘れですか？　私は貴女たちと一緒に、郷田さんの素敵な創作ス
ペイン料理をいただいたではありませんか。","Oh, did you forget? Along with you and the others, didn't I sample Gohda-san's superb renditions on Spanish cuisine?",
