event01_30_07.bytes,Omega: I tl'd some lines to the best of my ability.,Lloro - QC,Naegles - QC2,NOTES,
index,chara,jp,en,,
35,,"　ゲストハウスに戻ると、広間ではランチのお皿が配膳されてい
た。","We returned to the guesthouse, where lunch was being served in the hall.",lunch plates were -> lunch was,
36,,"　詩音さんが言うには、ここで使われている食器は、本当にいいも
のということだった。",Shion-san was going on about how high-quality the silverware was.,"from ""how amazing the tableware was supposed to be.",
37,,"　この島の美食に慣れてしまったら、もう島の外には戻れなくなっ
てしまうかも。……かも。","Once you get used to the cuisine on this island, you might never want to go back... maybe.","from ""you never want to go back, perhaps...I hope.",ever -> maybe (for nao)
41,詩音 (ビキニアーマー),"早く着替えてきましょ。さすがにこの格好でランチはしたくないで
す。",Let's get changed quickly. I don't want to be eating lunch like this.,,
43,Mion (ウェディング),そーおー？　おじさんは全然、気にしないけどなぁ。,"Reaaally? This ol' man doesn't mind at all, though.","from ""Is that so? Well, this ol' man doesn't mind.",
45,詩音 (ビキニアーマー),"お姉がよくても、私が落ち着かないんですっ。さ、上に行って、着
替えますよ。","Sis, you might be okay with it, but I'd prefer to be modest. Anyways, I'm going upstairs to change.","""Modest"" or something similar would work since Shion is standing around with the skimpy Dragon Quest armor",
50,ヱリカ,私も一度部屋に戻って、手を洗うことにします。,I would also like to return to my room for a bit to wash my hands.,,
54,Nao (Casual),……刺繍、全然、出来なかったけど、置いてこなきゃ。,"...I can't bring myself to embroider at all, so I'll have to set it aside for now.","from ""...I'm not in the mood for embroidery, so I'll set it down.",
61,,"　後で畳めばいいと、あたしの目も気にしないで、じゃんじゃん脱
いで、じゃんじゃん着替える。","After folding my clothes neatly, I glanced around with a carefree look, where the sounds of clothes being shed resounded.",,
62,,"　女同士とはいえ、あぁも裸を見せることに抵抗がないのも、スゴ
イというかカッコイイというか……。",It's amazing that they're not afraid to put their nakedness on display even if they have a sisterly bond...,"女同士 comes out as ""female bonding"" but sisterly bonding is probably better since it's the twins changing",
66,詩音 (Casual),これでエンジェルモートの仕事はおしまいですよね？,"This is the last Angel Mort request, right?",,
68,Mion (Casual),"もっちろん！　午後はワニャンを！　兎たちの悲恋殺人事件合わ
せ、やっるよ～！！","Yup! This afternoon, we're doing the ""Heartbroken Rabbits Murder Case"" photo set~!","added This afternoon, photo set, etc",
70,詩音 (Casual),ねーねー、菜央さんも加わりません？,"Hey, Nao-san, you wanna join?",,
75,Nao (Casual),あたし……、恥ずかしいのはちょっと。,"Um... thanks, but getting embarrassed like that is gross.",,
80,Mion (Casual),"大丈夫大丈夫、イッチバン恥ずかしくないのがあるから！　しかも
主役！","It's fiiine, it's {i}fiiine{/i}, there's no need to be embarrassed! After all, you can be the star!",edited daijoubus,
83,詩音 (Casual),ジャーン！　ワニャンの着ぐるみですよ～！,Ta-da! It's a Wanyan costume~!,,
86,,"　……なるほど。巨大ナメクジの中の人ならば、恥ずかしくもな
い、……かも？",...I see. Surely I wouldn't be embarrassed wearing a giant slug costume... maybe?,,I guess -> maybe (for nao)
87,,"　いやいやいや、それじゃそもそも、あたしが写る意味がないよう
な……。","Wait, wait, wait, do I even want to be photographed in the first place?",changed order / no x3 -> wait x3,
88,,"　……いやいや、浮気はダメだわ。あたしはカネダ少年派なんだか
ら……。","...No, I will NOT be fooling around. I'm on Team Kaneda after all...","from ""I need to be just like Kaneda...",
94,,"　部屋を出て施錠していると、ヱリカさんもちょうど部屋から出て
来たところだった。","Just as we left the room and locked our door, Erika-san came out of hers and did the same.",changed order of just as,
97,ヱリカ,今度は、ちゃんと施錠しないといけませんね。,"This time, I won't leave the door unlocked.",,
100,詩音 (Casual),大丈夫でしたぁ？　泥棒とかに荒らされてませんでした？,Are you okay? Did a thief break in?,,
102,ヱリカ,いいえ。ご安心を。,Nope. You can rest assured.,,
106,Mion (Casual),グッド。それはよかった。,<Good>. That's nice to hear.,,
111,Nao (Casual),行きましょう。この素敵な匂いに、お腹がもうペコペコです。,Then let's go. This wonderful smell is making my stomach rumble.,,
114,,ヱリカさんは、しっかりと施錠し、その手応えを確かめる。,Erika-san carefully tried the door to ensure it was locked.,,
118,ヱリカ,これで私の部屋は密室です。安心ですね。,"With this, my room is definitely a locked room. My mind is at ease.",,
120,Mion (Casual),窓はちゃんと施錠してあるぅ？,Is the window locked?,,
123,ヱリカ,もちろんです。こうでなくては、でしょう？,Indeed it is. Why wouldn't it be?,,
127,詩音 (Casual),くす。ヱリカさんって、面白い人ですね。,"*giggle*. Erika-san's an interesting person, huh?",,
130,,"　あたしは、面白くない人でいいから、のんびりと刺繍をさせてく
れる同宿者がよかったわ……。",I think I would've preferred an uninteresting roommate who would let me relax and embroider instead.,,
144,ベアトリーチェ,そなたが土産に持ってきた#pコ#s・#r#pレ#s・#rは、なかなかに面白いではないか。,"{i}What you brought as a souvenir{/i} is very intriguing, isn't it?",,
146,ヱリカ,"貴女が戦人さんとイチャついてた頃の難易度に比べれば、子供騙し
ではありますが。","It's mere child's play compared to the difficulty you had while flirting with Battler-san, though.",,
150,ドラノール,"……さすがは名探偵デス。状況を臨機応変に利用し、謎を生み出し
マス。",...You really are a great DETECTIVE. You've used your surroundings and adapted to the situation to produce a great MYSTERY.,,
152,ヱリカ,謎を解ける者は即ち、謎を作れるものでもあるのだから当然です。,It's only natural that those who are able to solve mysteries have the ability to create them as well.,,
156,ベアトリーチェ,"#p第#s・#r#p一#s・#r#pの#s・#r魔法陣の謎は、おおよそ見えて来てはいるのだが……。紗音
がどうしてもわからぬ。",The mystery of the {b}first{/b} magic circle is unfolding... but Shannon I have yet to understand.,revealing itself -> unfolding,
158,ベアトリーチェ,"あやつの性分からして、おぞましい魔法陣がシーツに描かれている
のを見たら、平然とは出来ぬはずだ……。",To look at a repulsive magic circle drawn on a bedsheet with such a calm demeanor...,,
160,ベアトリーチェ,"うむむむむ……。頭の糖分が足りぬ……。ドラノールよ。もう１箱
だけ頼むぞ……。","Hmmmm... there's not enough sugar in my head... Dlanor, I request another box...",,
