event01_30_09.bytes,,"beanbug; very chill with others contributing to this, i finished my ssr stories and didn't want to step on others' toes by editing their sheets ",Lloro - QC,,,Omega: I'm adding some stuff
index,chara,jp,en,,3 lines remaining,
32,ベアトリーチェ,それでは妾の手番であるな。お次はヱリカを攻めさせてもらうぞ。,It's my turn now. I will attack Erika next.,,,
34,ベアトリーチェ,ヱリカの主張は、詩音が犯人である、ということだったな？,"Erika argued that Shion was the culprit, correct?",,,
36,ベアトリーチェ,"……それを確信できるものが何かあるなら、妾に示してはくれぬ
か？","...If there's something that makes you so sure of that, why don't you show it to me?",,,
38,ヱリカ,受けてもいいですけれど……。致命傷になりますよ？,"I'll take up that offer if it's what you desire... however, this {i}will{/i} deliver the final blow, you know?",,"from ""If it's fine with you...may I deliver the final blow",
43,Nao (Casual),"確かにあの時、小道具を探しにゲストハウスへ戻っていた詩音さん
だけが、アリバイを失ってるけれど……。","It's true that Shion was the only one to turn back to search for something at the guesthouse, and thus lost an alibi...",,,
45,,"　アリバイがないからというだけの理由で、詩音さんを犯人になん
かさせない。",But I don't want to let Shion-san be declared the culprit just because she doesn't have an alibi. ,,,
49,ドラノール,ベアトリーチェ卿。貴女の手番はそれで構わないデスカ。,"Lady Beatrice, do you have no issues in making this MOVE?",unsure on this line.,"from "" is that what you wish to DO?",
51,Nao (Casual),……あたしも知りたいわ。ベアトリーチェ、お願い。,"...I want to know too. Beatrice, if you will.",,"from ""I understand. Beatrice, if you will.",
57,ベアトリーチェ,うむ。それでは切り込ませてもらう！,"Alright, then let's get to the heart of the matter!",,mu -> alright,
60,ベアトリーチェ,示せ、ヱリカよ！　詩音が犯人であるとする根拠をな！,"Show it to me, Erika! Your evidence that Shion is the culprit!",,,
62,ヱリカ,それでは、お受けいたします。,Very well. I will take this chance to state this.,,"from ""If that is the case, please accept this.",
64,ヱリカ,"詩音さんには、私の部屋に侵入したことを示す、明白な証拠が残っ
ているからです！",There is clear evidence that Shion-san broke into my room!,,,
78,詩音 (バスタオル),え？！　な、何ですか、一体……！,"Huh? Wha, what on earth...!?",,,
80,,"　自分の部屋に魔法陣が現れて、
ヱリカさんは恐怖に震えているものだとばかり思っていた。","Since a magic circle had just appeared in her room, I thought Erika-san would have been shaking in fear.",,,
81,,"　その彼女が突然、罠にかかったな馬鹿めッ、と書いてあるかのよ
うな表情で笑い出したのだ……。","But suddenly, she burst into laughter and displayed an extression that seemed to say that some fool had fallen into her trap...",,,
84,ヱリカ,茶番にお付き合いをありがとうございました。,I do thank you kindly for participating in this charade.,,,
86,ヱリカ,それでは、種明かしと参りましょう。,"Now, let's look at the details.",,,
88,ヱリカ,"皆さんはたった今。私の悲鳴を聞き、開け放たれたままの扉より入
室しました。","One moment ago, everybody heard me scream and entered via the open door.",,,
90,ヱリカ,"つまり。皆さんは誰一人、この部屋の扉の、ドアノブに触れた人間
はいないのです。","In other words, none of you should have touched this room's doorknob.",,,
95,Mion (バスタオル),……どういうこと……？　……まさか………。,...What do you mean......? ...It can't be......,,,
97,詩音 (バスタオル),…………………………。,..............................,,,
100,,"　園崎姉妹の顔が青ざめて見える。
　……じゃあやっぱり、この魔法陣は詩音さんの仕業……？！","The Sonozaki sisters' faces turned pale. ...Then, does that mean that the summoning circle was Shion-san's doing after all...?!",,,
104,ヱリカ,"それでは皆さん。その場で少しお待ちください。カーテンを閉めさ
せてもらいます。","Alright, everybody, please wait here for a moment. I'm going to close the curtains.",,,
106,Nao (Casual),……何を始める気？,...What are you about to do?,,doing -> about to do,
108,ヱリカ,園崎詩音さん。こちらへ。,Shion Sonozaki-san. This way.,,,
112,詩音 (バスタオル),……犯人扱いは心外ですけど、変に断っても疑われますし。,"...Being treated like a criminal is upsetting, but if I refuse, she's just going to suspect me more.",,,
116,,"　詩音さんが歩み出ると、……まるで手錠のように、……ガシリと、
ヱリカさんは詩音さんの手首を掴んだ。","As Shion stepped forward... Erika-san grabbed her wrist in a vice-like grip, almost like it was a pair of handcuffs.",,,
119,ヱリカ,チェックメイトですよ？　詩音さん。,"I do believe this is checkmate, Shion-san?",,,
