event01_30_10.bytes,,tessie - TL,Uminetta - TL (I translated it a little bit),Lloro - QC/TL,Naegles - QC2
index,chara,jp,en,,
32,Nao (Casual),……漫画かアニメに登場したものだと思います。,...has been in something like an anime or a manga before.,,
34,ベアトリーチェ,何？　も、もう一度頼む……。,Huh? C-Can you repeat that once more...?,,
36,Nao (Casual),多分。この魔法陣は、漫画かアニメに登場したものだと思います。,"I think... that this magic circle appeared in some manga or anime before, probably.",,
39,ベアトリーチェ,何と？！　漫画……ッ？！？！,What'd you say?! Manga...?!?!,,
43,ヱリカ,ベアトは見てないんですかー？　……名探偵ワニャン。,"Beatrice, haven't you seen it...? Detective Wanyan.",,
46,ベアトリーチェ,え？！　わっはははは、妾はカネダ少年の事件簿派でなぁ。,"Huh?! Ahahahaha, I'm more Team Kaneda Case Files, remember?",,
48,ベアトリーチェ,"ワニャンは子供っぽいから見ておらぬのだ。そういえば、紗音は面
白いと言っていて勧めてきたことがあったなぁ。","Detective Wanyan is too childish, so I don't watch it. That said, I remember Shannon saying it was interesting and recommending it to me.",,
50,ヱリカ,……マジで本当に面白いから見て下さいぃって。,"...It seriously is {i}incredibly{/i} interesting, so do please watch it.",really -> seriously is incredibly (can be more verbose probs),
53,ヱリカ,我が主も、私がこんなにも勧めているのに、ちーーーーっとも見てくれないんですよ……。,"Even though I had recommended it so much to my master as well, she didn't even so much as glaaaaaanceee...","from ""Even my master... even though I recommended it so much, didn't watch even a liiiitle bit....",
58,Nao (Casual),"何も知らない人が見たら、とてもグロテスクな魔法陣に見えるで
しょうね。",For people who don't know much about it... it'll look like a really grotesque magic circle.,added much about,
60,Nao (Casual),"でも、……知っている人には、むしろ微笑ましく思えるかもしれな
い。","But... for people who know, it might actually make them smile.",even -> actually,
64,ドラノール,"この魔法陣が……、名探偵ワニャンの中に登場するから、……デス
カ。",Did this magic circle... appear in Detective WANYAN...?,,
67,ヱリカ,"まだ見てない人は見て下さいよぉ。大人気で上映期間も延長中なん
ですよぉ……。","If you haven't watched it yet, please do sooo... It's really popular and the screening period has extendeddd...",,
71,Nao (Casual),"……劇場版アニメ、名探偵ワニャン『中秋哀歌～兎たちの悲恋殺人
事件～』……。","...The movie, Detective Wanyan's ""Mid-Autumn's Lament: The Heartbroken Rabbits Murder Case""...",gotta find what reference it probably is first,fixed it ;;;)))
73,ヱリカ,"この中に出てくる連続殺人犯が、現場に残す魔法陣なんです
よぉぉ……。",The serial killer in this movie leaves magic circles on the crime sceneeeee...,,
75,Nao (Casual),……その連続殺人犯は、……人気あるの？,...Is that serial killer...... popular?,,
84,ヱリカ,"ありますよぉおおおおぉおぉお！！　巷じゃ、無頼人（ブライト）
さまは、１００億の男なんて言われてるんですよぉおぉ！！","Um, YEEEEEEEEEEESSSSSSSSS?! They're saying {note_green}Bright-sama{/note_green} has like 10 billion men after him in real liiiiifeeeeeee!!!!",,
86,ヱリカ,"すっごい儚くて美しくて、死でしか結ばれえない悲しき愛の貫き
方……！！　あぁあぁ、無頼人さまぁあぁぁ……！！","It's just so mysterious, just so beautiful the way that he pierces through the melancholy of love by eternally tying someone to him through death...!! Aaaahhhhhnn, Bright-samaaaaaaaa...!!",,
93,ベアトリーチェ,"つ、……つまり。映画に登場する、イケメン犯人が現場に残すサイ
ン、という訳なのか……。","S-... So, this means in the movie, a handsome killer leaves a ""sign"" at the crime scene...?",,
97,ヱリカ,"魔女から見て、魔法陣がおかしいのはご愛敬ですよぉお！！　作者
の代官山剛先生はミステリーの専門家で、魔法陣の専門家じゃない
んですからぁ！","Looking at it as a witch and thinking that the magic circles are silly is part of its chaaaaaaarrrmm!!! The author, {note_green}Mr. Go Daikanyama{/note_green}, is an expert on mystery, not on magic circleeeeeess!!",,
100,ヱリカ,"それでね？　それでね？！　詩音が持ってきた魔法陣、ちょいちょ
い細かいとこが間違ってんですよぉおぉ！！",And you know what else? You know what elsee?! The magic circle that Shion brought has the details all wroooooonggg!!,,
104,ヱリカ,"愛が足りない、愛がないから視えてないッ！　とりあえず、１日３
公演で１ヶ月は映画館に通わなきゃあ！！","There wasn't enough love, no, there wasn't any love in it at all, so they couldn't see it! In any event, I absolutely HAVE to attend the three-time screening at the theaters a month from nooooowwwww!!",,
108,ヱリカ,"私が描いた方は完璧です！　代官山剛先生のチーフアシの人を３日
も監禁して教えてもらったんです！！",The way that I drew it was perfect! Even Mr. Go Daikanyama's Chief Ash character was able to learn it himself in just three days while in confinement!!,,
114,ベアトリーチェ,さらーりと犯罪をＣＯしてるなぁー。,"No hesitation coming out about doing the crime now, huh?",,
116,ドラノール,"つまり。……名探偵ワニャンの映画を見ていた紗音や魅音詩音
は、……一目見ただけで、この魔法陣の意味が、わかっていたとい
うことデスネ……。","Essentially... having only seen the Wanyan movie once, Shannon, Mion, and Shion were able to see the meaning behind the circle with EASE...","i feel like this script uses ""in other words"" for tsumari way too much",
121,Nao (Casual),"魅音さんたちが、コスプレ撮影をしていることは、紗音さんもご存
知だったはずです。",Shannon-san should have also been aware that Mion-san's group was doing a cosplay photo shoot.,,
123,Nao (Casual),"そして、窓の鍵を直しに入室したら、……映画と同じ、イケメン犯
人の魔法陣を描いたシーツが。","And so, as she entered the room to fix the window lock... just as she saw in the movie, the sheets with the handsome criminal's magic circle were sitting there.",,
128,ベアトリーチェ,"……はぁぁぁぁぁ……。それは……、怖がるどころか、むしろ同じ
作品のファンとして、微笑ましくなってしまうなぁ……。","...*siiiigh*... So, in place of being afraid of it, she saw it as a fellow fan of the series and began to smile, huh...",,
130,Nao (Casual),"ヱリカさんが、意味ありげな笑みを浮かべながら、部屋は荒らされ
てなかったかと聞いてきたなら……。",And Erika-san put a suggestive smile on her face after hearing that the room wasn't broken into...,,
134,ドラノール,"……紗音が涼し気に、いいえ、ご安心を、という気持ちも、少しは
わかるというものデス。","...I understand the sentiment behind why Shannon coolly said, ""No, please be at ease."", a little bit more NOW.",,
136,Nao (Casual),"映画は見ていませんが、恐らく、ベッドの荒れ方も、かなり映画に
準拠していたでしょう。","I haven't watched the movie, but I suppose even the way the bed was laid waste to was likely based on the movie. ",,
138,Nao (Casual),"思えば、ヱリカさんのベッドの毛布や枕の乱れ方は、……まるでお
手本があるかのように、あたしのベッドの時と瓜二つでした。","Now that I think about it, Erika-san's blanket and pillows on her bed were arranged... in a pattern, exactly the same as my bed was back then.",,
142,ベアトリーチェ,……これは、……名探偵ワニャンを読んでみるしかないなぁ……。,"...Guess I'm... gonna have to read Detective Wanyan, huh...",,
144,Nao (Casual),"あたしも、今回の事件で興味を持ったわ。……本屋で単行本を探し
てみるわ。",I also have some interest in this recent case. ...I'll search for the specific volume in the bookstore.,,
146,Nao (Casual),"そんな訳で、第一の魔法陣事件は、ヱリカさんの手による、えぇ
と……、","For that reason, the first magic circle accident was done by none other than Erika-san's hands...... *ahem*...",,
155,ヱリカ,"はいはぁい、リザインですよぉおぉぉ……。私が悪かったです
よぉぉ……。","Yeah, yeah. I resiiiiiignnnnn... It was my faaaaulltttt...",,
163,ドラノール,リザインで、よろしいデスカ。,Are you okay with RESIGNING?,,
165,ヱリカ,"参りましたぁ、負けましたぁ。大人しくお家に帰って、ワニャンの
単行本、また１巻から全読破しまぁす……。",I'm finiiished... defeeeated. I'll behave and go back home to read through the whole Wanyan manga series agaaaiiinnn...,,
172,ベアトリーチェ,"妾にも単行本を貸してくれぬか。そなたをそこまで虜にするとは、
実に興味深いぞ！",Why not even lend some volumes to me? For you to go that far in punishing yourself is dreadfully fascinating!,,
176,ドラノール,"それでは、ヱリカのリザインにより、勝者はベアトリーチェと菜央
デス。おめでとうございマス。","In that case, through Erika's resign, the winners are Beatrice and NAO. 
I congratulate the both of YOU.",i feel like CONGRATULATIONS in all caps right after NAO is too aggressive,
181,,"　ドラノールさんが拍手を始めると、あたしとベアトリーチェも
それに倣う。","Dlanor-san started a round of applause, so Beatrice and I joined in.",,
