event01_30_99.bytes,,Lunik - TL,hanss - TL,Lloro - QC,Naegles - QC2
index,chara,jp,en,,
42,Nao (Casual),ッッッ………………………、,H-............,,H-............
48,詩音 (Casual),どうしたんです？　………ひッ？！？！　お、お姉……！！,What happened? .........Heee?!?! S-Sis...!!,,What happened? .........Heee?!?! S-Sis...!!
50,Mion (Casual),……やって、……くれるねぇ………。,...They've... done it...,"from ""....I'll do it,... let's give it to them....",...They've... done it...
53,,"　物語は、第一の魔法陣が、あたしのベッドシーツに描かれていた
のを発見した時に遡る。",The story goes back to when I first found the magic circle on my bed sheet.,,
56,Nao (Casual),ど、………どういうこと…………。,W-... what is this...,ど、………どういうこと…………。,W-... what is this...
59,,"　魅音さんと詩音さんのベッドは、……何事もないのに。
　あたしのベッドだけが……、#p殺#s・#r#pさ#s・#r#pれ#s・#r#pて#s・#r#pい#s・#r#pる#s・#r……。","Mion-san and Shion-san's beds had... nothing on top of them, but my bed alone was k i l l e d...","　魅音さんと詩音さんのベッドは、……何事もないのに。
　あたしのベッドだけが……、#p殺#s・#r#pさ#s・#r#pれ#s・#r#pて#s・#r#pい#s・#r#pる#s・#r……。","Mion-san and Shion-san's beds had... nothing on top of them, but my bed alone was k i l l e d..."
60,,"　毛布は乱雑に剥ぎ取られて散乱し……、まるで肌のように露出し
たシーツが……、鮮血に染まっている……。",The blanket was torn off disastrously... almost like the sheets were skin hanging off of it... and dyed with fresh blood.,"　毛布は乱雑に剥ぎ取られて散乱し……、まるで肌のように露出し
たシーツが……、鮮血に染まっている……。",The blanket was torn off disastrously... almost like the sheets were skin hanging off of it... and dyed with fresh blood.
61,,"　違う。ただ染まっているんじゃない。それは………鮮血のような
赤で描かれていた………。",No. It's not just dyed red. This is... something drawn on with a blood-like substance...,"　違う。ただ染まっているんじゃない。それは………鮮血のような
赤で描かれていた………。",No. It's not just dyed red. This is... something drawn on with a blood-like substance...
64,Nao (Casual),ま………………魔法陣………………。,A.........  magic circle.........,ま………………魔法陣………………。,A.........  magic circle.........
67,,"　あたしが、おぞましい魔法陣に絶句している時。
　園崎姉妹は言っていた。",I was enraptured by that horrible magic circle. That was when the Sonozakis spoke.,removed Sister,
68,,"　ひッ？！？！　お、お姉……！！
　……やって、……くれるねぇ………。","Wha?!?! S-sis...!! 
...They've... done it...","from ""Do ...... give me.....",
69,,"　以下は園崎姉妹の二人にしか聞こえないやりとりである。
　恐怖で頭を真っ白にしていたあたしには、聞こえる訳もない。",The following is an exchange that only the Sonozaki sisters can hear. I was so terrified that I couldn't even hear it.,,
74,詩音 (Casual),……これ……、無頼人さまの魔法陣ですよッッ？！？！,...That's... Bright-sama's magic circle?!?!,,
76,Mion (Casual),や、……やるねぇ……。見事な再現度だよ……。,They... They're not half bad... This is a magnificent reproduction...,"from ""T....they did it....",
78,詩音 (Casual),お姉、……気付いてます……？,Sis... did you notice...?,,
81,Mion (Casual),"もちろん……。……枕や毛布の乱れ方まで、……完全に映画を再現
しているッ。",Of course... The way that the pillows and blankets are messed up... it perfectly recreates the scene from the movie!,editz,
84,,"　あたしは、紗音さんがどうして魔法陣を気にしなかったのかわか
らず、長く混乱した。","For a long time, I was confused as to why Shannon-san wasn't bothered by the magic circle.",hanss starts here,
85,,"　しかし、……魅音さんは光の速度で理解した。紗音さんもまた、
ワニャン沼にはまるひとりだと知っていたからだ。",But... Mion-san instantly understood. She knew that Shannon was also a deeply engrossed fan of Detective Wanyan.,,
86,,"　紗音さんが窓の鍵を見に行くといって２階へ上がり、降りて来た
時。ヱリカさんは彼女にこう尋ねたのを魅音さんは記憶していた。",Mion remembered the question Erika had asked Shannon after she returned from fixing the lock on the window upstairs.,,
94,ヱリカ,"紗音さん、ご苦労様です。窓から泥棒が入って、部屋を荒らしたり
はしていませんでしたか？","Excellent work, Shannon-san. Has a robber broken into the window or anything?",flashback ref: ch3 index 484,
96,紗音,いいえ。ご安心を。,No. Please be at ease.,,
99,,魅音さんは不思議な違和感を覚えた。,Mion thought that felt out of place.,,
100,,"　ヱリカさんのそれは、一種の厭味に聞こえるのだが、……だとし
たら言う相手を間違えている。","It sounded like a sarcastic remark from Erika-san... but if it was meant to be that way, she's saying that to the wrong person.",Ehhhh idk how to phrase this,"from ""but that'd only be if you weren't the one she was addressing."
101,,なぜ、部屋が荒れていないか、聞く？,Why did she ask if something happened in the room?,"from ""Why did we hear that nothing was wrong with the room?",
102,,"　魅音さんはすぐに理解する。ヱリカさんは、紗音さんがワニャ
ラーだと知っていた。",Mion-san instantly understood. Erika-san knew that Shannon-san was a Wanyanner.,,
103,,"　あたしが夕食後に紗音さんと会話をしていて、彼女がワニャラー
だとＣＯするのを聞いていたのだ。",I heard about it myself after dinner that night when she confessed to me that she was a Wanyanner.,"from ""When I was speaking with Shannon-san after dinner (to flow a lil better)",
