event01_34_00.bytes,,Pteryon - TL,,
index,chara,jp,en,
26,,"ここに到着した時……いや、正確には
車の中で目的地を聞かされた時からずっと、
私は不機嫌が頂点に達していた。","It was from the moment we arrived here... no, to be exact, it was ever since I learned of our destination that I've been at the {i}height{/i} of displeasure.",editz
31,？？？？,"いやー、噂には聞いてましたが
なかなかの絶景ですぜ。
澄み渡る湖面を眺めて、心が洗われるってもんです。","Gotta say, I've heard the rumors, but this scenery sure is great.
Looking at those serene waters soothes your soul.",
32,縁寿,…………。,............,
34,？？？？,"おや。　どうしました、お嬢？
さっきからずっと黙ってるじゃないですか、
どこか体調でも悪いんですかい？","Oh? Is something wrong, Lady?
You've been all quiet since a while ago; not feeling so good?",
36,縁寿,"っ、わかってるくせに……！
脳天に杭を打ち込んで、その腐った中身を
目の前の湖にぶちまけられたいのっ？","I-If you get it, then...!
Do you want me to drive a stake through your head and empty out all your rotten insides into that lake in front of us?",editz
37,,"拳銃を持っていないのが、本当に残念だ……
あればきっと、問答無用で射殺している。","It really is a shame I don't have a handgun with me...
If I did, I'd shoot him dead no questions asked.",
38,,"だけど、そんな私に「おぉ、怖い怖い」と
降参のポーズを取ってみせながら、その男は
飄々とした態度のままへらへら笑っていった。","But that man only responded to my threat with an, ""Ooh, so scary."", and posed as if surrendering, laughing frivolously with a nonchalant attitude.",reworded into eng slightly
40,？？？？,"まぁ、そんなに怒らンでくださいよ。
最近のお嬢はお疲れのように見えましてね。","Well, no need to get that mad. You've just looked tired lately.",
42,？？？？,"こういう時は綺麗な景色でも眺めて、
気分をリフレッシュするもんですぜ。","At times like this, it's good to admire a lovely view and refresh yourself.",
48,縁寿,"……護衛の仕事にメンタルケアがあるなんて、
初耳だわ。うちのどこかの会社の産業医に
なったほうが、よっぽど儲かるんじゃない？",...I haven't heard of mental care being part of a bodyguard's job before. Wouldn't it be much more profitable to become an occupational physician at some company back home?,
51,？？？？,"ひゃっははは、産業医なんて傭兵には
一番遠い職業ですぜ。俺にはお嬢の護衛くらいが
ちょうどいいってもんです。","Hyahhahaha, something like an occupational physician is the farthest job from being a mercenary. Being your bodyguard is just about right for me.",
54,縁寿,"……で？　学園へ戻る前の寄り道とはいえ
わざわざここを休憩場所に選んだのは、
いったいどういう理由なの？","...So? Taking a detour before returning to the academy is one thing, but why would you ever go out of your way to choose this place as a rest stop?",
57,？？？？,"やれやれ。お嬢がお疲れのようだから
のんびりできそうな場所をと思って
目に付いたところにきたんですけどねぇ。",Good grief. And to think I tried to find a good spot for you to relax since you seemed tired...,slightly reworded from jp not bc it was wrong
60,縁寿,"………ふざけないで。
あんただけここに置いて行って
全裸で向こう岸まで湖を泳がせたっていいのよ。","......Don't play dumb with me.
I should just leave you back here and make you swim to the other side of the lake naked.",
63,？？？？,"またご冗談を。
俺がいないと困るのはお嬢ですぜ。","Again with the jokes.
You're the one who'd be in trouble if I wasn't here.",
66,縁寿,"冗談じゃないんだけど。
……確かこの、ダム湖の底に沈んだ場所に
小さな村があったのよね。","I'm not joking though.
...If I remember correctly, there was a small village in the area submerged by this reservoir.",
68,縁寿,名前は、そう……『雛見沢村』だったかしら。,"Its name was... that's right, it was {b}Hinamizawa Village{/b}, wasn't it?",
71,？？？？,"おや、よくご存じで。
ダムの建設計画が発表された頃は、村をあげた
激しい反対運動があったようですよ。","Oh, so you're pretty familiar with it.
When the dam construction project was first announced, the village led a violent movement of sorts in opposition towards it.",
73,？？？？,"ダム計画も一時は中止になったらしく、
余勢をかって村おこしで周辺から観光客を
呼び込もう、って動きもあったみたいですが……","There also seemed to be a village renewal movement at some point, which served to halt the advancement of the dam and attract tourists to the area, but...",
76,縁寿,"……でも、結局村は水の底に消えた。
無駄なあがきだったってわけね。","...But it all still ended up disappearing underwater.
Looks like it was a hopeless attempt.",
78,,"私は軽く聞き流しながら、
はるか彼方にまで湖水を湛える眼前の景色を
無感動に見つめる。","Barely listening in to this story, I stare out into the vast lake horizon laid out before me, uninterested.",
79,,"国家という巨大な権威を前にして、
人の意思などはあまりにも無力でぜい弱だ。",The will of the people is much too helpless and weak in the face of the authority of governmental figures.,
80,,"村人たちも、自分たちの故郷を守るため
必死に抵抗したのだろうが……
結果が伴わなければ、ただの徒労でしかなかった。","The villagers may have also put their lives on the line to protect their homeland... but since the final product was already out of their control, it all wound up futile in the end.",
82,？？？？,"まぁ、村おこしの大プロジェクトとして
温泉街の建設がうまくいっていれば、
まだ延命の可能性はあったと思いますがね。","Well, if the hot spring district they plotted as a village renewal project did go well, I feel that they still might have been going strong today.",
84,？？？？,"右代宮グループもリゾート化に向けた
開発投資をしてたっていうじゃないですか。
……残念な事です。",Didn't Ushiromiya Group also put in an investment towards the development? ...A shame things went this way.,
87,縁寿,……右代宮家が、関わってたの？　この村に？,The Ushiromiya family was involved with this village?,
89,,"少しの驚きを込めながら、
私は後ろを振り返って訊き返す。","A bit taken aback, I turn behind me to inquire further about it.",
90,,"右代宮家が、金を出した……？
それもリゾート関係となれば、手を伸ばしたのは
長男の蔵臼伯父さんあたりだろうか。","The Ushiromiya family gave out money...? And if it's about a resort, I wonder if the one who have handed it out was the eldest son, Uncle Krauss-san?",
92,？？？？,"おや、知りませんでしたか？
結構有名な話ですぜ。てっきりボスから
お嬢も聞いてるもンだと思ったんですがね。","Oh, you didn't know? It's a pretty well-known story.
I figured even you would've heard all about it from the boss by now, Lady.",
94,？？？？,"とにかく、温泉街建設が途中で頓挫したことで
村おこしは失敗……その後はなんやかんやで
ダム計画が再開、廃村になったってわけです。","In any event, the village renewal failed as a result of the hot spring district development ending up at a standstill midway... and one thing after another, the plans to build the dam started up again, turning it into a ghost town.",
97,縁寿,…………。,............,
100,？？？？,"ちなみに、このダム湖には幽霊が出るようですぜ。
村人たちの無念や名残ってやつですかね。ヒャッハ！","Speaking of, it feels like a ghost is gonna pop out at this reservoir, what with all those villagers' sorrows and regrets. Hyahhaa!",
103,縁寿,"いい加減にして。
さすがに付き合ってられないわ。",Give me a break. We’re just not on the same wavelength.,
107,,"そう言って私は呆れ気分で踵を返し、
その男を置いてすたすたと歩き出す。","Done with him, I turn and walk off. The pitter-patter of that man's footsteps resound as he follows suit.",
