event01_34_02.bytes,,Omega: I'll try my best,Llo - QC,,
index,chara,jp,en,,
39,Satoko (Casual),"……ふぅ、これでおしまいっと。
数はそこそこいましたけど、
たいした相手ではありませんでしたわ。","...Hmph, that takes care of that. There were quite a bit of them, but they didn't put up much of a fight.","from ""only a few // weren't much of an opponent",
41,Hanyuu (Casual),"いつもと比べても、
楽々対処できたのですよ～……でも。","They were a lot easier to deal with than usual~.
...That said......",,
43,Satoko (Casual),えぇ、それより……梨花が……。,"Yeah, aside from that... Rika is...",,
55,Rika (シエスタ),……みー。,...Meep.,,
60,Kazuho (Casual),り……梨花ちゃん、その格好はどうしたの？,"Ri-...... Rika-chan, what is that outfit?",,
62,Rika (シエスタ),"どうしたと聞かれても、ボクも困るのです。
いつものように『ロールカード』を使ったら
こうなってしまったのですよ。","I don't know either. I used my {b}Role Card{/b} as usual, and then this happened.",,
65,,"そう答える梨花ちゃんの頭の上で、
ぴょこぴょこと跳ねる……ウサギの耳。","As Rika-chan said this, bobbing up and down on her head were... rabbit ears.",,
66,,"私が見ても、とても可愛いと思う。
というわけで――。","Even I thought they looked pretty cute. 
That's when--",that's when,
74,Rena (Casual),……は、はぅぅ～～っ♪♪,...H-Hauuu~~♪♪,,
79,,そう、レナさんが反応しないはずがなかった！,"Yep, there's no way Rena-san wouldn't react to it!",,
83,Mion (Casual),ちょ、ちょっとレナ、落ち着いてっ！,"H-Hey, Rena, calm down!!",,
85,Miyuki (Casual),"ブレイク、ストップ！
顔が溶けて、崩れかかってるよっ！！","Break it up, time out! Your face is practically melting!!",,
88,,"口から涎をたらしながら、梨花ちゃんに
にじり寄るレナさん……を、
収めにかかる魅音さんと美雪ちゃん。","Drool seeped from Rena-san's mouth as she approached Rika-chan... 
Mion-san and Miyuki-chan tried to stop her.",,
89,,"ちなみに前原くんは、真っ先に駆け寄って
レナさんの連撃をもろに食らい、
今は轟沈して地面に転がっていた……合掌……。","Maebara-kun also ran over to help, but Rena-san sent him rolling to the ground with a flurry of punches... How unfortunate.",,
93,Kazuho (Casual),"な、何が起きたんだろう……って、
難しい顔をしてどうしたの、菜央ちゃん？","W-What is going on? ...Nao-chan, what's with the serious look?","from ""W-Why won't he get up?",
95,Nao (Casual),"……いえ、なんでもないわ。
なんとなくだけど、あの服に見覚えが
ある気がしただけよ。","...Oh, it's nothing. Somehow I feel like I've seen Rika's clothes before.",,
97,Nao (Casual),それより、「あの人」は大丈夫なの？,"Anyway, is {i}he{/i} alright?",,
99,Kazuho (Casual),あ、そうだ。戦人さん、大丈夫ですか？,"Ah, that's right. Battler-san, are you okay?",,
105,戦人,…………。,............,,
107,,"振り返った戦人さんは、腰を抜かした格好で
呆然とこちらを見つめていた。","I turned to look at Battler-san, but he was staring at me with a dumbfounded look on his face.",,
110,Kazuho (Casual),あ、あの……？,"Um, hello...?",,
