event01_34_03.bytes,,i'm just tling whatever. feel free to grab ownership or what have you,Llo - QC/TL,
index,chara,jp,en,
38,Nao (Casual),ちょっと美雪、一穂……って、えぇっ？,"Wait, Miyuki, Kazuho... wh-, huh?",
43,,"背後から追いかけてきた菜央ちゃんが、
私たちと向き合う人の顔を見てあっ、と
立ち止まる。","Nao-chan, who had been trailing us, stopped when she saw the face of the person opposite us.",
46,Miyuki (Casual),…………。,............,
48,,"美雪ちゃんは驚きすぎて声も出ないのか……
呆然と立ちすくんでいた。","Miyuki-chan was so surprised, she couldn't even let out a sound... 
She just stood there, dumbfounded.",
53,赤坂,やぁ、久しぶりだね。元気だったかい？,"Yo, it's been a while. Are you doing well?",
55,Nao (Casual),"は、はい……
でも赤坂さん、どうしてここに……？","Y-Yes... but why are you here, Akasaka-san...?",
57,赤坂,い、いやぁ……。,"A-Ah, well...",
60,,"美雪ちゃんに代わって菜央ちゃんが問いかけると、
赤坂さんは照れくさそうに頭をかく。",Akasaka-san scratched his head in embarrassment when Nao-chan asked that question instead of Miyuki-chan.,
61,,"そして肩を不器用にすくめながら、
笑顔を浮かべていった。","Then, with an awkward shrug, he smiled.",
64,赤坂,"実はこの前、大石さんから
#p雛見沢#sひなみざわ#rに新しく温泉街ができると聞いてね。
ぜひ、どんなところか見ておきたいと思って。","To tell the truth, Ooishi-san told me that there was a new hot spring in Hinamizawa, and I thought I'd go see what it was like.",wanted to -> thought I'd go
66,赤坂,"で、たまたまこの近くに出張する用事が
できたから、ふらっと立ち寄ってみたんだよ。","I was in the area on official business, so I decided to drop by for a visit.",
68,赤坂,"次は家族を連れてくるつもりだから、
その下見も兼ねてというわけさ。","I planned to take my family along the next time I visited, so I wanted to scout it out first.",
73,Kazuho (Casual),あ、そういうことだったんですか……。,"Ah, so it was like that...",
75,赤坂,"……そう言えば、君たち。
さっきここでもめていたようだけど、
何があったんだい？","...By the way, you two.
You were arguing or something a bit ago, so did something happen?",
79,Nao (Casual),あ、実は……。,"Ah, the truth is...",
87,圭一 (Casual),……あれ、赤坂さん？,"...Huh, Akasaka-san?",
92,,"前原くんの声に振り返ると、
怪訝そうな顔でみんながこちらを見ていた。
どうやら話をしている間に追いついたらしい。","At the sound of Maebara-kun's voice, I turned around to see everybody giving off puzzled looks. It seems like they'd found us while we were talking.",doubtful -> puzzled
96,赤坂,"やぁ、久しぶりだね。
見覚えのない子もいるようだけど……
新しいお友達かな？","Yo, it's been a while. I don't recognize some of you kids... 
Are they new friends?",
98,戦人,あ、いや俺はそうじゃなくて……。,"Ah, no, not me anyway...",
102,Rika (Casual),"みー、赤坂。
実はとても、困ったことが起きているのですよ。","Meep, Akasaka. To tell the truth, there's been some big trouble going on.",
104,赤坂,ふむ、困ったこと……？,"Hm, some trouble...?",
114,Mion (Casual),……ってなことに、なっていまして。,...That's what happened.,
116,戦人,"正直、朱志香に見つかると困るんですよ……
いろんな意味で。","To be honest, I don't want Jessica to be troubled by it... in various senses of the word.",
121,赤坂,"なるほど……確かに話を聞く限り、
早急に対応が必要みたいだね。","I see... if I understand correctly, it's looking like we'll need to respond immediately.",
123,,"私たちの説明に、赤坂さんは頷きながら
居心地悪そうにしている戦人さんに目を向ける。","After our explanation, Akasaka-san nodded in understanding while uncomfortably shifting his attention to Battler-san.",
124,,"それを受けて彼は、やや迷った表情を
浮かべてからおそるおそる、といった感じに
尋ねていった。","Seeing that, a slightly lost expression rose to his face, and with a timid voice, he asked:",
128,戦人,"参考までに、聞かせてほしいんすけど……
大人の目で見て今回の問題、どう思うっすか？","I'd like to ask for reference... but from an adult's point of view, what do you make of this problem?",
130,赤坂,"うーん……事故に繋がりかねない情報を
わざと秘匿していたのだとしたら、
確かに契約違反の恐れが出るだろうね。","Mmm... if we purposefully conceal information that could lead to an accident, we'll most definitely risk a contract breach.",i changed this to present tense
132,赤坂,"あと、その要因のせいで客足に影響が出ると
判断されたら、賠償請求はほぼ確定だろう。","Also, if that was determined to have an impact on the customers, there would almost certainly be an indemnity claim.","from ""Also, if it is determined that high customer traffic was the cause, there would almost certainly be a claim for damages."
136,Mion (Casual),やっぱりそうなりますか……参ったなぁ。,It's as I thought... Damn it.,
138,赤坂,…………。,............,
