event01_34_04.bytes,,Lloro - QC,,
index,chara,jp,en,
35,,"……私たちは手分けして、周囲に点在した
『ツクヤミ』を確実に、着実に退治していく。","...We split up, individually taking care of the {b}Tsukuyami{/b} surrounding us, surely and steadily.",
36,,"そして、奥まったところで見つけた群れを
残らず倒し終えた頃には、日が落ちて……
辺りは徐々に暗くなりつつあった。","By the time we had completely wiped out the horde from front to back, the sun had gone down... the sky gradually darkening.",
42,Mion (Casual),"……とりあえず、近隣にいた『ツクヤミ』は
あらかた片づけることができたよ。
みんな、お疲れ様ー！","...In any event, we were able to clear out almost all of the {b}Tsukuyami{/b} in the vicinity. Great work, everyone!",
45,Satoko (Casual),"をーっほっほっほっ！
大勢で一斉にかかったおかげで楽勝楽勝、
お茶の子さいさいでしたわぁ～！","Ohohoho! Thanks to them coming at us all at once in that huge crowd, we made easy work out of them~!",
47,Satoko (Casual),"特に、今日の美雪さんはいつにも増して
動きにキレがありましたわねぇ。
まさに、鬼神が逃げ出すほどの奮戦でしてよ。",Miyuki-san in particular had more force in her movements than usual today. She could have scared off a demon lord with her fierce fighting.,
51,Miyuki (Casual),"あはは、まぁねー！
この私が本気を出せば、邪神ですら
ものの数じゃないって～♪","Ahaha, I guess!
If I put my mind to it, I could go neck to neck with an evil deity~♪",
54,,"そう言って美雪ちゃんは、ご機嫌な笑顔で
胸を張ってみせる。","As Miyuki-chan says that, she puts on a triumphant face and tries to stick out her chest.",
55,,"やはり、お父さんを前にすると
気合も力も入ってくるのか……
今日の彼女は八面六臂の大活躍ぶりだった。","So her father being around does give her strength and motivation...? That girl today was the queen of all trades, never mind jack.",
59,赤坂 (ゲームマスター),"……でも、少し前に出すぎな時があったね。
１人で戦っているんじゃないんだから、
もう少し後ろに任せてもいいと思うよ。","...But I spent too much time sitting in the back, you know? You aren't fighting alone, so I think you could depend on me a little more.",
61,赤坂 (ゲームマスター),"みんなを危険な目に合わせたくない……
その想いはわかるし、大事なことだ。","I don't want to see any one of you in danger...
You understand how important that sentiment is too.",
