event01_34_99.bytes,,Llo,,
index,chara,jp,en,
41,Kazuho (Casual),っ、たぁっ！！！,"Hnn, taaaahhhh!!!",
47,,最後の一体は、あっけないほど簡単に終わった。,We finished them off so easily that it was uneventful.,
48,,"そもそもこちらには人数が揃っている。
負けるなんてとてもじゃないけど考えられなかった。","With the bunch of us already here in the first place, losing wasn't even a thought that crossed our minds.",
51,Kazuho (Casual),（それより、問題は……）,"(But rather than that, the problem now is...)",
56,朱志香,…………。,............,
58,,驚いたように固まっている朱志香さんだ。,Jessica-san was frozen like she was astonished.,
59,,彼女自身は無傷のようだ。そこはよかったけど……。,"Physically, she was unhurt, so that was a relief, but...",
63,Kazuho (Casual),（……空気が！　空気が重い！）,(...The air! It's so heavy!),
65,,"あれだけ戦人さんから『ツクヤミ』の
存在を朱志香さんに知られないよう
注意されたけど、もう遅い。","Battler-san went through all those lengths to keep Jessica-san from finding out about the {b}Tsukuyami{/b}, but now it was too late.",
66,,"出現から消失まで、
しっかりばっちり見られてしまった。","She took in the entire scene, from their arrival to their disappearance.",
71,Mion (Casual),終わった……#p雛見沢#sひなみざわ#r、終わった……。,Finished... Hinamizawa... is finished...,
73,Rena (Casual),み……魅ぃちゃん、しっかり！,"Mi-Mii-chan, pull yourself together!",
76,,"ふらりと傾いた魅音さんの身体を
レナさんが慌てて支える。","Rena-san ran over to support Mion-san, who was now lurched over with her hands on her head.",
80,圭一 (Casual),"相撲に勝って、勝負に負けるとは
このことか……。",So this is what it means when winning a match feels like a loss...,
82,Rika (Casual),みー……。,Meep...,
86,Hanyuu (Casual),あ、あぅあぅ。,A-Au au.,
90,Satoko (Casual),ど、どうすれば……。,W-What should we do...?,
94,Nao (Casual),……もう、どうしようもないわ。,...There's... nothing we can do.,
98,Miyuki (Casual),これはさすがに、言い訳のしようが……ね。,There's no way to worm ourselves out of this... huh?,
101,,"部活メンバーの間に重苦しい空気が流れる中、
事情を知らない詩音さんだけが不思議そうにしている。","Amidst the suffocating atmosphere the club members were enshrouded in, Shion-san alone felt weirded out as she didn't have a grasp on the situation.",
104,詩音 (Casual),えっと……皆さん、どうしたんですか？,"Um... guys, what's going on?",
107,,"と、そんな中……私たちを庇うように、
戦人さんが凛とした表情で前に進み出た。",With that... Battler-san put on a resolute face and stepped forward as if to cover for us.,
113,戦人,"……大丈夫だ。助けてもらった恩は返す。
俺がなんとかしてやるよ。",...It's alright. I'll pay you back my debt for saving me. I'll handle it.,
120,Kazuho (Casual),えっ？,Huh?,
